DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
1inch,,,,,,
DISTRIBUTION,,,,,,
entity,TEAM,ADVISORS,SEED,COMMUNITY INCENTIVE,NETWORK GROTH FUND,SERIES A
t000,0,0,0,"150,000,000","71,833,333",0
t001,0,0,0,"150,000,000","71,833,333",0
t002,0,0,0,"150,000,000","71,833,333",0
t003,0,0,0,"150,000,000","71,833,333",0
t004,0,0,0,"150,000,000","71,833,333",0
t005,0,0,0,"150,000,000","71,833,333",0
t006,0,0,0,"187,500,000","89,791,666",0
t007,0,0,0,"187,500,000","89,791,666",0
t008,0,0,0,"187,500,000","89,791,666",0
t009,0,0,0,"187,500,000","89,791,666",0
t010,0,0,0,"187,500,000","89,791,666",0
t011,0,0,0,"187,500,000","89,791,666",0
t012,"48,214,285","4,928,571","70,625,000","225,000,000","107,750,000","45,000,000"
t013,"48,214,285","4,928,571","70,625,000","225,000,000","107,750,000","45,000,000"
t014,"48,214,285","4,928,571","70,625,000","225,000,000","107,750,000","45,000,000"
t015,"48,214,285","4,928,571","70,625,000","225,000,000","107,750,000","45,000,000"
t016,"48,214,285","4,928,571","70,625,000","225,000,000","107,750,000","45,000,000"
t017,"48,214,285","4,928,571","70,625,000","225,000,000","107,750,000","45,000,000"
t018,"96,428,571","9,857,142","141,250,000","262,500,000","125,708,333","90,000,000"
t019,"96,428,571","9,857,142","141,250,000","262,500,000","125,708,333","90,000,000"
t020,"96,428,571","9,857,142","141,250,000","262,500,000","125,708,333","90,000,000"
t021,"96,428,571","9,857,142","141,250,000","262,500,000","125,708,333","90,000,000"
t022,"96,428,571","9,857,142","141,250,000","262,500,000","125,708,333","90,000,000"
t023,"96,428,571","9,857,142","141,250,000","262,500,000","125,708,333","90,000,000"
t024,"144,642,857","14,785,714","211,875,000","300,000,000","143,666,667","135,000,000"
t025,"144,642,857","14,785,714","211,875,000","300,000,000","143,666,667","135,000,000"
t026,"144,642,857","14,785,714","211,875,000","300,000,000","143,666,667","135,000,000"
t027,"144,642,857","14,785,714","211,875,000","300,000,000","143,666,667","135,000,000"
t028,"144,642,857","14,785,714","211,875,000","300,000,000","143,666,667","135,000,000"
t029,"144,642,857","14,785,714","211,875,000","300,000,000","143,666,667","135,000,000"
t030,"192,857,143","19,714,286","282,500,000","337,500,000","161,625,000","180,000,000"
t031,"192,857,143","19,714,286","282,500,000","337,500,000","161,625,000","180,000,000"
t032,"192,857,143","19,714,286","282,500,000","337,500,000","161,625,000","180,000,000"
t033,"192,857,143","19,714,286","282,500,000","337,500,000","161,625,000","180,000,000"
t034,"192,857,143","19,714,286","282,500,000","337,500,000","161,625,000","180,000,000"
t035,"192,857,143","19,714,286","282,500,000","337,500,000","161,625,000","180,000,000"
t036,"241,071,429","24,642,857","282,500,000","375,000,000","179,583,333","180,000,000"
