DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
ada,,,,,,
DISTRIBUTION,,,,,
entity,public sale,reserve,IOHK,EMURGO,cardano foundation
t000,"25,920,000,000.00","13,905,000,000.00","825,000,000.00","2,070,000,000.00","630,000,000.00"
t001,"25,920,000,000.00","13,905,000,000.00","825,000,000.00","2,070,000,000.00","630,000,000.00"
t002,"25,920,000,000.00","13,905,000,000.00","825,000,000.00","2,070,000,000.00","630,000,000.00"
t003,"25,920,000,000.00","13,905,000,000.00","825,000,000.00","2,070,000,000.00","630,000,000.00"
t004,"25,920,000,000.00","13,905,000,000.00","825,000,000.00","2,070,000,000.00","630,000,000.00"
t005,"25,920,000,000.00","13,905,000,000.00","825,000,000.00","2,070,000,000.00","630,000,000.00"
t006,"25,920,000,000.00","13,905,000,000.00","825,000,000.00","2,070,000,000.00","630,000,000.00"
t007,"25,920,000,000.00","13,905,000,000.00","825,000,000.00","2,070,000,000.00","630,000,000.00"
t008,"25,920,000,000.00","13,905,000,000.00","825,000,000.00","2,070,000,000.00","630,000,000.00"
t009,"25,920,000,000.00","13,905,000,000.00","825,000,000.00","2,070,000,000.00","630,000,000.00"
t010,"25,920,000,000.00","13,905,000,000.00","825,000,000.00","2,070,000,000.00","630,000,000.00"
t011,"25,920,000,000.00","13,905,000,000.00","825,000,000.00","2,070,000,000.00","630,000,000.00"
t012,"25,920,000,000.00","13,905,000,000.00","1,650,000,000.00","2,070,000,000.00","630,000,000.00"
t013,"25,920,000,000.00","13,905,000,000.00","1,650,000,000.00","2,070,000,000.00","630,000,000.00"
t014,"25,920,000,000.00","13,905,000,000.00","1,650,000,000.00","2,070,000,000.00","630,000,000.00"
t015,"25,920,000,000.00","13,905,000,000.00","1,650,000,000.00","2,070,000,000.00","630,000,000.00"
t016,"25,920,000,000.00","13,905,000,000.00","1,650,000,000.00","2,070,000,000.00","630,000,000.00"
t017,"25,920,000,000.00","13,905,000,000.00","1,650,000,000.00","2,070,000,000.00","630,000,000.00"
t018,"25,920,000,000.00","13,905,000,000.00","1,650,000,000.00","2,070,000,000.00","630,000,000.00"
t019,"25,920,000,000.00","13,905,000,000.00","1,650,000,000.00","2,070,000,000.00","630,000,000.00"
t020,"25,920,000,000.00","13,905,000,000.00","1,650,000,000.00","2,070,000,000.00","630,000,000.00"
t021,"25,920,000,000.00","13,905,000,000.00","1,650,000,000.00","2,070,000,000.00","630,000,000.00"
t022,"25,920,000,000.00","13,905,000,000.00","1,650,000,000.00","2,070,000,000.00","630,000,000.00"
t023,"25,920,000,000.00","13,905,000,000.00","1,650,000,000.00","2,070,000,000.00","630,000,000.00"
t024,"25,920,000,000.00","13,905,000,000.00","2,475,000,000.00","2,070,000,000.00","630,000,000.00"
t025,nan,nan,nan,nan,nan
t026,nan,nan,nan,nan,nan
t027,nan,nan,nan,nan,nan
t028,nan,nan,nan,nan,nan
t029,nan,nan,nan,nan,nan
t030,nan,nan,nan,nan,nan
t031,nan,nan,nan,nan,nan
t032,nan,nan,nan,nan,nan
t033,nan,nan,nan,nan,nan
t034,nan,nan,nan,nan,nan
t035,nan,nan,nan,nan,nan
t036,nan,nan,nan,nan,nan
