DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
alcx,,,,,,
DISTRIBUTION,,,
entity,ALCHEMIX DAO,STAKING,LIQ POOLS
t000,"3,192","32,000","446,612"
t001,"91,714","32,000","446,612"
t002,"187,286","32,000","446,612"
t003,"277,363","32,000","446,612"
t004,"367,921","32,000","446,612"
t005,"453,132","32,000","446,612"
t006,"538,694","32,000","446,612"
t007,"621,675","32,000","446,612"
t008,"699,569","32,000","446,612"
t009,"777,554","32,000","446,612"
t010,"850,582","32,000","446,612"
t011,"923,553","32,000","446,612"
t012,"993,961","32,000","446,612"
t013,"1,055,368","32,000","446,612"
t014,"1,120,929","32,000","446,612"
t015,"1,181,960","32,000","446,612"
t016,"1,242,488","32,000","446,612"
t017,"1,298,653","32,000","446,612"
t018,"1,354,185","32,000","446,612"
t019,"1,407,155","32,000","446,612"
t020,"1,456,003","32,000","446,612"
t021,"1,503,958","32,000","446,612"
t022,"1,547,941","32,000","446,612"
t023,"1,590,900","32,000","446,612"
t024,"1,631,278","32,000","446,612"
t025,"1,665,571","32,000","446,612"
t026,"1,701,120","32,000","446,612"
t027,"1,733,087","32,000","446,612"
t028,"1,763,603","32,000","446,612"
t029,"1,790,723","32,000","446,612"
t030,"1,816,225","32,000","446,612"
t031,"1,839,183","32,000","446,612"
t032,"1,858,986","32,000","446,612"
t033,"1,876,911","32,000","446,612"
t034,"1,891,848","32,000","446,612"
t035,"1,904,777","32,000","446,612"
t036,"1,915,221","32,000","446,612"
