DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
alice,,,,,,
DISTRIBUTION,,,,,,,,
entity,LAUNCHPOOL,PRIVATE SALE,PUBLIC SALE,ECOSYSTEM,PLAY TO EARN ,MARKETING,TEAM AND ADVISORS ,FOUNDATION
t000,3,2.1,0.8,4,0,3,4.5,0
t001,3,2.1,0.8,4,0,3,4.5,0
t002,3,2.1,0.8,4,0,3,4.5,0
t003,3,4.2,0.8,4,0,3,4.5,0
t004,3,4.2,0.8,4,0,3,6,0
t005,3,4.2,0.8,6,0,3,6,0
t006,3,6.3,0.8,6,0.33,3,6,0
t007,3,6.3,0.8,6,0.67,6,6,0
t008,3,6.3,0.8,6,1,6,7.5,0
t009,3,8.4,0.8,6,1.33,6,7.5,0
t010,3,8.4,0.8,8,1.67,6,7.5,0
t011,3,8.4,0.8,8,2,6,7.5,0
t012,3,10.5,0.8,8,2.33,6,9,0
t013,3,10.5,0.8,8,2.67,6,9,0
t014,3,10.5,0.8,8,3,9,9,0
t015,3,12.6,0.8,10,3.3,9,9,0
t016,3,12.6,0.8,10,3.67,9,10.5,0
t017,3,12.6,0.8,10,4,9,10.5,0
t018,3,14.7,0.8,10,4.33,9,10.5,0
t019,3,14.7,0.8,10,4.67,9,10.5,0
t020,3,14.7,0.8,12,5,9,12,0
t021,3,16.8,0.8,12,5.33,12,12,0
t022,3,16.8,0.8,12,5.67,12,12,0
t023,3,16.8,0.8,12,6,12,12,0
t024,3,18.9,0.8,12,6.33,12,13.5,0.83
t025,3,18.9,0.8,14,6.67,12,13.5,1.67
t026,3,18.9,0.8,14,7,12,13.5,2.5
t027,3,21,0.8,14,7.33,12,13.5,3.33
t028,3,21,0.8,14,7.67,15,15,4.17
t029,3,21,0.8,14,8,15,15,5
t030,3,21,0.8,16,8,15,15,5.83
t031,3,21,0.8,16,8,15,15,6.67
t032,3,21,0.8,16,8,15,15,7.5
t033,3,21,0.8,16,8,15,15,8.33
t034,3,21,0.8,16,8,15,15,9.17
t035,3,21,0.8,17.2,8,15,15,10
t036,3,21,0.8,17.2,8,15,15,10.83
