DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
alpha,,,,,,
DISTRIBUTION,,,,,,
entity,LAUNCHPAD,LAUNCHPOOL,PRIVATE SALE,LIQUIDITY MINING,TEAM & ADVISORS ,ECOSYSTEM
t000,10,5,0,0.45,0,4.47
t001,10,5,3.33,1.73,0,4.47
t002,10,5,3.33,3.29,0,4.47
t003,10,5,3.33,5.08,0,5.77
t004,10,5,6.67,7.05,0,5.77
t005,10,5,6.67,9.17,0,5.77
t006,10,5,6.67,11.42,0,8.07
t007,10,5,10,13.25,0,8.07
t008,10,5,10,14.74,0,8.07
t009,10,5,10,15.95,0,9.37
t010,10,5,13.33,16.94,0,9.37
t011,10,5,13.33,17.74,0,9.37
t012,10,5,13.33,18.4,4,10.67
t013,10,5,13.33,18.93,4,10.67
t014,10,5,13.33,19.32,4,10.67
t015,10,5,13.33,19.6,5.1,11.97
t016,10,5,13.33,19.8,5.1,11.97
t017,10,5,13.33,19.92,5.1,11.97
t018,10,5,13.33,19.98,6.2,13.27
t019,10,5,13.33,20,6.2,13.27
t020,10,5,13.33,20,6.2,13.27
t021,10,5,13.33,20,7.3,14.75
t022,10,5,13.33,20,7.3,14.57
t023,10,5,13.33,20,7.3,14.57
t024,10,5,13.33,20,8.4,15.87
t025,10,5,13.33,20,8.4,15.87
t026,10,5,13.33,20,8.4,15.87
t027,10,5,13.33,20,9.5,17.17
t028,10,5,13.33,20,9.5,17.17
t029,10,5,13.33,20,9.5,17.17
t030,10,5,13.33,20,10.6,18.47
t031,10,5,13.33,20,10.6,18.47
t032,10,5,13.33,20,10.6,18.47
t033,10,5,13.33,20,11.7,19.77
t034,10,5,13.33,20,11.7,19.77
t035,10,5,13.33,20,11.7,19.77
t036,10,5,13.33,20,12.8,21.07
