DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
ankr,,,,,,
DISTRIBUTION,,,,,
entity,mining rewards,private sale,team,public sale,marketing
t000,"4,000,000,000.00",-,-,"500,000,000.00","500,000,000.00"
t001,"4,000,000,000.00","500,000,000.00","47,619,048.00","500,000,000.00","500,000,000.00"
t002,"4,000,000,000.00","1,000,000,000.00","95,238,095.00","500,000,000.00","500,000,000.00"
t003,"4,000,000,000.00","1,500,000,000.00","142,857,143.00","500,000,000.00","500,000,000.00"
t004,"4,000,000,000.00","2,000,000,000.00","190,476,190.00","500,000,000.00","500,000,000.00"
t005,"4,000,000,000.00","2,500,000,000.00","238,095,238.00","500,000,000.00","500,000,000.00"
t006,"4,000,000,000.00","3,000,000,000.00","285,714,286.00","500,000,000.00","500,000,000.00"
t007,"4,000,000,000.00","3,000,000,000.00","333,333,333.00","500,000,000.00","500,000,000.00"
t008,"4,000,000,000.00","3,000,000,000.00","380,952,381.00","500,000,000.00","500,000,000.00"
t009,"4,000,000,000.00","3,000,000,000.00","428,571,429.00","500,000,000.00","500,000,000.00"
t010,"4,000,000,000.00","3,000,000,000.00","476,190,476.00","500,000,000.00","500,000,000.00"
t011,"4,000,000,000.00","3,000,000,000.00","523,809,524.00","500,000,000.00","500,000,000.00"
t012,"4,000,000,000.00","3,000,000,000.00","571,428,571.00","500,000,000.00","500,000,000.00"
t013,"4,000,000,000.00","3,000,000,000.00","619,047,619.00","500,000,000.00","500,000,000.00"
t014,"4,000,000,000.00","3,000,000,000.00","666,666,667.00","500,000,000.00","500,000,000.00"
t015,"4,000,000,000.00","3,000,000,000.00","714,285,714.00","500,000,000.00","500,000,000.00"
t016,"4,000,000,000.00","3,000,000,000.00","761,904,762.00","500,000,000.00","500,000,000.00"
t017,"4,000,000,000.00","3,000,000,000.00","809,523,810.00","500,000,000.00","500,000,000.00"
t018,"4,000,000,000.00","3,000,000,000.00","857,142,857.00","500,000,000.00","500,000,000.00"
t019,"4,000,000,000.00","3,000,000,000.00","904,761,905.00","500,000,000.00","500,000,000.00"
t020,"4,000,000,000.00","3,000,000,000.00","952,380,952.00","500,000,000.00","500,000,000.00"
t021,"4,000,000,000.00","3,000,000,000.00","1,000,000,000.00","500,000,000.00","500,000,000.00"
t022,"4,000,000,000.00","3,000,000,000.00","1,047,619,048.00","500,000,000.00","500,000,000.00"
t023,"4,000,000,000.00","3,000,000,000.00","1,095,238,095.00","500,000,000.00","500,000,000.00"
t024,"4,000,000,000.00","3,000,000,000.00","1,142,857,143.00","500,000,000.00","500,000,000.00"
t025,"4,000,000,000.00","3,000,000,000.00","1,190,476,190.00","500,000,000.00","500,000,000.00"
t026,"4,000,000,000.00","3,000,000,000.00","1,238,095,238.00","500,000,000.00","500,000,000.00"
t027,"4,000,000,000.00","3,000,000,000.00","1,285,714,286.00","500,000,000.00","500,000,000.00"
t028,"4,000,000,000.00","3,000,000,000.00","1,333,333,333.00","500,000,000.00","500,000,000.00"
t029,"4,000,000,000.00","3,000,000,000.00","1,380,952,381.00","500,000,000.00","500,000,000.00"
t030,"4,000,000,000.00","3,000,000,000.00","1,428,571,429.00","500,000,000.00","500,000,000.00"
t031,"4,000,000,000.00","3,000,000,000.00","1,476,190,476.00","500,000,000.00","500,000,000.00"
t032,"4,000,000,000.00","3,000,000,000.00","1,523,809,524.00","500,000,000.00","500,000,000.00"
t033,"4,000,000,000.00","3,000,000,000.00","1,571,428,571.00","500,000,000.00","500,000,000.00"
t034,"4,000,000,000.00","3,000,000,000.00","1,619,047,619.00","500,000,000.00","500,000,000.00"
t035,"4,000,000,000.00","3,000,000,000.00","1,666,666,667.00","500,000,000.00","500,000,000.00"
t036,"4,000,000,000.00","3,000,000,000.00","1,714,285,714.00","500,000,000.00","500,000,000.00"
