DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
ar,,,,,,
DISTRIBUTION,,,,,,,,,,
entity,seed sale,private sale,public sale,strategic partners,advisors,team,techstarts,adoption incetives,project,mining rewards
t000,"5,940,000.00","8,857,200.00","2,475,000.00","3,577,200.00","1,597,200.00",-,-,-,-,-
t001,"5,940,000.00","8,857,200.00","2,475,000.00","3,577,200.00","1,597,200.00",-,-,-,-,-
t002,"5,940,000.00","8,857,200.00","2,475,000.00","3,577,200.00","1,597,200.00",-,-,-,-,-
t003,"5,940,000.00","8,857,200.00","2,475,000.00","3,577,200.00","1,597,200.00",-,-,-,-,-
t004,"5,940,000.00","8,857,200.00","2,475,000.00","3,577,200.00","1,597,200.00",-,-,-,-,-
t005,"5,940,000.00","8,857,200.00","2,475,000.00","3,577,200.00","1,597,200.00",-,-,-,-,-
t006,"5,940,000.00","8,857,200.00","2,475,000.00","3,577,200.00","1,597,200.00",-,-,-,-,-
t007,"5,940,000.00","8,857,200.00","2,475,000.00","3,577,200.00","1,597,200.00",-,-,-,-,-
t008,"5,940,000.00","8,857,200.00","2,475,000.00","3,577,200.00","1,597,200.00",-,-,-,-,-
t009,"5,940,000.00","8,857,200.00","2,475,000.00","3,577,200.00","1,597,200.00",-,-,-,-,-
t010,"5,940,000.00","8,857,200.00","2,475,000.00","3,577,200.00","1,597,200.00",-,-,-,-,-
t011,"5,940,000.00","8,857,200.00","2,475,000.00","3,577,200.00","1,597,200.00",-,-,-,-,-
t012,"5,940,000.00","8,857,200.00","2,475,000.00","3,577,200.00","1,597,200.00","1,429,560.00","66,000.00","2,101,440.00","2,911,240.00","2,200,440.00"
t013,"5,940,000.00","8,857,200.00","2,475,000.00","3,577,200.00","1,597,200.00","1,429,560.00","66,000.00","2,101,440.00","2,911,240.00","2,200,440.00"
t014,"5,940,000.00","8,857,200.00","2,475,000.00","3,577,200.00","1,597,200.00","1,429,560.00","66,000.00","2,101,440.00","2,911,240.00","2,200,440.00"
t015,"5,940,000.00","8,857,200.00","2,475,000.00","3,577,200.00","1,597,200.00","1,429,560.00","66,000.00","2,101,440.00","2,911,240.00","2,200,440.00"
t016,"5,940,000.00","8,857,200.00","2,475,000.00","3,577,200.00","1,597,200.00","1,429,560.00","66,000.00","2,101,440.00","2,911,240.00","2,200,440.00"
