DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
avax,,,,,,
DISTRIBUTION,,,,,,,,,,,,
entity,staking rewards,seed sale,private sale,public sale A1,public sale A2,public sale B,foundation,community & development,testnet incentives program,strategic partners,airdrop,team
t000,"360,000,000.00","1,800,000.00","2,520,000.00","720,000.00","5,976,000.00","4,824,000.00",-,-,-,-,-,-
t001,"360,000,000.00","1,800,000.00","2,520,000.00","720,000.00","5,976,000.00","4,824,000.00","555,600.00","4,200,000.00",-,"750,000.00","375,000.00","1,500,000.00"
t002,"360,000,000.00","1,800,000.00","2,520,000.00","720,000.00","5,976,000.00","4,824,000.00","1,111,200.00","8,400,000.00",-,"1,500,000.00","750,000.00","3,000,000.00"
t003,"360,000,000.00","5,850,000.00","8,190,000.00","2,340,000.00","19,422,000.00","4,824,000.00","1,666,800.00","12,600,000.00",-,"2,250,000.00","1,125,000.00","4,500,000.00"
t004,"360,000,000.00","5,850,000.00","8,190,000.00","2,340,000.00","19,422,000.00","4,824,000.00","2,222,400.00","16,800,000.00",-,"3,000,000.00","1,500,000.00","6,000,000.00"
t005,"360,000,000.00","5,850,000.00","8,190,000.00","2,340,000.00","19,422,000.00","4,824,000.00","2,778,000.00","21,000,000.00",-,"3,750,000.00","1,875,000.00","7,500,000.00"
t006,"360,000,000.00","9,900,000.00","13,860,000.00","3,960,000.00","32,868,000.00","4,824,000.00","3,333,600.00","25,200,000.00",-,"4,500,000.00","2,250,000.00","9,000,000.00"
t007,"360,000,000.00","9,900,000.00","13,860,000.00","3,960,000.00","32,868,000.00","4,824,000.00","3,889,200.00","29,400,000.00",-,"5,250,000.00","2,625,000.00","10,500,000.00"
t008,"360,000,000.00","9,900,000.00","13,860,000.00","3,960,000.00","32,868,000.00","4,824,000.00","4,444,800.00","33,600,000.00",-,"6,000,000.00","3,000,000.00","12,000,000.00"
t009,"360,000,000.00","13,950,000.00","19,530,000.00","5,580,000.00","46,314,000.00","4,824,000.00","5,000,400.00","37,800,000.00",-,"6,750,000.00","3,375,000.00","13,500,000.00"
t010,"360,000,000.00","13,950,000.00","19,530,000.00","5,580,000.00","46,314,000.00","4,824,000.00","5,556,000.00","42,000,000.00",-,"7,500,000.00","3,750,000.00","15,000,000.00"
t011,"360,000,000.00","13,950,000.00","19,530,000.00","5,580,000.00","46,314,000.00","4,824,000.00","6,111,600.00","46,200,000.00",-,"8,250,000.00","4,125,000.00","16,500,000.00"
t012,"360,000,000.00","18,000,000.00","25,200,000.00","7,200,000.00","59,760,000.00","4,824,000.00","6,667,200.00","50,400,000.00","1,944,000.00","9,000,000.00","4,500,000.00","18,000,000.00"
t013,nan,nan,nan,nan,nan,nan,"7,222,800.00",nan,nan,"9,750,000.00","4,875,000.00","19,500,000.00"
t014,nan,nan,nan,nan,nan,nan,"7,778,400.00",nan,nan,"10,500,000.00","5,250,000.00","21,000,000.00"
t015,nan,nan,nan,nan,nan,nan,"8,334,000.00",nan,nan,"11,250,000.00","5,625,000.00","22,500,000.00"
t016,nan,nan,nan,nan,nan,nan,"8,889,600.00",nan,nan,"12,000,000.00","6,000,000.00","24,000,000.00"
t017,nan,nan,nan,nan,nan,nan,"9,445,200.00",nan,nan,"12,750,000.00","6,375,000.00","25,500,000.00"
t018,nan,nan,nan,nan,nan,nan,"10,000,800.00",nan,nan,"13,500,000.00","6,750,000.00","27,000,000.00"
