DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
axs,,,,,,
DISTRIBUTION,,,,,,,
entity,LAUNCHPAD SALE,PRIVATE SALE,PLAY TO EARN,STAKING REWARDS,TEAM ,ADVISORS,ECOSYSTEM FUND
t000,11,0.8,1.75,0,4,1.67,3
t001,11,0.8,1.75,0,4,1.67,3
t002,11,0.8,1.75,0,4,1.67,3
t003,11,0.8,3.5,0,4,1.67,3
t004,11,0.8,3.5,0,4,1.67,3
t005,11,0.8,3.5,0,4,1.67,3
t006,11,1.6,7,0.85,4,2.33,3.63
t007,11,1.6,7,1.69,4,2.33,3.63
t008,11,1.6,7,2.54,4,2.33,3.63
t009,11,1.6,7,3.38,4,2.33,3.63
t010,11,1.6,7,4.23,4,2.33,3.63
t011,11,1.6,7,5.08,4,2.33,3.63
t012,11,2.4,9.5,5.92,6.13,3.33,4.25
t013,11,2.4,9.5,6.77,6.13,3.33,4.25
t014,11,2.4,9.5,7.61,6.13,3.33,4.25
t015,11,2.4,9.5,8.46,6.13,3.33,4.25
t016,11,2.4,9.5,9.3,6.13,3.33,4.25
t017,11,2.4,9.5,10.15,6.13,3.33,4.25
t018,11,3.2,12,10.75,8.25,4.33,4.88
t019,11,3.2,12,11.36,8.25,4.33,4.88
t020,11,3.2,12,11.96,8.25,4.33,4.88
t021,11,3.2,12,12.57,8.25,4.33,4.88
t022,11,3.2,12,13.17,8.25,4.33,4.88
t023,11,3.2,12,13.78,8.25,4.33,4.88
t024,11,4,13.75,14.38,10.38,5.33,5.5
t025,11,4,13.75,14.98,10.38,5.33,5.5
t026,11,4,13.75,15.59,10.38,5.33,5.5
t027,11,4,13.75,16.19,10.38,5.33,5.5
t028,11,4,13.75,16.8,10.38,5.33,5.5
t029,11,4,13.75,17.4,10.38,5.33,5.5
t030,11,4,15.5,17.82,12.5,6.33,6.13
t031,11,4,15.5,18.25,12.5,6.33,6.13
t032,11,4,15.5,18.67,12.5,6.33,6.13
t033,11,4,15.5,19.09,12.5,6.33,6.13
t034,11,4,15.5,19.51,12.5,6.33,6.13
t035,11,4,15.5,19.94,12.5,6.33,6.13
t036,11,4,16.75,20.36,14.63,6.67,6.75
