DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
badger,,,,,,
DISTRIBUTION,,,,,,
entity,team,airdrop,developer mining rewards,liquidity mining rewards,gitcoin,reserve
t000,"599,616.00","3,150,000.00","3,150,000.00","4,830,000.00","420,000.00","7,350,000.00"
t001,"599,616.00","3,150,000.00","3,150,000.00","4,830,000.00","420,000.00","7,350,000.00"
t002,"1,006,824.00","3,150,000.00","3,150,000.00","4,830,000.00","420,000.00","7,350,000.00"
t003,"1,006,824.00","3,150,000.00","3,150,000.00","4,830,000.00","420,000.00","7,350,000.00"
t004,"1,006,824.00","3,150,000.00","3,150,000.00","4,830,000.00","420,000.00","7,350,000.00"
t005,"1,006,824.00","3,150,000.00","3,150,000.00","4,830,000.00","420,000.00","7,350,000.00"
t006,"1,006,824.00","3,150,000.00","3,150,000.00","4,830,000.00","420,000.00","7,350,000.00"
t007,"1,006,824.00","3,150,000.00","3,150,000.00","4,830,000.00","420,000.00","7,350,000.00"
t008,"1,006,824.00","3,150,000.00","3,150,000.00","4,830,000.00","420,000.00","7,350,000.00"
t009,"1,006,824.00","3,150,000.00","3,150,000.00","4,830,000.00","420,000.00","7,350,000.00"
t010,"1,006,824.00","3,150,000.00","3,150,000.00","4,830,000.00","420,000.00","7,350,000.00"
t011,"1,006,824.00","3,150,000.00","3,150,000.00","4,830,000.00","420,000.00","7,350,000.00"
t012,"1,006,824.00","3,150,000.00","3,150,000.00","4,830,000.00","420,000.00","7,350,000.00"
t013,"2,100,000.00","3,150,000.00","3,150,000.00","4,830,000.00","420,000.00","7,350,000.00"
t014,nan,nan,nan,nan,nan,nan
t015,nan,nan,nan,nan,nan,nan
t016,nan,nan,nan,nan,nan,nan
t017,nan,nan,nan,nan,nan,nan
t018,nan,nan,nan,nan,nan,nan
t019,nan,nan,nan,nan,nan,nan
t020,nan,nan,nan,nan,nan,nan
t021,nan,nan,nan,nan,nan,nan
t022,nan,nan,nan,nan,nan,nan
t023,nan,nan,nan,nan,nan,nan
t024,nan,nan,nan,nan,nan,nan
t025,nan,nan,nan,nan,nan,nan
t026,nan,nan,nan,nan,nan,nan
t027,nan,nan,nan,nan,nan,nan
t028,nan,nan,nan,nan,nan,nan
t029,nan,nan,nan,nan,nan,nan
t030,nan,nan,nan,nan,nan,nan
t031,nan,nan,nan,nan,nan,nan
t032,nan,nan,nan,nan,nan,nan
t033,nan,nan,nan,nan,nan,nan
t034,nan,nan,nan,nan,nan,nan
t035,nan,nan,nan,nan,nan,nan
t036,nan,nan,nan,nan,nan,nan
