DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
bat,,,,,,
DISTRIBUTION,,,
entity,public sale,development,reserve
t000,"1,000,000,000.00","200,000,000.00","66,350,000.00"
t001,"1,000,000,000.00","200,000,000.00","66,350,000.00"
t002,"1,000,000,000.00","200,000,000.00","66,350,000.00"
t003,"1,000,000,000.00","200,000,000.00","66,350,000.00"
t004,"1,000,000,000.00","200,000,000.00","66,350,000.00"
t005,"1,000,000,000.00","200,000,000.00","66,350,000.00"
t006,"1,000,000,000.00","200,000,000.00","200,000,000.00"
t007,nan,nan,nan
t008,nan,nan,nan
t009,nan,nan,nan
t010,nan,nan,nan
t011,nan,nan,nan
t012,nan,nan,nan
t013,nan,nan,nan
t014,nan,nan,nan
t015,nan,nan,nan
t016,nan,nan,nan
t017,nan,nan,nan
t018,nan,nan,nan
t019,nan,nan,nan
t020,nan,nan,nan
t021,nan,nan,nan
t022,nan,nan,nan
t023,nan,nan,nan
t024,nan,nan,nan
t025,nan,nan,nan
t026,nan,nan,nan
t027,nan,nan,nan
t028,nan,nan,nan
t029,nan,nan,nan
t030,nan,nan,nan
t031,nan,nan,nan
t032,nan,nan,nan
t033,nan,nan,nan
t034,nan,nan,nan
t035,nan,nan,nan
t036,nan,nan,nan
