DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
bit,,,,,,
DISTRIBUTION,,,,,
entity,private sale,launch partner rewards,treasury,bybit flexible,bybit locked
t000,-,"500,000,000.00",-,"1,500,000,000.00",-
t001,-,"500,000,000.00",-,"1,500,000,000.00",-
t002,-,"500,000,000.00",-,"1,500,000,000.00",-
t003,-,"500,000,000.00",-,"1,500,000,000.00",-
t004,"41,666,667.00","500,000,000.00","250,000,000.00","1,500,000,000.00",-
t005,"83,333,334.00","500,000,000.00","500,000,000.00","1,500,000,000.00",-
t006,"125,000,001.00","500,000,000.00","750,000,000.00","1,500,000,000.00",-
t007,"166,666,668.00","500,000,000.00","1,000,000,000.00","1,500,000,000.00",-
t008,"208,333,335.00","500,000,000.00","1,250,000,000.00","1,500,000,000.00",-
t009,"250,000,002.00","500,000,000.00","1,500,000,000.00","1,500,000,000.00",-
t010,"291,666,669.00","500,000,000.00","1,750,000,000.00","1,500,000,000.00",-
t011,"333,333,336.00","500,000,000.00","2,000,000,000.00","1,500,000,000.00",-
t012,"375,000,003.00","500,000,000.00","2,250,000,000.00","1,500,000,000.00",-
t013,"416,666,670.00","500,000,000.00","2,500,000,000.00","1,500,000,000.00","187,500,000.00"
t014,"458,333,337.00","500,000,000.00","2,750,000,000.00","1,500,000,000.00","375,000,000.00"
t015,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","562,500,000.00"
t016,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","750,000,000.00"
t017,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","937,500,000.00"
t018,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","1,125,000,000.00"
t019,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","1,312,500,000.00"
t020,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","1,500,000,000.00"
t021,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","1,687,500,000.00"
t022,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","1,875,000,000.00"
t023,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","2,062,500,000.00"
t024,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","2,250,000,000.00"
t025,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","2,437,500,000.00"
t026,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","2,625,000,000.00"
t027,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","2,812,500,000.00"
t028,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","3,000,000,000.00"
t029,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","3,187,500,000.00"
t030,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","3,375,000,000.00"
t031,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","3,562,500,000.00"
t032,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","3,750,000,000.00"
t033,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","3,937,500,000.00"
t034,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","4,125,000,000.00"
t035,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","4,312,500,000.00"
t036,"500,000,000.00","500,000,000.00","3,000,000,000.00","1,500,000,000.00","4,500,000,000.00"
