DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
bnb,,,,,,
DISTRIBUTION,,,
entity,public sale,team,investors
t000,"100,000,000.00","80,000,000.00",-
t001,"100,000,000.00","80,000,000.00",-
t002,"100,000,000.00","80,000,000.00",-
t003,"100,000,000.00","80,000,000.00",-
t004,"100,000,000.00","80,000,000.00",-
t005,"100,000,000.00","80,000,000.00",-
t006,"100,000,000.00","80,000,000.00",-
t007,"100,000,000.00","80,000,000.00",-
t008,"100,000,000.00","80,000,000.00",-
t009,"100,000,000.00","80,000,000.00",-
t010,"100,000,000.00","80,000,000.00",-
t011,"100,000,000.00","80,000,000.00",-
t012,"100,000,000.00","80,000,000.00","4,000,000.00"
t013,"100,000,000.00","80,000,000.00","4,000,000.00"
t014,"100,000,000.00","80,000,000.00","4,000,000.00"
t015,"100,000,000.00","80,000,000.00","4,000,000.00"
t016,"100,000,000.00","80,000,000.00","4,000,000.00"
t017,"100,000,000.00","80,000,000.00","4,000,000.00"
t018,"100,000,000.00","80,000,000.00","4,000,000.00"
t019,"100,000,000.00","80,000,000.00","4,000,000.00"
t020,"100,000,000.00","80,000,000.00","4,000,000.00"
t021,"100,000,000.00","80,000,000.00","4,000,000.00"
t022,"100,000,000.00","80,000,000.00","4,000,000.00"
t023,"100,000,000.00","80,000,000.00","4,000,000.00"
t024,"100,000,000.00","80,000,000.00","8,000,000.00"
t025,"100,000,000.00","80,000,000.00","8,000,000.00"
t026,"100,000,000.00","80,000,000.00","8,000,000.00"
t027,"100,000,000.00","80,000,000.00","8,000,000.00"
t028,"100,000,000.00","80,000,000.00","8,000,000.00"
t029,"100,000,000.00","80,000,000.00","8,000,000.00"
t030,"100,000,000.00","80,000,000.00","8,000,000.00"
t031,"100,000,000.00","80,000,000.00","8,000,000.00"
t032,"100,000,000.00","80,000,000.00","8,000,000.00"
t033,"100,000,000.00","80,000,000.00","8,000,000.00"
t034,"100,000,000.00","80,000,000.00","8,000,000.00"
t035,"100,000,000.00","80,000,000.00","8,000,000.00"
t036,"100,000,000.00","80,000,000.00","12,000,000.00"
