DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
clv,,,,,,
DISTRIBUTION,,,,,,,,,,,,
entity,incentives,parachain offering,public sale I,public sale II,public sale III,public sale IV,private sale,early backers,team,marketing,foundation,contributors grant
t000,-,-,"37,500,000.00",-,"37,500,000.00","37,500,000.00",-,-,-,-,-,-
t001,"5,555,556.00","8,333,333.00","37,500,000.00",-,"37,500,000.00","37,500,000.00","1,388,889.00","2,777,778.00","2,777,778.00","2,083,333.00","3,333,333.00","833,333.00"
t002,"11,111,111.00","16,666,666.00","37,500,000.00",-,"37,500,000.00","37,500,000.00","2,777,778.00","5,555,556.00","5,555,556.00","4,166,666.00","6,666,666.00","1,666,666.00"
t003,"16,666,667.00","24,999,999.00","37,500,000.00",-,"37,500,000.00","37,500,000.00","4,166,667.00","8,333,334.00","8,333,334.00","6,249,999.00","9,999,999.00","2,499,999.00"
t004,"22,222,222.00","33,333,332.00","37,500,000.00",-,"37,500,000.00","37,500,000.00","5,555,556.00","11,111,112.00","11,111,112.00","8,333,332.00","13,333,332.00","3,333,332.00"
t005,"27,777,778.00","41,666,665.00","37,500,000.00",-,"37,500,000.00","37,500,000.00","6,944,445.00","13,888,890.00","13,888,890.00","10,416,665.00","16,666,665.00","4,166,665.00"
t006,"33,333,333.00","49,999,998.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","8,333,334.00","16,666,668.00","16,666,668.00","12,499,998.00","19,999,998.00","4,999,998.00"
t007,"38,888,889.00","58,333,331.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","9,722,223.00","19,444,446.00","19,444,446.00","14,583,331.00","23,333,331.00","5,833,331.00"
t008,"44,444,444.00","66,666,664.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","11,111,112.00","22,222,224.00","22,222,224.00","16,666,664.00","26,666,664.00","6,666,664.00"
t009,"50,000,000.00","74,999,997.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","12,500,001.00","25,000,002.00","25,000,002.00","18,749,997.00","29,999,997.00","7,499,997.00"
t010,"55,555,556.00","83,333,330.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","13,888,890.00","27,777,780.00","27,777,780.00","20,833,330.00","33,333,330.00","8,333,330.00"
t011,"61,111,111.00","91,666,663.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","15,277,779.00","30,555,558.00","30,555,558.00","22,916,663.00","36,666,663.00","9,166,663.00"
t012,"66,666,667.00","99,999,996.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","16,666,668.00","33,333,336.00","33,333,336.00","24,999,996.00","39,999,996.00","9,999,996.00"
t013,"72,222,222.00","108,333,329.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","18,055,557.00","36,111,114.00","36,111,114.00","27,083,329.00","43,333,329.00","10,833,329.00"
t014,"77,777,778.00","116,666,662.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","19,444,446.00","38,888,892.00","38,888,892.00","29,166,662.00","46,666,662.00","11,666,662.00"
t015,"83,333,333.00","124,999,995.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","20,833,335.00","41,666,670.00","41,666,670.00","31,249,995.00","49,999,995.00","12,499,995.00"
t016,"88,888,889.00","133,333,328.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","22,222,224.00","44,444,448.00","44,444,448.00","33,333,328.00","53,333,328.00","13,333,328.00"
t017,"94,444,444.00","141,666,661.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","23,611,113.00","47,222,226.00","47,222,226.00","35,416,661.00","56,666,661.00","14,166,661.00"
t018,"100,000,000.00","149,999,994.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","50,000,004.00","50,000,004.00","37,499,994.00","59,999,994.00","14,999,994.00"
t019,"105,555,556.00","158,333,327.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","52,777,782.00","52,777,782.00","39,583,327.00","63,333,327.00","15,833,327.00"
t020,"111,111,111.00","166,666,660.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","55,555,560.00","55,555,560.00","41,666,660.00","66,666,660.00","16,666,660.00"
t021,"116,666,667.00","174,999,993.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","58,333,338.00","58,333,338.00","43,749,993.00","69,999,993.00","17,499,993.00"
t022,"122,222,222.00","183,333,326.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","61,111,116.00","61,111,116.00","45,833,326.00","73,333,326.00","18,333,326.00"
t023,"127,777,778.00","191,666,659.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","63,888,894.00","63,888,894.00","47,916,659.00","76,666,659.00","19,166,659.00"
t024,"133,333,333.00","199,999,992.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","66,666,672.00","66,666,672.00","49,999,992.00","79,999,992.00","19,999,992.00"
t025,"138,888,889.00","199,999,992.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","69,444,450.00","69,444,450.00","52,083,325.00","83,333,325.00","20,833,325.00"
t026,"144,444,444.00","199,999,992.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","72,222,228.00","72,222,228.00","54,166,658.00","86,666,658.00","21,666,658.00"
t027,"150,000,000.00","199,999,992.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","75,000,006.00","75,000,006.00","56,249,991.00","89,999,991.00","22,499,991.00"
t028,"155,555,556.00","199,999,992.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","77,777,784.00","77,777,784.00","58,333,324.00","93,333,324.00","23,333,324.00"
t029,"161,111,111.00","199,999,992.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","80,555,562.00","80,555,562.00","60,416,657.00","96,666,657.00","24,166,657.00"
t030,"166,666,667.00","199,999,992.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","83,333,340.00","83,333,340.00","62,499,990.00","99,999,990.00","24,999,990.00"
t031,"172,222,222.00","199,999,992.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","86,111,118.00","86,111,118.00","64,583,323.00","103,333,323.00","25,833,323.00"
t032,"177,777,778.00","199,999,992.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","88,888,896.00","88,888,896.00","66,666,656.00","106,666,656.00","26,666,656.00"
t033,"183,333,333.00","199,999,992.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","91,666,674.00","91,666,674.00","68,749,989.00","109,999,989.00","27,499,989.00"
t034,"188,888,889.00","199,999,992.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","94,444,452.00","94,444,452.00","70,833,322.00","113,333,322.00","28,333,322.00"
t035,"194,444,444.00","199,999,992.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,002.00","97,222,230.00","97,222,230.00","72,916,655.00","116,666,655.00","29,166,655.00"
t036,"200,000,000.00","200,000,000.00","37,500,000.00","37,500,000.00","37,500,000.00","37,500,000.00","25,000,000.00","100,000,000.00","100,000,000.00","75,000,000.00","120,000,000.00","30,000,000.00"
