DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
cream,,,,,,
DISTRIBUTION,,,,
entity,team,seed sale,liquidity mining rewards,governance
t000,-,-,"1,800,000.00","5,400,000.00"
t001,-,-,"1,800,000.00","5,400,000.00"
t002,-,-,"1,800,000.00","5,400,000.00"
t003,-,-,"1,800,000.00","5,400,000.00"
t004,-,-,"1,800,000.00","5,400,000.00"
t005,-,-,"1,800,000.00","5,400,000.00"
t006,-,-,"1,800,000.00","5,400,000.00"
t007,-,-,"1,800,000.00","5,400,000.00"
t008,-,-,"1,800,000.00","5,400,000.00"
t009,-,-,"1,800,000.00","5,400,000.00"
t010,-,-,"1,800,000.00","5,400,000.00"
t011,-,-,"1,800,000.00","5,400,000.00"
t012,"225,000.00","225,000.00","1,800,000.00","5,400,000.00"
t013,"225,000.00","225,000.00","1,800,000.00","5,400,000.00"
t014,"225,000.00","225,000.00","1,800,000.00","5,400,000.00"
t015,"225,000.00","225,000.00","1,800,000.00","5,400,000.00"
t016,"225,000.00","225,000.00","1,800,000.00","5,400,000.00"
t017,"225,000.00","225,000.00","1,800,000.00","5,400,000.00"
t018,"225,000.00","225,000.00","1,800,000.00","5,400,000.00"
t019,"225,000.00","225,000.00","1,800,000.00","5,400,000.00"
t020,"225,000.00","225,000.00","1,800,000.00","5,400,000.00"
t021,"225,000.00","225,000.00","1,800,000.00","5,400,000.00"
t022,"225,000.00","225,000.00","1,800,000.00","5,400,000.00"
t023,"225,000.00","225,000.00","1,800,000.00","5,400,000.00"
t024,"450,000.00","450,000.00","1,800,000.00","5,400,000.00"
t025,"450,000.00","450,000.00","1,800,000.00","5,400,000.00"
t026,"450,000.00","450,000.00","1,800,000.00","5,400,000.00"
t027,"450,000.00","450,000.00","1,800,000.00","5,400,000.00"
t028,"450,000.00","450,000.00","1,800,000.00","5,400,000.00"
t029,"450,000.00","450,000.00","1,800,000.00","5,400,000.00"
t030,"450,000.00","450,000.00","1,800,000.00","5,400,000.00"
t031,"450,000.00","450,000.00","1,800,000.00","5,400,000.00"
t032,"450,000.00","450,000.00","1,800,000.00","5,400,000.00"
t033,"450,000.00","450,000.00","1,800,000.00","5,400,000.00"
t034,"450,000.00","450,000.00","1,800,000.00","5,400,000.00"
t035,"450,000.00","450,000.00","1,800,000.00","5,400,000.00"
t036,"675,000.00","675,000.00","1,800,000.00","5,400,000.00"
