DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
cro,,,,,,
DISTRIBUTION,,,,,
entity,airdrop,launch iniciatives,long-term incentives,ecosystem grants,reserve
t000,-,-,-,"20,000,000,000.00",nan
t001,"166,666,667.00","500,000,000.00",-,"20,000,000,000.00","333,333,333.00"
t002,"333,333,333.00","1,000,000,000.00",-,"20,000,000,000.00","666,666,667.00"
t003,"500,000,000.00","1,500,000,000.00",-,"20,000,000,000.00","1,000,000,000.00"
t004,"666,666,667.00","2,000,000,000.00",-,"20,000,000,000.00","1,333,333,333.00"
t005,"833,333,333.00","2,500,000,000.00",-,"20,000,000,000.00","1,666,666,667.00"
t006,"1,000,000,000.00","3,000,000,000.00",-,"20,000,000,000.00","2,000,000,000.00"
t007,"1,166,666,667.00","3,500,000,000.00",-,"20,000,000,000.00","2,333,333,333.00"
t008,"1,333,333,333.00","4,000,000,000.00",-,"20,000,000,000.00","2,666,666,667.00"
t009,"1,500,000,000.00","4,500,000,000.00",-,"20,000,000,000.00","3,000,000,000.00"
t010,"1,666,666,667.00","5,000,000,000.00",-,"20,000,000,000.00","3,333,333,333.00"
t011,"1,833,333,333.00","5,500,000,000.00",-,"20,000,000,000.00","3,666,666,667.00"
t012,"2,000,000,000.00","6,000,000,000.00",-,"20,000,000,000.00","4,000,000,000.00"
t013,"2,166,666,667.00","6,500,000,000.00",-,"20,000,000,000.00","4,333,333,333.00"
t014,"2,333,333,333.00","7,000,000,000.00",-,"20,000,000,000.00","4,666,666,667.00"
t015,"2,500,000,000.00","7,500,000,000.00",-,"20,000,000,000.00","5,000,000,000.00"
t016,"2,666,666,667.00","8,000,000,000.00",-,"20,000,000,000.00","5,333,333,333.00"
t017,"2,833,333,333.00","8,500,000,000.00",-,"20,000,000,000.00","5,666,666,667.00"
t018,"3,000,000,000.00","9,000,000,000.00",-,"20,000,000,000.00","6,000,000,000.00"
t019,"3,166,666,667.00","9,500,000,000.00",-,"20,000,000,000.00","6,333,333,333.00"
t020,"3,333,333,333.00","10,000,000,000.00",-,"20,000,000,000.00","6,666,666,667.00"
t021,"3,500,000,000.00","10,500,000,000.00",-,"20,000,000,000.00","7,000,000,000.00"
t022,"3,666,666,667.00","11,000,000,000.00",-,"20,000,000,000.00","7,333,333,333.00"
t023,"3,833,333,333.00","11,500,000,000.00",-,"20,000,000,000.00","7,666,666,667.00"
t024,"4,000,000,000.00","12,000,000,000.00",-,"20,000,000,000.00","8,000,000,000.00"
t025,"4,166,666,667.00","12,500,000,000.00",-,"20,000,000,000.00","8,333,333,333.00"
t026,"4,333,333,333.00","13,000,000,000.00",-,"20,000,000,000.00","8,666,666,667.00"
t027,"4,500,000,000.00","13,500,000,000.00",-,"20,000,000,000.00","9,000,000,000.00"
t028,"4,666,666,667.00","14,000,000,000.00",-,"20,000,000,000.00","9,333,333,333.00"
t029,"4,833,333,333.00","14,500,000,000.00",-,"20,000,000,000.00","9,666,666,667.00"
t030,"5,000,000,000.00","15,000,000,000.00",-,"20,000,000,000.00","10,000,000,000.00"
t031,"5,166,666,667.00","15,500,000,000.00",-,"20,000,000,000.00","10,333,333,333.00"
t032,"5,333,333,333.00","16,000,000,000.00",-,"20,000,000,000.00","10,666,666,667.00"
t033,"5,500,000,000.00","16,500,000,000.00",-,"20,000,000,000.00","11,000,000,000.00"
t034,"5,666,666,667.00","17,000,000,000.00",-,"20,000,000,000.00","11,333,333,333.00"
t035,"5,833,333,333.00","17,500,000,000.00",-,"20,000,000,000.00","11,666,666,667.00"
t036,"6,000,000,000.00","18,000,000,000.00",-,"20,000,000,000.00","12,000,000,000.00"
