DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
cvx,,,,,,
DISTRIBUTION,,,,,,,
entity,lp rewards,liquidity mining rewards,treasury,veCRV holders I,veCRV holders II,investors,team
t000,"50,000,000.00","25,000,000.00","9,700,000.00",-,-,-,-
t001,"50,000,000.00","25,000,000.00","9,700,000.00",-,-,"250,000.00","833,333.00"
t002,"50,000,000.00","25,000,000.00","9,700,000.00",-,-,"500,000.00","1,666,667.00"
t003,"50,000,000.00","25,000,000.00","9,700,000.00","250,000.00","125,000.00","750,000.00","2,500,000.00"
t004,"50,000,000.00","25,000,000.00","9,700,000.00","250,000.00","125,000.00","1,000,000.00","3,333,333.00"
t005,"50,000,000.00","25,000,000.00","9,700,000.00","250,000.00","125,000.00","1,250,000.00","4,166,667.00"
t006,"50,000,000.00","25,000,000.00","9,700,000.00","500,000.00","250,000.00","1,500,000.00","5,000,000.00"
t007,"50,000,000.00","25,000,000.00","9,700,000.00","500,000.00","250,000.00","1,750,000.00","5,833,333.00"
t008,"50,000,000.00","25,000,000.00","9,700,000.00","500,000.00","250,000.00","2,000,000.00","6,666,667.00"
t009,"50,000,000.00","25,000,000.00","9,700,000.00","750,000.00","375,000.00","2,250,000.00","7,500,000.00"
t010,"50,000,000.00","25,000,000.00","9,700,000.00","750,000.00","375,000.00","2,500,000.00","8,333,333.00"
t011,"50,000,000.00","25,000,000.00","9,700,000.00","750,000.00","375,000.00","2,750,000.00","9,166,667.00"
t012,"50,000,000.00","25,000,000.00","9,700,000.00","1,000,000.00","500,000.00","3,000,000.00","10,000,000.00"
t013,"50,000,000.00","25,000,000.00","9,700,000.00","1,000,000.00","500,000.00","3,000,000.00","10,000,000.00"
t014,"50,000,000.00","25,000,000.00","9,700,000.00","1,000,000.00","500,000.00","3,000,000.00","10,000,000.00"
t015,"50,000,000.00","25,000,000.00","9,700,000.00","1,000,000.00","625,000.00","3,000,000.00","10,000,000.00"
t016,"50,000,000.00","25,000,000.00","9,700,000.00","1,000,000.00","625,000.00","3,000,000.00","10,000,000.00"
t017,"50,000,000.00","25,000,000.00","9,700,000.00","1,000,000.00","625,000.00","3,000,000.00","10,000,000.00"
t018,"50,000,000.00","25,000,000.00","9,700,000.00","1,000,000.00","750,000.00","3,000,000.00","10,000,000.00"
t019,"50,000,000.00","25,000,000.00","9,700,000.00","1,000,000.00","750,000.00","3,000,000.00","10,000,000.00"
t020,"50,000,000.00","25,000,000.00","9,700,000.00","1,000,000.00","750,000.00","3,000,000.00","10,000,000.00"
t021,"50,000,000.00","25,000,000.00","9,700,000.00","1,000,000.00","875,000.00","3,000,000.00","10,000,000.00"
t022,"50,000,000.00","25,000,000.00","9,700,000.00","1,000,000.00","875,000.00","3,000,000.00","10,000,000.00"
t023,"50,000,000.00","25,000,000.00","9,700,000.00","1,000,000.00","875,000.00","3,000,000.00","10,000,000.00"
t024,"50,000,000.00","25,000,000.00","9,700,000.00","1,000,000.00","1,000,000.00","3,000,000.00","10,000,000.00"
t025,nan,nan,nan,nan,nan,nan,nan
t026,nan,nan,nan,nan,nan,nan,nan
t027,nan,nan,nan,nan,nan,nan,nan
t028,nan,nan,nan,nan,nan,nan,nan
t029,nan,nan,nan,nan,nan,nan,nan
t030,nan,nan,nan,nan,nan,nan,nan
t031,nan,nan,nan,nan,nan,nan,nan
t032,nan,nan,nan,nan,nan,nan,nan
t033,nan,nan,nan,nan,nan,nan,nan
t034,nan,nan,nan,nan,nan,nan,nan
t035,nan,nan,nan,nan,nan,nan,nan
t036,nan,nan,nan,nan,nan,nan,nan
