DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
dao,,,,,,
DISTRIBUTION,,,,,,,,,
entity,public sale,private sale,team,dao managed foundation,ecosystem growth,customer incentives,advisors & future team,merger & accquisition,foundation
t000,"78,000,000.00","249,600.00",-,-,-,-,-,-,-
t001,"78,000,000.00","249,600.00",-,-,-,-,-,-,-
t002,"78,000,000.00","249,600.00",-,-,-,-,-,-,-
t003,"78,000,000.00","332,800.00",-,-,-,"31,200,000.00",-,-,-
t004,"78,000,000.00","332,800.00",-,-,-,"31,200,000.00",-,-,-
t005,"78,000,000.00","332,800.00",-,-,-,"31,200,000.00",-,-,-
t006,"78,000,000.00","416,000.00",-,-,-,"31,200,000.00",-,-,-
t007,"78,000,000.00","416,000.00",-,-,-,"31,200,000.00",-,-,-
t008,"78,000,000.00","416,000.00",-,-,-,"31,200,000.00",-,-,-
t009,"78,000,000.00","499,200.00",-,-,-,"31,200,000.00",-,-,-
t010,"78,000,000.00","499,200.00",-,-,-,"31,200,000.00",-,-,-
t011,"78,000,000.00","499,200.00",-,-,-,"31,200,000.00",-,-,-
t012,"78,000,000.00","582,400.00",-,"936,000.00","2,106,000.00","31,200,000.00",-,-,-
t013,"78,000,000.00","582,400.00",-,"936,000.00","2,808,000.00","31,200,000.00",-,-,-
t014,"78,000,000.00","582,400.00",-,"936,000.00","3,510,000.00","31,200,000.00",-,-,-
t015,"78,000,000.00","665,600.00",-,"2,496,000.00","4,212,000.00","31,200,000.00",-,"2,184,000.00",-
t016,"78,000,000.00","665,600.00",-,"2,496,000.00","4,914,000.00","31,200,000.00",-,"2,184,000.00",-
t017,"78,000,000.00","665,600.00",-,"2,496,000.00","5,616,000.00","31,200,000.00",-,"2,184,000.00",-
t018,"78,000,000.00","748,800.00","7,488,000.00","4,056,000.00","6,318,000.00","31,200,000.00","1,872,000.00","2,184,000.00",-
t019,"78,000,000.00","748,800.00","7,488,000.00","4,056,000.00","7,020,000.00","31,200,000.00","1,872,000.00","2,184,000.00",-
t020,"78,000,000.00","748,800.00","7,488,000.00","4,056,000.00","7,722,000.00","31,200,000.00","1,872,000.00","2,184,000.00",-
t021,"78,000,000.00","832,000.00","14,976,000.00","5,616,000.00","8,424,000.00","31,200,000.00","3,744,000.00","6,552,000.00",-
t022,"78,000,000.00","832,000.00","14,976,000.00","5,616,000.00","9,126,000.00","31,200,000.00","3,744,000.00","6,552,000.00",-
t023,"78,000,000.00","832,000.00","14,976,000.00","5,616,000.00","9,828,000.00","31,200,000.00","3,744,000.00","6,552,000.00",-
t024,"78,000,000.00","915,200.00","22,464,000.00","7,176,000.00","10,530,000.00","31,200,000.00","5,616,000.00","6,552,000.00","3,118,752.00"
t025,"78,000,000.00","915,200.00","22,464,000.00","7,176,000.00","11,232,000.00","31,200,000.00","5,616,000.00","6,552,000.00","3,118,752.00"
t026,"78,000,000.00","915,200.00","22,464,000.00","7,176,000.00","11,934,000.00","31,200,000.00","5,616,000.00","6,552,000.00","3,118,752.00"
t027,"78,000,000.00","998,400.00","29,952,000.00","9,672,000.00","12,636,000.00","31,200,000.00","7,488,000.00","18,913,440.00","6,237,504.00"
t028,"78,000,000.00","998,400.00","29,952,000.00","9,672,000.00","13,338,000.00","31,200,000.00","7,488,000.00","18,913,440.00","6,237,504.00"
t029,"78,000,000.00","998,400.00","29,952,000.00","9,672,000.00","14,040,000.00","31,200,000.00","7,488,000.00","18,913,440.00","6,237,504.00"
t030,"78,000,000.00","1,081,600.00","37,440,000.00","12,168,000.00","14,742,000.00","31,200,000.00","9,360,000.00","18,913,440.00","9,356,256.00"
t031,"78,000,000.00","1,081,600.00","37,440,000.00","12,168,000.00","15,444,000.00","31,200,000.00","9,360,000.00","18,913,440.00","9,356,256.00"
t032,"78,000,000.00","1,081,600.00","37,440,000.00","12,168,000.00","16,146,000.00","31,200,000.00","9,360,000.00","18,913,440.00","9,356,256.00"
t033,"78,000,000.00","1,164,800.00","44,928,000.00","14,664,000.00","16,848,000.00","31,200,000.00","11,232,000.00","31,274,880.00","12,475,008.00"
t034,"78,000,000.00","1,164,800.00","44,928,000.00","14,664,000.00","17,550,000.00","31,200,000.00","11,232,000.00","31,274,880.00","12,475,008.00"
t035,"78,000,000.00","1,164,800.00","44,928,000.00","14,664,000.00","18,252,000.00","31,200,000.00","11,232,000.00","31,274,880.00","12,475,008.00"
t036,"78,000,000.00","1,248,000.00","52,416,000.00","17,160,000.00","18,954,000.00","31,200,000.00","13,104,000.00","31,274,880.00","15,593,760.00"
