DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
dapp,,,,,,
DISTRIBUTION,,,,,,,
entity,token sale,dapp incubation,team,community,strategic sale,advisors,reserve
t000,"750,000,000.00","500,000,000.00",-,"750,000,000.00",-,-,"1,250,000,000.00"
t001,"750,000,000.00","500,000,000.00",-,"750,000,000.00","41,666,667.00","20,833,333.00","1,250,000,000.00"
t002,"750,000,000.00","500,000,000.00",-,"750,000,000.00","83,333,333.00","41,666,667.00","1,250,000,000.00"
t003,"750,000,000.00","500,000,000.00",-,"750,000,000.00","125,000,000.00","62,500,000.00","1,250,000,000.00"
t004,"750,000,000.00","500,000,000.00",-,"750,000,000.00","166,666,667.00","83,333,333.00","1,250,000,000.00"
t005,"750,000,000.00","500,000,000.00",-,"750,000,000.00","208,333,333.00","104,166,667.00","1,250,000,000.00"
t006,"750,000,000.00","500,000,000.00","125,000,000.00","750,000,000.00","250,000,000.00","125,000,000.00","1,250,000,000.00"
t007,"750,000,000.00","500,000,000.00","125,000,000.00","750,000,000.00","291,666,667.00","145,833,333.00","1,250,000,000.00"
t008,"750,000,000.00","500,000,000.00","125,000,000.00","750,000,000.00","333,333,333.00","166,666,667.00","1,250,000,000.00"
t009,"750,000,000.00","500,000,000.00","125,000,000.00","750,000,000.00","375,000,000.00","187,500,000.00","1,250,000,000.00"
t010,"750,000,000.00","500,000,000.00","125,000,000.00","750,000,000.00","416,666,667.00","208,333,333.00","1,250,000,000.00"
t011,"750,000,000.00","500,000,000.00","125,000,000.00","750,000,000.00","458,333,333.00","229,166,667.00","1,250,000,000.00"
t012,"750,000,000.00","500,000,000.00","250,000,000.00","750,000,000.00","500,000,000.00","250,000,000.00","1,250,000,000.00"
t013,"750,000,000.00","500,000,000.00","250,000,000.00","750,000,000.00","541,666,667.00","250,000,000.00","1,250,000,000.00"
t014,"750,000,000.00","500,000,000.00","250,000,000.00","750,000,000.00","583,333,333.00","250,000,000.00","1,250,000,000.00"
t015,"750,000,000.00","500,000,000.00","250,000,000.00","750,000,000.00","625,000,000.00","250,000,000.00","1,250,000,000.00"
t016,"750,000,000.00","500,000,000.00","250,000,000.00","750,000,000.00","666,666,667.00","250,000,000.00","1,250,000,000.00"
t017,"750,000,000.00","500,000,000.00","250,000,000.00","750,000,000.00","708,333,333.00","250,000,000.00","1,250,000,000.00"
t018,"750,000,000.00","500,000,000.00","375,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t019,"750,000,000.00","500,000,000.00","375,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t020,"750,000,000.00","500,000,000.00","375,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t021,"750,000,000.00","500,000,000.00","375,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t022,"750,000,000.00","500,000,000.00","375,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t023,"750,000,000.00","500,000,000.00","375,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t024,"750,000,000.00","500,000,000.00","500,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t025,"750,000,000.00","500,000,000.00","500,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t026,"750,000,000.00","500,000,000.00","500,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t027,"750,000,000.00","500,000,000.00","500,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t028,"750,000,000.00","500,000,000.00","500,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t029,"750,000,000.00","500,000,000.00","500,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t030,"750,000,000.00","500,000,000.00","625,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t031,"750,000,000.00","500,000,000.00","625,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t032,"750,000,000.00","500,000,000.00","625,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t033,"750,000,000.00","500,000,000.00","625,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t034,"750,000,000.00","500,000,000.00","625,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t035,"750,000,000.00","500,000,000.00","625,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
t036,"750,000,000.00","500,000,000.00","750,000,000.00","750,000,000.00","750,000,000.00","250,000,000.00","1,250,000,000.00"
