DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
dar,,,,,,
DISTRIBUTION,,,,,,,,,
entity,public sale,private sale,play-to-earn,liquidity,marketing,team,advisors,foundation,ecosystem
t000,"36,000,000.00","2,500,000.00","6,666,667.00","2,200,000.00","720,000.00","1,428,571.00","1,680,000.00",-,"1,400,000.00"
t001,"36,000,000.00","2,500,000.00","6,666,667.00","5,683,333.00","720,000.00","1,428,571.00","3,943,333.00",-,"3,675,000.00"
t002,"36,000,000.00","5,000,000.00","13,333,334.00","9,166,666.00","3,346,667.00","2,857,142.00","6,206,666.00",-,"5,950,000.00"
t003,"36,000,000.00","7,500,000.00","20,000,001.00","12,649,999.00","5,973,334.00","4,285,713.00","8,469,999.00",-,"8,225,000.00"
t004,"36,000,000.00","10,000,000.00","26,666,668.00","16,133,332.00","8,600,001.00","5,714,284.00","10,733,332.00",-,"10,500,000.00"
t005,"36,000,000.00","12,500,000.00","33,333,335.00","19,616,665.00","11,226,668.00","7,142,855.00","12,996,665.00",-,"12,775,000.00"
t006,"36,000,000.00","15,000,000.00","40,000,002.00","23,099,998.00","13,853,335.00","8,571,426.00","15,259,998.00",-,"15,050,000.00"
t007,"36,000,000.00","17,500,000.00","46,666,669.00","26,583,331.00","16,480,002.00","9,999,997.00","17,523,331.00",-,"17,325,000.00"
t008,"36,000,000.00","20,000,000.00","53,333,336.00","30,066,664.00","19,106,669.00","11,428,568.00","19,786,664.00",-,"19,600,000.00"
t009,"36,000,000.00","22,500,000.00","60,000,003.00","33,549,997.00","21,733,336.00","12,857,139.00","22,049,997.00",-,"21,875,000.00"
t010,"36,000,000.00","25,000,000.00","66,666,670.00","37,033,330.00","24,360,003.00","14,285,710.00","24,313,330.00",-,"24,150,000.00"
t011,"36,000,000.00","27,500,000.00","73,333,337.00","40,516,663.00","26,986,670.00","15,714,281.00","26,576,663.00",-,"26,425,000.00"
t012,"36,000,000.00","30,000,000.00","80,000,004.00","44,000,000.00","29,613,337.00","17,142,852.00","28,839,996.00",-,"28,700,000.00"
t013,"36,000,000.00","32,500,000.00","86,666,671.00","44,000,000.00","32,240,004.00","18,571,423.00","31,103,329.00",-,"30,975,000.00"
t014,"36,000,000.00","35,000,000.00","93,333,338.00","44,000,000.00","34,866,671.00","19,999,994.00","33,366,662.00",-,"33,250,000.00"
t015,"36,000,000.00","37,500,000.00","100,000,005.00","44,000,000.00","37,493,338.00","21,428,565.00","35,629,995.00",-,"35,525,000.00"
t016,"36,000,000.00","40,000,000.00","106,666,672.00","44,000,000.00","40,120,005.00","22,857,136.00","37,893,328.00",-,"37,800,000.00"
t017,"36,000,000.00","42,500,000.00","113,333,339.00","44,000,000.00","42,746,672.00","24,285,707.00","40,156,661.00",-,"40,075,000.00"
t018,"36,000,000.00","45,000,000.00","120,000,006.00","44,000,000.00","45,373,339.00","25,714,278.00","42,419,994.00",-,"42,350,000.00"
t019,"36,000,000.00","47,500,000.00","126,666,673.00","44,000,000.00","48,000,000.00","27,142,849.00","44,683,327.00",-,"44,625,000.00"
t020,"36,000,000.00","50,000,000.00","133,333,340.00","44,000,000.00","48,000,000.00","28,571,420.00","46,946,660.00",-,"46,900,000.00"
t021,"36,000,000.00","52,500,000.00","140,000,007.00","44,000,000.00","48,000,000.00","29,999,991.00","49,209,993.00",-,"49,175,000.00"
t022,"36,000,000.00","55,000,000.00","146,666,674.00","44,000,000.00","48,000,000.00","31,428,562.00","51,473,326.00",-,"51,450,000.00"
t023,"36,000,000.00","57,500,000.00","153,333,341.00","44,000,000.00","48,000,000.00","32,857,133.00","53,736,659.00",-,"53,725,000.00"
t024,"36,000,000.00","60,000,000.00","160,000,000.00","44,000,000.00","48,000,000.00","34,285,704.00","56,000,000.00",-,"56,000,000.00"
t025,"36,000,000.00","62,500,000.00","160,000,000.00","44,000,000.00","48,000,000.00","35,714,275.00","56,000,000.00","6,666,667.00","56,000,000.00"
t026,"36,000,000.00","65,000,000.00","160,000,000.00","44,000,000.00","48,000,000.00","37,142,846.00","56,000,000.00","13,333,334.00","56,000,000.00"
t027,"36,000,000.00","67,500,000.00","160,000,000.00","44,000,000.00","48,000,000.00","38,571,417.00","56,000,000.00","20,000,001.00","56,000,000.00"
t028,"36,000,000.00","70,000,000.00","160,000,000.00","44,000,000.00","48,000,000.00","39,999,988.00","56,000,000.00","26,666,668.00","56,000,000.00"
t029,"36,000,000.00","72,500,000.00","160,000,000.00","44,000,000.00","48,000,000.00","41,428,559.00","56,000,000.00","33,333,335.00","56,000,000.00"
t030,"36,000,000.00","75,000,000.00","160,000,000.00","44,000,000.00","48,000,000.00","42,857,130.00","56,000,000.00","40,000,002.00","56,000,000.00"
t031,"36,000,000.00","77,500,000.00","160,000,000.00","44,000,000.00","48,000,000.00","44,285,701.00","56,000,000.00","46,666,669.00","56,000,000.00"
t032,"36,000,000.00","80,000,000.00","160,000,000.00","44,000,000.00","48,000,000.00","45,714,272.00","56,000,000.00","53,333,336.00","56,000,000.00"
t033,"36,000,000.00","82,500,000.00","160,000,000.00","44,000,000.00","48,000,000.00","47,142,843.00","56,000,000.00","60,000,003.00","56,000,000.00"
t034,"36,000,000.00","85,000,000.00","160,000,000.00","44,000,000.00","48,000,000.00","48,571,414.00","56,000,000.00","66,666,670.00","56,000,000.00"
t035,"36,000,000.00","87,500,000.00","160,000,000.00","44,000,000.00","48,000,000.00","49,999,985.00","56,000,000.00","73,333,337.00","56,000,000.00"
t036,"36,000,000.00","90,000,000.00","160,000,000.00","44,000,000.00","48,000,000.00","51,428,556.00","56,000,000.00","80,000,004.00","56,000,000.00"
