DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
dodo,,,,,,
DISTRIBUTION,,,
entity,team,seed sale,private sale
t000,-,-,-
t001,-,-,-
t002,-,-,-
t003,-,-,-
t004,-,-,-
t005,-,-,-
t006,-,-,-
t007,-,-,"10,000,000.00"
t008,-,-,"17,500,000.00"
t009,-,-,"25,000,000.00"
t010,-,-,"32,500,000.00"
t011,-,-,"40,000,000.00"
t012,-,-,"47,500,000.00"
t013,"75,000,000.00","30,000,000.00","55,000,000.00"
t014,"75,000,000.00","30,000,000.00","62,500,000.00"
t015,"75,000,000.00","30,000,000.00","70,000,000.00"
t016,"75,000,000.00","30,000,000.00","77,500,000.00"
t017,"75,000,000.00","30,000,000.00","85,000,000.00"
t018,"75,000,000.00","30,000,000.00","92,500,000.00"
t019,"75,000,000.00","30,000,000.00","100,000,000.00"
t020,"75,000,000.00","30,000,000.00","100,000,000.00"
t021,"75,000,000.00","30,000,000.00","100,000,000.00"
t022,"75,000,000.00","30,000,000.00","100,000,000.00"
t023,"75,000,000.00","30,000,000.00","100,000,000.00"
t024,"75,000,000.00","30,000,000.00","100,000,000.00"
t025,"150,000,000.00","60,000,000.00","100,000,000.00"
t026,nan,nan,nan
t027,nan,nan,nan
t028,nan,nan,nan
t029,nan,nan,nan
t030,nan,nan,nan
t031,nan,nan,nan
t032,nan,nan,nan
t033,nan,nan,nan
t034,nan,nan,nan
t035,nan,nan,nan
t036,nan,nan,nan
