DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
drgn,,,,,,
DISTRIBUTION,,,,,
entity,public sale,team,dragon foundation,reserve,incubator fund
t000,"238,421,940.00","3,612,454.00","43,349,444.00","43,349,444.00","21,674,722.00"
t001,"238,421,940.00","7,224,907.00","43,349,444.00","43,349,444.00","21,674,722.00"
t002,"238,421,940.00","10,837,361.00","43,349,444.00","43,349,444.00","21,674,722.00"
t003,"238,421,940.00","14,449,815.00","43,349,444.00","43,349,444.00","21,674,722.00"
t004,"238,421,940.00","18,062,268.00","43,349,444.00","43,349,444.00","21,674,722.00"
t005,"238,421,940.00","21,674,722.00","43,349,444.00","43,349,444.00","21,674,722.00"
t006,"238,421,940.00","25,287,175.00","43,349,444.00","43,349,444.00","21,674,722.00"
t007,"238,421,940.00","28,899,629.00","43,349,444.00","43,349,444.00","21,674,722.00"
t008,"238,421,940.00","32,512,083.00","43,349,444.00","43,349,444.00","21,674,722.00"
t009,"238,421,940.00","36,124,536.00","43,349,444.00","43,349,444.00","21,674,722.00"
t010,"238,421,940.00","39,736,990.00","43,349,444.00","43,349,444.00","21,674,722.00"
t011,"238,421,940.00","43,349,444.00","43,349,444.00","43,349,444.00","21,674,722.00"
t012,"238,421,940.00","46,961,897.00","43,349,444.00","43,349,444.00","21,674,722.00"
t013,"238,421,940.00","50,574,351.00","43,349,444.00","43,349,444.00","21,674,722.00"
t014,"238,421,940.00","54,186,804.00","43,349,444.00","43,349,444.00","21,674,722.00"
t015,"238,421,940.00","57,799,258.00","43,349,444.00","43,349,444.00","21,674,722.00"
t016,"238,421,940.00","61,411,712.00","43,349,444.00","43,349,444.00","21,674,722.00"
t017,"238,421,940.00","65,024,165.00","43,349,444.00","43,349,444.00","21,674,722.00"
t018,"238,421,940.00","68,636,619.00","43,349,444.00","43,349,444.00","21,674,722.00"
t019,"238,421,940.00","72,249,073.00","43,349,444.00","43,349,444.00","21,674,722.00"
t020,"238,421,940.00","75,861,526.00","43,349,444.00","43,349,444.00","21,674,722.00"
t021,"238,421,940.00","79,473,980.00","43,349,444.00","43,349,444.00","21,674,722.00"
t022,"238,421,940.00","83,086,433.00","43,349,444.00","43,349,444.00","21,674,722.00"
t023,"238,421,940.00","86,698,887.00","43,349,444.00","43,349,444.00","21,674,722.00"
t024,nan,nan,nan,nan,nan
t025,nan,nan,nan,nan,nan
t026,nan,nan,nan,nan,nan
t027,nan,nan,nan,nan,nan
t028,nan,nan,nan,nan,nan
t029,nan,nan,nan,nan,nan
t030,nan,nan,nan,nan,nan
t031,nan,nan,nan,nan,nan
t032,nan,nan,nan,nan,nan
t033,nan,nan,nan,nan,nan
t034,nan,nan,nan,nan,nan
t035,nan,nan,nan,nan,nan
t036,nan,nan,nan,nan,nan
