DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
dydx,,,,,,
DISTRIBUTION,,,,,,,,,
entity,retroactive mining,user rewards,lp rewards,liquidty staking pool,safety staking pool,reserve,investors,team,future team
t000,"75,000,000.00","4,166,667.00","1,250,000.00","416,667.00","416,667.00","833,333.00",-,-,-
t001,"75,000,000.00","8,333,333.00","2,500,000.00","833,333.00","833,333.00","1,666,667.00","4,621,667.00","2,545,000.00","1,166,667.00"
t002,"75,000,000.00","12,500,000.00","3,750,000.00","1,250,000.00","1,250,000.00","2,500,000.00","9,243,334.00","5,090,000.00","2,333,334.00"
t003,"75,000,000.00","16,666,667.00","5,000,000.00","1,666,667.00","1,666,667.00","3,333,333.00","13,865,001.00","7,635,000.00","3,500,001.00"
t004,"75,000,000.00","20,833,333.00","6,250,000.00","2,083,333.00","2,083,333.00","4,166,667.00","18,486,668.00","10,180,000.00","4,666,668.00"
t005,"75,000,000.00","25,000,000.00","7,500,000.00","2,500,000.00","2,500,000.00","5,000,000.00","23,108,335.00","12,725,000.00","5,833,335.00"
t006,"75,000,000.00","29,166,667.00","8,750,000.00","2,916,667.00","2,916,667.00","5,833,333.00","27,730,002.00","15,270,000.00","7,000,002.00"
t007,"75,000,000.00","33,333,333.00","10,000,000.00","3,333,333.00","3,333,333.00","6,666,667.00","32,351,669.00","17,815,000.00","8,166,669.00"
t008,"75,000,000.00","37,500,000.00","11,250,000.00","3,750,000.00","3,750,000.00","7,500,000.00","36,973,336.00","20,360,000.00","9,333,336.00"
t009,"75,000,000.00","41,666,667.00","12,500,000.00","4,166,667.00","4,166,667.00","8,333,333.00","41,595,003.00","22,905,000.00","10,500,003.00"
t010,"75,000,000.00","45,833,333.00","13,750,000.00","4,583,333.00","4,583,333.00","9,166,667.00","46,216,670.00","25,450,000.00","11,666,670.00"
t011,"75,000,000.00","50,000,000.00","15,000,000.00","5,000,000.00","5,000,000.00","10,000,000.00","50,838,337.00","27,995,000.00","12,833,337.00"
t012,"75,000,000.00","54,166,667.00","16,250,000.00","5,416,667.00","5,416,667.00","10,833,333.00","55,460,004.00","30,540,000.00","14,000,004.00"
t013,"75,000,000.00","58,333,333.00","17,500,000.00","5,833,333.00","5,833,333.00","11,666,667.00","60,081,671.00","33,085,000.00","15,166,671.00"
t014,"75,000,000.00","62,500,000.00","18,750,000.00","6,250,000.00","6,250,000.00","12,500,000.00","64,703,338.00","35,630,000.00","16,333,338.00"
t015,"75,000,000.00","66,666,667.00","20,000,000.00","6,666,667.00","6,666,667.00","13,333,333.00","69,325,005.00","38,175,000.00","17,500,005.00"
