DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
eden,,,,,,
DISTRIBUTION,,,,,,,
entity,treasury,team & advisors,network incentives,investors,strategic partners,archerDAO holders,airdrop
t000,"16,871,644.00","12,350,000.00",0.00,"32,500,000.00",0.00,"13,278,356.00",0.00
t001,"18,771,644.00","12,516,667.00","17,100,000.00","32,500,000.00",0.00,"13,278,356.00","1,000,000.00"
t002,"19,250,001.00","12,683,333.00","21,405,217.00","32,500,000.00",0.00,"13,278,356.00","1,000,000.00"
t003,"19,680,893.00","12,850,000.00","25,283,245.00","32,500,000.00","1,875,000.00","13,278,356.00","1,000,000.00"
t004,"20,078,108.00","13,016,667.00","28,858,177.00","32,500,000.00","2,500,000.00","13,278,356.00","1,000,000.00"
t005,"20,449,201.00","13,183,333.00","32,198,010.00","32,500,000.00","3,125,000.00","13,278,356.00","1,000,000.00"
t006,"20,798,950.00","13,350,000.00","35,345,754.00","32,500,000.00","3,750,000.00","13,278,356.00","1,000,000.00"
t007,"21,130,654.00","13,516,667.00","38,331,088.00","32,500,000.00","4,375,000.00","13,278,356.00","1,000,000.00"
t008,"21,446,726.00","13,683,333.00","41,175,737.00","32,500,000.00","5,000,000.00","13,278,356.00","1,000,000.00"
t009,"21,749,010.00","13,850,000.00","43,896,292.00","32,500,000.00","5,625,000.00","13,278,356.00","1,000,000.00"
t010,"22,038,960.00","14,016,667.00","46,505,842.00","32,500,000.00","6,250,000.00","13,278,356.00","1,000,000.00"
t011,"22,317,752.00","14,183,333.00","49,014,976.00","32,500,000.00","6,875,000.00","13,278,356.00","1,000,000.00"
t012,"22,586,359.00","14,350,000.00","51,432,436.00","32,500,000.00","7,500,000.00","13,278,356.00","1,000,000.00"
t013,"22,845,596.00","14,516,667.00","53,765,565.00","32,500,000.00","8,125,000.00","13,278,356.00","1,000,000.00"
t014,"23,096,157.00","14,683,333.00","56,020,616.00","32,500,000.00","8,750,000.00","13,278,356.00","1,000,000.00"
t015,"23,338,642.00","14,850,000.00","58,202,978.00","32,500,000.00","9,375,000.00","13,278,356.00","1,000,000.00"
t016,"23,573,571.00","15,016,667.00","60,317,343.00","32,500,000.00","10,000,000.00","13,278,356.00","1,000,000.00"
t017,"23,801,404.00","15,183,333.00","62,367,836.00","32,500,000.00","10,625,000.00","13,278,356.00","1,000,000.00"
t018,"24,022,545.00","15,350,000.00","64,358,107.00","32,500,000.00","11,250,000.00","13,278,356.00","1,000,000.00"
t019,"24,237,357.00","15,516,667.00","66,291,415.00","32,500,000.00","11,875,000.00","13,278,356.00","1,000,000.00"
t020,"24,446,164.00","15,683,333.00","68,170,682.00","32,500,000.00","12,500,000.00","13,278,356.00","1,000,000.00"
t021,"24,649,260.00","15,850,000.00","69,998,544.00","32,500,000.00","13,125,000.00","13,278,356.00","1,000,000.00"
t022,"24,846,910.00","16,016,667.00","71,777,394.00","32,500,000.00","13,750,000.00","13,278,356.00","1,000,000.00"
t023,"25,039,356.00","16,183,333.00","73,509,411.00","32,500,000.00","14,375,000.00","13,278,356.00","1,000,000.00"
t024,"25,226,820.00","16,350,000.00","75,196,588.00","32,500,000.00","15,000,000.00","13,278,356.00","1,000,000.00"
t025,"25,409,506.00","16,516,667.00","76,840,755.00","32,500,000.00","15,000,000.00","13,278,356.00","1,000,000.00"
t026,"25,587,600.00","16,683,333.00","78,443,600.00","32,500,000.00","15,000,000.00","13,278,356.00","1,000,000.00"
t027,"25,761,276.00","16,850,000.00","80,006,684.00","32,500,000.00","15,000,000.00","13,278,356.00","1,000,000.00"
t028,"25,930,694.00","17,016,666.00","81,531,451.00","32,500,000.00","15,000,000.00","13,278,356.00","1,000,000.00"
t029,"26,096,005.00","17,183,333.00","83,019,246.00","32,500,000.00","15,000,000.00","13,278,356.00","1,000,000.00"
t030,"26,257,347.00","17,350,000.00","84,471,324.00","32,500,000.00","15,000,000.00","13,278,356.00","1,000,000.00"
t031,"26,414,850.00","17,516,666.00","85,888,856.00","32,500,000.00","15,000,000.00","13,278,356.00","1,000,000.00"
t032,"26,568,637.00","17,683,333.00","87,272,937.00","32,500,000.00","15,000,000.00","13,278,356.00","1,000,000.00"
t033,"26,718,822.00","17,850,000.00","88,624,598.00","32,500,000.00","15,000,000.00","13,278,356.00","1,000,000.00"
t034,"26,865,512.00","18,016,666.00","89,944,808.00","32,500,000.00","15,000,000.00","13,278,356.00","1,000,000.00"
t035,"27,008,808.00","18,183,333.00","91,234,476.00","32,500,000.00","15,000,000.00","13,278,356.00","1,000,000.00"
t036,"27,148,807.00","18,350,000.00","92,494,464.00","32,500,000.00","15,000,000.00","13,278,356.00","1,000,000.00"
