DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
edn,,,,,,
DISTRIBUTION,,,,,,
entity,public sale,team,strategic sale,accelerator program,foundation,marketing
t000,"400,000,000.00",-,-,"120,000,000.00","100,000,000.00",-
t001,"400,000,000.00","15,000,000.00","25,000,000.00","120,000,000.00","100,000,000.00","8,333,333.00"
t002,"400,000,000.00","30,000,000.00","50,000,000.00","120,000,000.00","100,000,000.00","16,666,667.00"
t003,"400,000,000.00","45,000,000.00","75,000,000.00","120,000,000.00","100,000,000.00","25,000,000.00"
t004,"400,000,000.00","60,000,000.00","100,000,000.00","120,000,000.00","100,000,000.00","33,333,333.00"
t005,"400,000,000.00","75,000,000.00","125,000,000.00","120,000,000.00","100,000,000.00","41,666,667.00"
t006,"400,000,000.00","90,000,000.00","150,000,000.00","120,000,000.00","100,000,000.00","50,000,000.00"
t007,"400,000,000.00","105,000,000.00","150,000,000.00","120,000,000.00","100,000,000.00","50,000,000.00"
t008,"400,000,000.00","120,000,000.00","150,000,000.00","120,000,000.00","100,000,000.00","50,000,000.00"
t009,"400,000,000.00","135,000,000.00","150,000,000.00","120,000,000.00","100,000,000.00","50,000,000.00"
t010,"400,000,000.00","150,000,000.00","150,000,000.00","120,000,000.00","100,000,000.00","50,000,000.00"
t011,"400,000,000.00","165,000,000.00","150,000,000.00","120,000,000.00","100,000,000.00","50,000,000.00"
t012,"400,000,000.00","180,000,000.00","150,000,000.00","120,000,000.00","100,000,000.00","50,000,000.00"
t013,nan,nan,nan,nan,nan,nan
t014,nan,nan,nan,nan,nan,nan
t015,nan,nan,nan,nan,nan,nan
t016,nan,nan,nan,nan,nan,nan
t017,nan,nan,nan,nan,nan,nan
t018,nan,nan,nan,nan,nan,nan
t019,nan,nan,nan,nan,nan,nan
t020,nan,nan,nan,nan,nan,nan
t021,nan,nan,nan,nan,nan,nan
t022,nan,nan,nan,nan,nan,nan
t023,nan,nan,nan,nan,nan,nan
t024,nan,nan,nan,nan,nan,nan
t025,nan,nan,nan,nan,nan,nan
t026,nan,nan,nan,nan,nan,nan
t027,nan,nan,nan,nan,nan,nan
t028,nan,nan,nan,nan,nan,nan
t029,nan,nan,nan,nan,nan,nan
t030,nan,nan,nan,nan,nan,nan
t031,nan,nan,nan,nan,nan,nan
t032,nan,nan,nan,nan,nan,nan
t033,nan,nan,nan,nan,nan,nan
t034,nan,nan,nan,nan,nan,nan
t035,nan,nan,nan,nan,nan,nan
t036,nan,nan,nan,nan,nan,nan
