DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
egld,,,,,,
DISTRIBUTION,,,,,,,,
entity,private sale,public sale,ecosystem rewards,growth pool,community,advisors,team,reserve
t000,-,"5,000,000.00",-,-,-,-,-,-
t001,"211,111.00","5,000,000.00","116,667.00","141,667.00","33,333.00","41,667.00","90,476.00","113,333.00"
t002,"422,222.00","5,000,000.00","233,334.00","283,334.00","66,666.00","83,334.00","180,952.00","226,666.00"
t003,"633,333.00","5,000,000.00","350,001.00","425,001.00","99,999.00","125,001.00","271,428.00","339,999.00"
t004,"844,444.00","5,000,000.00","466,668.00","566,668.00","133,332.00","166,668.00","361,904.00","453,332.00"
t005,"1,055,555.00","5,000,000.00","583,335.00","708,335.00","166,665.00","208,335.00","452,380.00","566,665.00"
t006,"1,266,666.00","5,000,000.00","700,002.00","850,002.00","199,998.00","250,002.00","542,856.00","679,998.00"
t007,"1,477,777.00","5,000,000.00","816,669.00","991,669.00","233,331.00","291,669.00","633,332.00","793,331.00"
t008,"1,688,888.00","5,000,000.00","933,336.00","1,133,336.00","266,664.00","333,336.00","723,808.00","906,664.00"
t009,"1,899,999.00","5,000,000.00","1,050,003.00","1,275,003.00","299,997.00","375,003.00","814,284.00","1,019,997.00"
t010,"2,111,110.00","5,000,000.00","1,166,670.00","1,416,670.00","333,330.00","416,670.00","904,760.00","1,133,330.00"
t011,"2,322,221.00","5,000,000.00","1,283,337.00","1,558,337.00","366,663.00","458,337.00","995,236.00","1,246,663.00"
t012,"2,533,332.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","1,085,712.00","1,359,996.00"
t013,"2,744,443.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","1,176,188.00","1,473,329.00"
t014,"2,955,554.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","1,266,664.00","1,586,662.00"
t015,"3,166,665.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","1,357,140.00","1,699,995.00"
t016,"3,377,776.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","1,447,616.00","1,813,328.00"
t017,"3,588,887.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","1,538,092.00","1,926,661.00"
t018,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","1,628,568.00","2,039,994.00"
t019,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","1,719,044.00","2,153,327.00"
t020,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","1,809,520.00","2,266,660.00"
t021,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","1,899,996.00","2,379,993.00"
t022,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","1,990,472.00","2,493,326.00"
t023,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","2,080,948.00","2,606,659.00"
t024,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","2,171,424.00","2,719,992.00"
t025,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","2,261,900.00","2,833,325.00"
t026,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","2,352,376.00","2,946,658.00"
t027,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","2,442,852.00","3,059,991.00"
t028,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","2,533,328.00","3,173,324.00"
t029,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","2,623,804.00","3,286,657.00"
t030,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","2,714,280.00","3,400,000.00"
t031,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","2,804,756.00","3,400,000.00"
t032,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","2,895,232.00","3,400,000.00"
t033,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","2,985,708.00","3,400,000.00"
t034,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","3,076,184.00","3,400,000.00"
t035,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","3,166,660.00","3,400,000.00"
t036,"38,000,000.00","5,000,000.00","1,400,000.00","1,700,000.00","400,000.00","500,000.00","3,257,136.00","3,400,000.00"
