DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
elf,,,,,,
DISTRIBUTION,,,,,,
entity,private sale,foundation,block rewards,team,advisors,airdrop
t000,"220,000,000.00",-,"105,600,000.00",-,-,-
t001,"220,000,000.00","6,111,111.00","105,600,000.00",-,-,"2,933,333.00"
t002,"220,000,000.00","12,222,222.00","105,600,000.00",-,-,"5,866,667.00"
t003,"220,000,000.00","18,333,333.00","105,600,000.00",-,-,"8,800,000.00"
t004,"220,000,000.00","24,444,444.00","105,600,000.00",-,-,"11,733,333.00"
t005,"220,000,000.00","30,555,556.00","105,600,000.00",-,-,"14,666,667.00"
t006,"220,000,000.00","36,666,667.00","105,600,000.00","35,200,000.00","22,000,000.00","17,600,000.00"
t007,"220,000,000.00","42,777,778.00","105,600,000.00","35,200,000.00","22,000,000.00","20,533,333.00"
t008,"220,000,000.00","48,888,889.00","105,600,000.00","35,200,000.00","22,000,000.00","23,466,667.00"
t009,"220,000,000.00","55,000,000.00","105,600,000.00","35,200,000.00","22,000,000.00","26,400,000.00"
t010,"220,000,000.00","61,111,111.00","105,600,000.00","35,200,000.00","22,000,000.00","29,333,333.00"
t011,"220,000,000.00","67,222,222.00","105,600,000.00","35,200,000.00","22,000,000.00","32,266,667.00"
t012,"220,000,000.00","73,333,333.00","105,600,000.00","70,400,000.00","44,000,000.00","35,200,000.00"
t013,"220,000,000.00","79,444,444.00","105,600,000.00","70,400,000.00","44,000,000.00","38,133,333.00"
t014,"220,000,000.00","85,555,556.00","105,600,000.00","70,400,000.00","44,000,000.00","41,066,667.00"
t015,"220,000,000.00","91,666,667.00","105,600,000.00","70,400,000.00","44,000,000.00","44,000,000.00"
t016,"220,000,000.00","97,777,778.00","105,600,000.00","70,400,000.00","44,000,000.00","46,933,333.00"
t017,"220,000,000.00","103,888,889.00","105,600,000.00","70,400,000.00","44,000,000.00","49,866,667.00"
t018,"220,000,000.00","110,000,000.00","105,600,000.00","105,600,000.00","66,000,000.00","52,800,000.00"
t019,"220,000,000.00","116,111,111.00","105,600,000.00","105,600,000.00","66,000,000.00","55,733,333.00"
t020,"220,000,000.00","122,222,222.00","105,600,000.00","105,600,000.00","66,000,000.00","58,666,667.00"
t021,"220,000,000.00","128,333,333.00","105,600,000.00","105,600,000.00","66,000,000.00","61,600,000.00"
t022,"220,000,000.00","134,444,444.00","105,600,000.00","105,600,000.00","66,000,000.00","64,533,333.00"
t023,"220,000,000.00","140,555,556.00","105,600,000.00","105,600,000.00","66,000,000.00","67,466,667.00"
t024,"220,000,000.00","146,666,667.00","105,600,000.00","140,800,000.00","88,000,000.00","70,400,000.00"
t025,"220,000,000.00","152,777,778.00","105,600,000.00","140,800,000.00","88,000,000.00","73,333,333.00"
t026,"220,000,000.00","158,888,889.00","105,600,000.00","140,800,000.00","88,000,000.00","76,266,667.00"
t027,"220,000,000.00","165,000,000.00","105,600,000.00","140,800,000.00","88,000,000.00","79,200,000.00"
t028,"220,000,000.00","171,111,111.00","105,600,000.00","140,800,000.00","88,000,000.00","82,133,333.00"
t029,"220,000,000.00","177,222,222.00","105,600,000.00","140,800,000.00","88,000,000.00","85,066,667.00"
t030,"220,000,000.00","183,333,333.00","105,600,000.00","140,800,000.00","88,000,000.00","88,000,000.00"
t031,"220,000,000.00","189,444,444.00","105,600,000.00","140,800,000.00","88,000,000.00","90,933,333.00"
t032,"220,000,000.00","195,555,556.00","105,600,000.00","140,800,000.00","88,000,000.00","93,866,667.00"
t033,"220,000,000.00","201,666,667.00","105,600,000.00","140,800,000.00","88,000,000.00","96,800,000.00"
t034,"220,000,000.00","207,777,778.00","105,600,000.00","140,800,000.00","88,000,000.00","99,733,333.00"
t035,"220,000,000.00","213,888,889.00","105,600,000.00","140,800,000.00","88,000,000.00","102,666,667.00"
t036,"220,000,000.00","220,000,000.00","105,600,000.00","140,800,000.00","88,000,000.00","105,600,000.00"
