DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
enj,,,,,,
DISTRIBUTION,,,,
entity,token sale,team,advisors,marketing
t000,"730,000,000.00",-,"50,000,000.00",-
t001,"730,000,000.00",-,"100,000,000.00",-
t002,"730,000,000.00",-,"100,000,000.00",-
t003,"730,000,000.00",-,"100,000,000.00",-
t004,"730,000,000.00",-,"100,000,000.00",-
t005,"730,000,000.00",-,"100,000,000.00",-
t006,"730,000,000.00","25,000,000.00","100,000,000.00","70,000,000.00"
t007,"730,000,000.00","25,000,000.00","100,000,000.00","70,000,000.00"
t008,"730,000,000.00","25,000,000.00","100,000,000.00","70,000,000.00"
t009,"730,000,000.00","37,500,000.00","100,000,000.00","70,000,000.00"
t010,"730,000,000.00","37,500,000.00","100,000,000.00","70,000,000.00"
t011,"730,000,000.00","37,500,000.00","100,000,000.00","70,000,000.00"
t012,"730,000,000.00","50,000,000.00","100,000,000.00","70,000,000.00"
t013,"730,000,000.00","50,000,000.00","100,000,000.00","70,000,000.00"
t014,"730,000,000.00","50,000,000.00","100,000,000.00","70,000,000.00"
t015,"730,000,000.00","62,500,000.00","100,000,000.00","70,000,000.00"
t016,"730,000,000.00","62,500,000.00","100,000,000.00","70,000,000.00"
t017,"730,000,000.00","62,500,000.00","100,000,000.00","70,000,000.00"
t018,"730,000,000.00","75,000,000.00","100,000,000.00","70,000,000.00"
t019,"730,000,000.00","75,000,000.00","100,000,000.00","70,000,000.00"
t020,"730,000,000.00","75,000,000.00","100,000,000.00","70,000,000.00"
t021,"730,000,000.00","87,500,000.00","100,000,000.00","70,000,000.00"
t022,"730,000,000.00","87,500,000.00","100,000,000.00","70,000,000.00"
t023,"730,000,000.00","87,500,000.00","100,000,000.00","70,000,000.00"
t024,"730,000,000.00","100,000,000.00","100,000,000.00","70,000,000.00"
t025,"730,000,000.00","100,000,000.00","100,000,000.00","70,000,000.00"
t026,"730,000,000.00","100,000,000.00","100,000,000.00","70,000,000.00"
t027,"730,000,000.00","100,000,000.00","100,000,000.00","70,000,000.00"
t028,"730,000,000.00","100,000,000.00","100,000,000.00","70,000,000.00"
t029,nan,nan,nan,nan
t030,nan,nan,nan,nan
t031,nan,nan,nan,nan
t032,nan,nan,nan,nan
t033,nan,nan,nan,nan
t034,nan,nan,nan,nan
t035,nan,nan,nan,nan
t036,nan,nan,nan,nan
