DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
ens,,,,,,
DISTRIBUTION,,,,,,,,,
entity,reserve,airdrop,contributors,advisors,future & external contributors,translators,select integrations,keyholders,discord users
t000,"5,000,000.00","25,000,000.00","395,000.00","12,083.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t001,"5,937,500.00","25,000,000.00","395,000.00","12,083.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t002,"6,875,000.00","25,000,000.00","790,000.00","24,166.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t003,"7,812,500.00","25,000,000.00","1,185,000.00","36,249.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t004,"8,750,000.00","25,000,000.00","1,580,000.00","48,332.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t005,"9,687,500.00","25,000,000.00","1,975,000.00","60,415.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t006,"10,625,000.00","25,000,000.00","2,370,000.00","72,498.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t007,"11,562,500.00","25,000,000.00","2,765,000.00","84,581.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t008,"12,500,000.00","25,000,000.00","3,160,000.00","96,664.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t009,"13,437,500.00","25,000,000.00","3,555,000.00","108,747.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t010,"14,375,000.00","25,000,000.00","3,950,000.00","120,830.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t011,"15,312,500.00","25,000,000.00","4,345,000.00","132,913.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t012,"16,250,000.00","25,000,000.00","4,740,000.00","144,996.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t013,"17,187,500.00","25,000,000.00","5,135,000.00","157,079.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t014,"18,125,000.00","25,000,000.00","5,530,000.00","169,162.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t015,"19,062,500.00","25,000,000.00","5,925,000.00","181,245.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t016,"20,000,000.00","25,000,000.00","6,320,000.00","193,328.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t017,"20,937,500.00","25,000,000.00","6,715,000.00","205,411.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t018,"21,875,000.00","25,000,000.00","7,110,000.00","217,494.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t019,"22,812,500.00","25,000,000.00","7,505,000.00","229,577.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t020,"23,750,000.00","25,000,000.00","7,900,000.00","241,660.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t021,"24,687,500.00","25,000,000.00","8,295,000.00","253,743.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t022,"25,625,000.00","25,000,000.00","8,690,000.00","265,826.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t023,"26,562,500.00","25,000,000.00","9,085,000.00","277,909.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t024,"27,500,000.00","25,000,000.00","9,480,000.00","289,992.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t025,"28,437,500.00","25,000,000.00","9,875,000.00","302,075.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t026,"29,375,000.00","25,000,000.00","10,270,000.00","314,158.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t027,"30,312,500.00","25,000,000.00","10,665,000.00","326,241.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t028,"31,250,000.00","25,000,000.00","11,060,000.00","338,324.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t029,"32,187,500.00","25,000,000.00","11,455,000.00","350,407.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t030,"33,125,000.00","25,000,000.00","11,850,000.00","362,490.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t031,"34,062,500.00","25,000,000.00","12,245,000.00","374,573.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t032,"35,000,000.00","25,000,000.00","12,640,000.00","386,656.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t033,"35,937,500.00","25,000,000.00","13,035,000.00","398,739.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t034,"36,875,000.00","25,000,000.00","13,430,000.00","410,822.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t035,"37,812,500.00","25,000,000.00","13,825,000.00","422,905.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
t036,"38,750,000.00","25,000,000.00","14,220,000.00","434,988.00","2,540,000.00","50,000.00","2,500,000.00","250,000.00","125,000.00"
