DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
fil,,,,,,
DISTRIBUTION,,,,,,,,
entity,Filecoin mining rewards,f0115,f0116,f0117,f0118,f0119,f0120,Investors
t000,"1,100,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","200,000,000.00"
t001,"1,099,290,692.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","200,000,000.00"
t002,"1,095,490,692.00","100,000,000.00","100,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","200,000,000.00"
t003,"1,090,620,692.00",???,???,"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","40,000.00"
t004,"1,085,270,692.00",???,???,"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","4,611.00"
t005,"1,078,490,692.00",???,???,"48,660,000.00","48,660,000.00","48,570,000.00","48,570,000.00","4,611.00"
t006,"1,070,380,692.00",???,???,"47,970,000.00","47,970,000.00","47,929,834.00","47,929,882.00","4,611.00"
t007,"1,061,950,692.00",???,???,"47,408,333.00","47,948,801.00","47,884,834.00","47,929,882.00","4,611.00"
t008,"1,051,190,692.00",???,???,"46,679,304.00","47,948,801.00","47,496,834.00","47,929,882.00","4,611.00"
t009,"1,040,190,692.00",???,???,"45,969,304.00","47,487,356.00","46,796,834.00","47,929,882.00","4,611.00"
t010,"1,028,950,692.00",???,???,"45,299,304.00","47,074,650.00","45,266,834.00","47,929,882.00","4,611.00"
t011,"1,018,350,692.00",???,???,"44,779,304.00","46,638,636.00","44,766,834.00","44,949,882.00","4,611.00"
t012,"1,007,510,692.00",???,???,"43,789,304.00","46,638,636.00","44,266,834.00","43,879,882.00","4,611.00"
t013,"996,770,692.00",???,???,"43,315,137.00","46,638,636.00","43,846,834.00","43,259,882.00","4,611.00"
t014,"986,570,692.00",???,???,"42,840,970.00","46,638,636.00","43,456,834.00","42,959,882.00","4,611.00"
t015,"976,200,692.00",???,???,"42,366,803.00","45,814,175.00","43,456,834.00","42,359,882.00","4,611.00"
t016,"966,310,692.00",???,???,"41,892,636.00","45,425,734.00","43,456,834.00","41,759,882.00","4,370.00"
t017,"956,260,692.00",???,???,"41,418,469.00","45,044,118.00","43,456,834.00","41,759,882.00","4,370.00"
t018,"946,400,692.00",???,???,"40,944,302.00","44,699,488.00","42,935,532.00","41,759,882.00","4,370.00"
t019,"937,780,692.00",???,???,"40,470,135.00","44,147,483.00","42,935,532.00","41,159,882.00","4,370.00"
t020,"928,330,692.00",???,???,"39,995,968.00","43,636,016.00","42,935,532.00","39,959,882.00","4,370.00"
t021,"919,240,692.00",???,???,"39,521,801.00","42,759,051.00","42,935,532.00","39,359,882.00","4,370.00"
t022,???,???,???,???,???,???,???,???
t023,???,???,???,???,???,???,???,???
t024,???,???,???,???,???,???,???,???
t025,???,???,???,???,???,???,???,???
t026,???,???,???,???,???,???,???,???
t027,???,???,???,???,???,???,???,???
t028,???,???,???,???,???,???,???,???
t029,???,???,???,???,???,???,???,???
t030,???,???,???,???,???,???,???,???
t031,???,???,???,???,???,???,???,???
t032,???,???,???,???,???,???,???,???
t033,???,???,???,???,???,???,???,???
t034,???,???,???,???,???,???,???,???
t035,???,???,???,???,???,???,???,???
t036,???,???,???,???,???,???,???,???
