DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
flm,,,,,,
DISTRIBUTION,,,,,
entity,public sale,mint rush,lp rewards,fusd minting,perp rewards
t000,"6,255,000.00","43,755,000.00",-,-,-
t001,"6,255,000.00","43,755,000.00",-,-,-
t002,"6,255,000.00","43,755,000.00","39,997,500.00","15,000,000.00",-
t003,"6,255,000.00","43,755,000.00","79,995,000.00","15,000,000.00","4,995,000.00"
t004,nan,nan,nan,nan,nan
t005,nan,nan,nan,nan,nan
t006,nan,nan,nan,nan,nan
t007,nan,nan,nan,nan,nan
t008,nan,nan,nan,nan,nan
t009,nan,nan,nan,nan,nan
t010,nan,nan,nan,nan,nan
t011,nan,nan,nan,nan,nan
t012,nan,nan,nan,nan,nan
t013,nan,nan,nan,nan,nan
t014,nan,nan,nan,nan,nan
t015,nan,nan,nan,nan,nan
t016,nan,nan,nan,nan,nan
t017,nan,nan,nan,nan,nan
t018,nan,nan,nan,nan,nan
t019,nan,nan,nan,nan,nan
t020,nan,nan,nan,nan,nan
t021,nan,nan,nan,nan,nan
t022,nan,nan,nan,nan,nan
t023,nan,nan,nan,nan,nan
t024,nan,nan,nan,nan,nan
t025,nan,nan,nan,nan,nan
t026,nan,nan,nan,nan,nan
t027,nan,nan,nan,nan,nan
t028,nan,nan,nan,nan,nan
t029,nan,nan,nan,nan,nan
t030,nan,nan,nan,nan,nan
t031,nan,nan,nan,nan,nan
t032,nan,nan,nan,nan,nan
t033,nan,nan,nan,nan,nan
t034,nan,nan,nan,nan,nan
t035,nan,nan,nan,nan,nan
t036,nan,nan,nan,nan,nan
