DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
flow,,,,,,
DISTRIBUTION,,,,,
entity,reserve,dapper labs,backers,team,public sale
t000,-,-,-,-,-
t001,-,"4,707,337.00",-,-,-
t002,-,"9,414,674.00",-,-,-
t003,-,"14,122,012.00",-,-,-
t004,-,"18,829,349.00",-,-,-
t005,-,"23,536,686.00",-,-,-
t006,-,"28,244,023.00",-,-,-
t007,-,"32,951,361.00",-,-,-
t008,-,"37,658,698.00",-,-,-
t009,-,"42,366,035.00",-,-,-
t010,-,"47,073,372.00",-,-,-
t011,-,"51,780,710.00",-,-,-
t012,"409,538,339.00","56,488,047.00",-,-,-
t013,"409,538,339.00","61,195,384.00","23,536,686.00","7,061,006.00","15,298,846.00"
t014,"409,538,339.00","65,902,721.00","47,073,372.00","14,122,012.00","30,597,692.00"
t015,"409,538,339.00","70,610,059.00","70,610,059.00","21,183,018.00","45,896,538.00"
t016,"409,538,339.00","75,317,396.00","94,146,745.00","28,244,023.00","61,195,384.00"
t017,"409,538,339.00","80,024,733.00","117,683,431.00","35,305,029.00","76,494,230.00"
t018,"409,538,339.00","84,732,070.00","141,220,117.00","42,366,035.00","91,793,076.00"
t019,"409,538,339.00","89,439,407.00","164,756,803.00","49,427,041.00","107,091,922.00"
t020,"409,538,339.00","94,146,745.00","188,293,489.00","56,488,047.00","122,390,768.00"
t021,"409,538,339.00","98,854,082.00","211,830,176.00","63,549,053.00","137,689,614.00"
t022,"409,538,339.00","103,561,419.00","235,366,862.00","70,610,058.00","152,988,460.00"
t023,"409,538,339.00","108,268,756.00","258,903,548.00","77,671,064.00","168,287,306.00"
t024,"409,538,339.00","112,976,094.00","282,440,234.00","84,732,070.00","183,586,152.00"
t025,"409,538,339.00","117,683,431.00","282,440,234.00","91,793,076.00","183,586,152.00"
t026,"409,538,339.00","122,390,768.00","282,440,234.00","98,854,082.00","183,586,152.00"
t027,"409,538,339.00","127,098,105.00","282,440,234.00","105,915,088.00","183,586,152.00"
t028,"409,538,339.00","131,805,443.00","282,440,234.00","112,976,093.00","183,586,152.00"
t029,"409,538,339.00","136,512,780.00","282,440,234.00","120,037,099.00","183,586,152.00"
t030,"409,538,339.00","141,220,117.00","282,440,234.00","127,098,105.00","183,586,152.00"
t031,"409,538,339.00","145,927,454.00","282,440,234.00","134,159,111.00","183,586,152.00"
t032,"409,538,339.00","150,634,791.00","282,440,234.00","141,220,117.00","183,586,152.00"
t033,"409,538,339.00","155,342,129.00","282,440,234.00","148,281,123.00","183,586,152.00"
t034,"409,538,339.00","160,049,466.00","282,440,234.00","155,342,128.00","183,586,152.00"
t035,"409,538,339.00","164,756,803.00","282,440,234.00","162,403,134.00","183,586,152.00"
t036,"409,538,339.00","169,464,140.00","282,440,234.00","169,464,140.00","183,586,152.00"
