DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
ftm,,,,,,
DISTRIBUTION,,,,,
entity,public & private sale,advisors,team,reserves,staking rewards
t000,"558,800,000.00",-,-,"422,275,000.00",-
t001,"558,800,000.00",-,-,"422,275,000.00","6,085,417.00"
t002,"558,800,000.00",-,-,"422,275,000.00","12,170,833.00"
t003,"558,800,000.00","539,750,000.00",-,"422,275,000.00","18,256,250.00"
t004,"558,800,000.00","539,750,000.00",-,"422,275,000.00","24,341,667.00"
t005,"558,800,000.00","539,750,000.00",-,"422,275,000.00","30,427,083.00"
t006,"558,800,000.00","539,750,000.00",-,"422,275,000.00","36,512,500.00"
t007,"558,800,000.00","539,750,000.00",-,"422,275,000.00","42,597,917.00"
t008,"558,800,000.00","539,750,000.00",-,"422,275,000.00","48,683,333.00"
t009,"558,800,000.00","539,750,000.00",-,"422,275,000.00","54,768,750.00"
t010,"558,800,000.00","539,750,000.00",-,"422,275,000.00","60,854,167.00"
t011,"558,800,000.00","539,750,000.00",-,"422,275,000.00","66,939,583.00"
t012,"558,800,000.00","539,750,000.00",-,"422,275,000.00","73,025,000.00"
t013,"558,800,000.00","539,750,000.00",-,"422,275,000.00","79,110,417.00"
t014,"558,800,000.00","539,750,000.00",-,"422,275,000.00","85,195,833.00"
t015,"558,800,000.00","539,750,000.00",-,"422,275,000.00","91,281,250.00"
t016,"558,800,000.00","539,750,000.00",-,"422,275,000.00","97,366,667.00"
t017,"558,800,000.00","539,750,000.00",-,"422,275,000.00","103,452,083.00"
t018,"558,800,000.00","539,750,000.00",-,"422,275,000.00","109,537,500.00"
t019,"558,800,000.00","539,750,000.00",-,"422,275,000.00","115,622,917.00"
t020,"558,800,000.00","539,750,000.00",-,"422,275,000.00","121,708,333.00"
t021,"558,800,000.00","539,750,000.00",-,"422,275,000.00","127,793,750.00"
t022,"558,800,000.00","539,750,000.00",-,"422,275,000.00","133,879,167.00"
t023,"558,800,000.00","539,750,000.00",-,"422,275,000.00","139,964,583.00"
t024,"558,800,000.00","539,750,000.00","460,375,000.00","422,275,000.00","146,050,000.00"
t025,"558,800,000.00","539,750,000.00","460,375,000.00","422,275,000.00","152,135,417.00"
t026,"558,800,000.00","539,750,000.00","460,375,000.00","422,275,000.00","158,220,833.00"
t027,"558,800,000.00","539,750,000.00","460,375,000.00","422,275,000.00","164,306,250.00"
t028,"558,800,000.00","539,750,000.00","460,375,000.00","422,275,000.00","170,391,667.00"
t029,"558,800,000.00","539,750,000.00","460,375,000.00","422,275,000.00","176,477,083.00"
t030,"558,800,000.00","539,750,000.00","460,375,000.00","422,275,000.00","182,562,500.00"
t031,"558,800,000.00","539,750,000.00","460,375,000.00","422,275,000.00","188,647,917.00"
t032,"558,800,000.00","539,750,000.00","460,375,000.00","422,275,000.00","194,733,333.00"
t033,"558,800,000.00","539,750,000.00","460,375,000.00","422,275,000.00","200,818,750.00"
t034,"558,800,000.00","539,750,000.00","460,375,000.00","422,275,000.00","206,904,167.00"
t035,"558,800,000.00","539,750,000.00","460,375,000.00","422,275,000.00","212,989,583.00"
t036,"558,800,000.00","539,750,000.00","460,375,000.00","422,275,000.00","219,075,000.00"
