DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
ftt,,,,,,
DISTRIBUTION,,,,,,,,
entity,backstop fund,safety fund,ftt liquidity fund,team,advisors,company,ecosystem fund,user acquisition fund
t000,"17,500,000.00","17,500,000.00","70,000,000.00",-,-,-,"35,000,000.00","35,000,000.00"
t001,"17,500,000.00","17,500,000.00","70,000,000.00","1,944,444.00","486,111.00","2,430,556.00","35,000,000.00","35,000,000.00"
t002,"17,500,000.00","17,500,000.00","70,000,000.00","3,888,889.00","972,222.00","4,861,111.00","35,000,000.00","35,000,000.00"
t003,"17,500,000.00","17,500,000.00","70,000,000.00","5,833,333.00","1,458,333.00","7,291,667.00","35,000,000.00","35,000,000.00"
t004,"17,500,000.00","17,500,000.00","70,000,000.00","7,777,778.00","1,944,444.00","9,722,222.00","35,000,000.00","35,000,000.00"
t005,"17,500,000.00","17,500,000.00","70,000,000.00","9,722,222.00","2,430,556.00","12,152,778.00","35,000,000.00","35,000,000.00"
t006,"17,500,000.00","17,500,000.00","70,000,000.00","11,666,667.00","2,916,667.00","14,583,333.00","35,000,000.00","35,000,000.00"
t007,"17,500,000.00","17,500,000.00","70,000,000.00","13,611,111.00","3,402,778.00","17,013,889.00","35,000,000.00","35,000,000.00"
t008,"17,500,000.00","17,500,000.00","70,000,000.00","15,555,556.00","3,888,889.00","19,444,444.00","35,000,000.00","35,000,000.00"
t009,"17,500,000.00","17,500,000.00","70,000,000.00","17,500,000.00","4,375,000.00","21,875,000.00","35,000,000.00","35,000,000.00"
t010,"17,500,000.00","17,500,000.00","70,000,000.00","19,444,444.00","4,861,111.00","24,305,556.00","35,000,000.00","35,000,000.00"
t011,"17,500,000.00","17,500,000.00","70,000,000.00","21,388,889.00","5,347,222.00","26,736,111.00","35,000,000.00","35,000,000.00"
t012,"17,500,000.00","17,500,000.00","70,000,000.00","23,333,333.00","5,833,333.00","29,166,667.00","35,000,000.00","35,000,000.00"
t013,"17,500,000.00","17,500,000.00","70,000,000.00","25,277,778.00","6,319,444.00","31,597,222.00","35,000,000.00","35,000,000.00"
t014,"17,500,000.00","17,500,000.00","70,000,000.00","27,222,222.00","6,805,556.00","34,027,778.00","35,000,000.00","35,000,000.00"
t015,"17,500,000.00","17,500,000.00","70,000,000.00","29,166,667.00","7,291,667.00","36,458,333.00","35,000,000.00","35,000,000.00"
t016,"17,500,000.00","17,500,000.00","70,000,000.00","31,111,111.00","7,777,778.00","38,888,889.00","35,000,000.00","35,000,000.00"
t017,"17,500,000.00","17,500,000.00","70,000,000.00","33,055,556.00","8,263,889.00","41,319,444.00","35,000,000.00","35,000,000.00"
t018,"17,500,000.00","17,500,000.00","70,000,000.00","35,000,000.00","8,750,000.00","43,750,000.00","35,000,000.00","35,000,000.00"
t019,"17,500,000.00","17,500,000.00","70,000,000.00","36,944,444.00","9,236,111.00","46,180,556.00","35,000,000.00","35,000,000.00"
t020,"17,500,000.00","17,500,000.00","70,000,000.00","38,888,889.00","9,722,222.00","48,611,111.00","35,000,000.00","35,000,000.00"
t021,"17,500,000.00","17,500,000.00","70,000,000.00","40,833,333.00","10,208,333.00","51,041,667.00","35,000,000.00","35,000,000.00"
t022,"17,500,000.00","17,500,000.00","70,000,000.00","42,777,778.00","10,694,444.00","53,472,222.00","35,000,000.00","35,000,000.00"
t023,"17,500,000.00","17,500,000.00","70,000,000.00","44,722,222.00","11,180,556.00","55,902,778.00","35,000,000.00","35,000,000.00"
t024,"17,500,000.00","17,500,000.00","70,000,000.00","46,666,667.00","11,666,667.00","58,333,333.00","35,000,000.00","35,000,000.00"
t025,"17,500,000.00","17,500,000.00","70,000,000.00","48,611,111.00","12,152,778.00","60,763,889.00","35,000,000.00","35,000,000.00"
t026,"17,500,000.00","17,500,000.00","70,000,000.00","50,555,556.00","12,638,889.00","63,194,444.00","35,000,000.00","35,000,000.00"
t027,"17,500,000.00","17,500,000.00","70,000,000.00","52,500,000.00","13,125,000.00","65,625,000.00","35,000,000.00","35,000,000.00"
t028,"17,500,000.00","17,500,000.00","70,000,000.00","54,444,444.00","13,611,111.00","68,055,556.00","35,000,000.00","35,000,000.00"
t029,"17,500,000.00","17,500,000.00","70,000,000.00","56,388,889.00","14,097,222.00","70,486,111.00","35,000,000.00","35,000,000.00"
t030,"17,500,000.00","17,500,000.00","70,000,000.00","58,333,333.00","14,583,333.00","72,916,667.00","35,000,000.00","35,000,000.00"
t031,"17,500,000.00","17,500,000.00","70,000,000.00","60,277,778.00","15,069,444.00","75,347,222.00","35,000,000.00","35,000,000.00"
t032,"17,500,000.00","17,500,000.00","70,000,000.00","62,222,222.00","15,555,556.00","77,777,778.00","35,000,000.00","35,000,000.00"
t033,"17,500,000.00","17,500,000.00","70,000,000.00","64,166,667.00","16,041,667.00","80,208,333.00","35,000,000.00","35,000,000.00"
t034,"17,500,000.00","17,500,000.00","70,000,000.00","66,111,111.00","16,527,778.00","82,638,889.00","35,000,000.00","35,000,000.00"
t035,"17,500,000.00","17,500,000.00","70,000,000.00","68,055,556.00","17,013,889.00","85,069,444.00","35,000,000.00","35,000,000.00"
t036,"17,500,000.00","17,500,000.00","70,000,000.00","70,000,000.00","17,500,000.00","87,500,000.00","35,000,000.00","35,000,000.00"
