DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
fxs,,,,,,
DISTRIBUTION,,,,,
entity,community,treasury,team,private sale,advisors
t000,"60,000,000.00","5,000,000.00",-,"2,000,000.00","83,333.00"
t001,"60,000,000.00","5,000,000.00",-,"2,833,333.00","83,333.00"
t002,"60,000,000.00","5,000,000.00",-,"3,666,666.00","166,666.00"
t003,"60,000,000.00","5,000,000.00",-,"4,499,999.00","249,999.00"
t004,"60,000,000.00","5,000,000.00",-,"5,333,332.00","333,332.00"
t005,"60,000,000.00","5,000,000.00",-,"6,166,665.00","416,665.00"
t006,"60,000,000.00","5,000,000.00","10,000,000.00","6,999,998.00","499,998.00"
t007,"60,000,000.00","5,000,000.00","10,000,000.00","6,999,998.00","583,331.00"
t008,"60,000,000.00","5,000,000.00","10,000,000.00","6,999,998.00","666,664.00"
t009,"60,000,000.00","5,000,000.00","10,000,000.00","6,999,998.00","749,997.00"
t010,"60,000,000.00","5,000,000.00","10,000,000.00","6,999,998.00","833,330.00"
t011,"60,000,000.00","5,000,000.00","10,000,000.00","6,999,998.00","916,663.00"
t012,"60,000,000.00","5,000,000.00","20,000,000.00","9,499,998.00","999,996.00"
t013,"60,000,000.00","5,000,000.00","20,000,000.00","9,499,998.00","1,083,329.00"
t014,"60,000,000.00","5,000,000.00","20,000,000.00","9,499,998.00","1,166,662.00"
t015,"60,000,000.00","5,000,000.00","20,000,000.00","9,499,998.00","1,249,995.00"
t016,"60,000,000.00","5,000,000.00","20,000,000.00","9,499,998.00","1,333,328.00"
t017,"60,000,000.00","5,000,000.00","20,000,000.00","9,499,998.00","1,416,661.00"
t018,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","1,499,994.00"
t019,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","1,583,327.00"
t020,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","1,666,660.00"
t021,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","1,749,993.00"
t022,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","1,833,326.00"
t023,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","1,916,659.00"
t024,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","1,999,992.00"
t025,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","2,083,325.00"
t026,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","2,166,658.00"
t027,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","2,249,991.00"
t028,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","2,333,324.00"
t029,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","2,416,657.00"
t030,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","2,499,990.00"
t031,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","2,583,323.00"
t032,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","2,666,656.00"
t033,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","2,749,989.00"
t034,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","2,833,322.00"
t035,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","2,916,655.00"
t036,"60,000,000.00","5,000,000.00","20,000,000.00","12,000,000.00","3,000,000.00"
