DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
gods,,,,,,
DISTRIBUTION,,,,,,,
entity,play to earn rewards,reserve,community fund,community allocation,foundation,public sale I,public sale II
t000,-,-,-,"17,500,000.00","32,500,000.00",-,-
t001,-,-,"1,423,611.00","23,166,667.00","32,500,000.00",-,"1,666,667.00"
t002,-,-,"2,847,222.00","28,833,333.00","32,500,000.00",-,"3,333,333.00"
t003,"2,361,111.00",-,"4,270,833.00","34,500,000.00","32,500,000.00","7,500,000.00","5,000,000.00"
t004,"4,722,222.00",-,"5,694,444.00","37,000,000.00","32,500,000.00","625,000.00","6,666,667.00"
t005,"7,083,333.00",-,"7,118,056.00","37,000,000.00","32,500,000.00","1,250,000.00","8,333,333.00"
t006,"9,444,444.00",-,"8,541,667.00","37,000,000.00","32,500,000.00","1,875,000.00","10,000,000.00"
t007,"11,805,556.00",-,"9,965,278.00","37,000,000.00","32,500,000.00","2,500,000.00","11,666,667.00"
t008,"14,166,667.00",-,"11,388,889.00","37,000,000.00","32,500,000.00","3,125,000.00","13,333,333.00"
t009,"16,527,778.00",-,"12,812,500.00","37,000,000.00","32,500,000.00","3,750,000.00","15,000,000.00"
t010,"18,888,889.00",-,"14,236,111.00","37,000,000.00","32,500,000.00","4,375,000.00","16,666,667.00"
t011,"21,250,000.00",-,"15,659,722.00","37,000,000.00","32,500,000.00","5,000,000.00","18,333,333.00"
t012,"23,611,111.00","31,250,000.00","17,083,333.00","37,000,000.00","32,500,000.00","5,625,000.00","20,000,000.00"
t013,"25,972,222.00","31,250,000.00","18,506,944.00","37,000,000.00","32,500,000.00","6,250,000.00","20,000,000.00"
t014,"28,333,333.00","31,250,000.00","19,930,556.00","37,000,000.00","32,500,000.00","6,875,000.00","20,000,000.00"
t015,"30,694,444.00","31,250,000.00","21,354,167.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t016,"33,055,556.00","31,250,000.00","22,777,778.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t017,"35,416,667.00","31,250,000.00","24,201,389.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t018,"37,777,778.00","31,250,000.00","25,625,000.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t019,"40,138,889.00","31,250,000.00","27,048,611.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t020,"42,500,000.00","31,250,000.00","28,472,222.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t021,"44,861,111.00","31,250,000.00","29,895,833.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t022,"47,222,222.00","31,250,000.00","31,319,444.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t023,"49,583,333.00","31,250,000.00","32,743,056.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t024,"51,944,444.00","62,500,000.00","34,166,667.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t025,"54,305,556.00","62,500,000.00","35,590,278.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t026,"56,666,667.00","62,500,000.00","37,013,889.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t027,"59,027,778.00","62,500,000.00","38,437,500.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t028,"61,388,889.00","62,500,000.00","39,861,111.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t029,"63,750,000.00","62,500,000.00","41,284,722.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t030,"66,111,111.00","62,500,000.00","42,708,333.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t031,"68,472,222.00","62,500,000.00","44,131,944.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t032,"70,833,333.00","62,500,000.00","45,555,556.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t033,"73,194,444.00","62,500,000.00","46,979,167.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t034,"75,555,556.00","62,500,000.00","48,402,778.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t035,"77,916,667.00","62,500,000.00","49,826,389.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
t036,"80,277,778.00","93,750,000.00","51,250,000.00","37,000,000.00","32,500,000.00","7,500,000.00","20,000,000.00"
