DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
grt,,,,,,
DISTRIBUTION,,,,,,,,,,,
entity,foundation,educational programs,bug bounties,testnet indexer rewards,curator program grants,public sale,strategic grt sale,early backers,backers,team,edge & node
t000,"266,800,000.00","600,000,000.00","100,000,000.00",-,-,"1,200,000,000.00",-,-,-,-,"8,000,000.00"
t001,"312,910,000.00","600,000,000.00","100,000,000.00",-,-,"1,200,000,000.00",-,-,-,-,"21,200,000.00"
t002,"359,020,000.00","600,000,000.00","100,000,000.00",-,-,"1,200,000,000.00",-,-,-,-,"34,400,000.00"
t003,"405,130,000.00","600,000,000.00","100,000,000.00",-,"56,250,000.00","1,200,000,000.00",-,-,-,-,"47,600,000.00"
t004,"451,240,000.00","600,000,000.00","100,000,000.00",-,"56,250,000.00","1,200,000,000.00",-,-,-,-,"60,800,000.00"
t005,"497,350,000.00","600,000,000.00","100,000,000.00",-,"56,250,000.00","1,200,000,000.00",-,-,-,-,"74,000,000.00"
t006,"543,460,000.00","600,000,000.00","100,000,000.00",-,"112,500,000.00","1,200,000,000.00",-,"1,700,000,000.00",-,"287,500,000.00","87,200,000.00"
t007,"589,570,000.00","600,000,000.00","100,000,000.00",-,"112,500,000.00","1,200,000,000.00",-,"1,700,000,000.00",-,"287,500,000.00","100,400,000.00"
t008,"635,680,000.00","600,000,000.00","100,000,000.00",-,"112,500,000.00","1,200,000,000.00",-,"1,700,000,000.00",-,"287,500,000.00","113,600,000.00"
t009,"681,790,000.00","600,000,000.00","100,000,000.00",-,"168,750,000.00","1,200,000,000.00",-,"1,700,000,000.00",-,"287,500,000.00","126,800,000.00"
t010,"727,900,000.00","600,000,000.00","100,000,000.00",-,"168,750,000.00","1,200,000,000.00",-,"1,700,000,000.00",-,"287,500,000.00","140,000,000.00"
t011,"774,010,000.00","600,000,000.00","100,000,000.00",-,"168,750,000.00","1,200,000,000.00",-,"1,700,000,000.00",-,"287,500,000.00","153,200,000.00"
t012,"820,120,000.00","600,000,000.00","100,000,000.00",-,"225,000,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","575,000,000.00","166,400,000.00"
t013,"866,230,000.00","600,000,000.00","100,000,000.00","75,000,000.00","225,000,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","575,000,000.00","179,600,000.00"
t014,"912,340,000.00","600,000,000.00","100,000,000.00","150,000,000.00","225,000,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","575,000,000.00","192,800,000.00"
t015,"958,450,000.00","600,000,000.00","100,000,000.00","225,000,000.00","281,250,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","575,000,000.00","206,000,000.00"
t016,"1,004,560,000.00","600,000,000.00","100,000,000.00","300,000,000.00","281,250,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","575,000,000.00","219,200,000.00"
t017,"1,050,670,000.00","600,000,000.00","100,000,000.00","375,000,000.00","281,250,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","575,000,000.00","232,400,000.00"
t018,"1,096,780,000.00","600,000,000.00","100,000,000.00","450,000,000.00","337,500,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","862,500,000.00","245,600,000.00"
t019,"1,142,890,000.00","600,000,000.00","100,000,000.00","525,000,000.00","337,500,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","862,500,000.00","258,800,000.00"
t020,"1,189,000,000.00","600,000,000.00","100,000,000.00","600,000,000.00","337,500,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","862,500,000.00","272,000,000.00"
t021,"1,235,110,000.00","600,000,000.00","100,000,000.00","675,000,000.00","393,750,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","862,500,000.00","285,200,000.00"
t022,"1,281,220,000.00","600,000,000.00","100,000,000.00","750,000,000.00","393,750,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","862,500,000.00","298,400,000.00"
t023,"1,327,330,000.00","600,000,000.00","100,000,000.00","825,000,000.00","393,750,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","862,500,000.00","311,600,000.00"
t024,"1,373,440,000.00","600,000,000.00","100,000,000.00","900,000,000.00","450,000,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","1,150,000,000.00","324,800,000.00"
t025,"1,419,550,000.00","600,000,000.00","100,000,000.00","900,000,000.00","450,000,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","1,150,000,000.00","338,000,000.00"
t026,"1,465,660,000.00","600,000,000.00","100,000,000.00","900,000,000.00","450,000,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","1,150,000,000.00","351,200,000.00"
t027,"1,511,770,000.00","600,000,000.00","100,000,000.00","900,000,000.00","506,250,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","1,150,000,000.00","364,400,000.00"
t028,"1,557,880,000.00","600,000,000.00","100,000,000.00","900,000,000.00","506,250,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","1,150,000,000.00","377,600,000.00"
t029,"1,603,990,000.00","600,000,000.00","100,000,000.00","900,000,000.00","506,250,000.00","1,200,000,000.00","600,000,000.00","1,700,000,000.00","1,700,000,000.00","1,150,000,000.00","390,800,000.00"
