DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
gt,,,,,,
DISTRIBUTION,,,,,
entity,gate.io,research & development,marketing,community development,pos mining & holding reward
t000,"300,000,000.00",-,-,-,"200,000,000.00"
t001,"300,000,000.00",-,-,-,"200,000,000.00"
t002,"300,000,000.00",-,-,-,"200,000,000.00"
t003,"300,000,000.00",-,-,-,"200,000,000.00"
t004,"300,000,000.00",-,-,-,"200,000,000.00"
t005,"300,000,000.00",-,-,-,"200,000,000.00"
t006,"300,000,000.00",-,-,-,"200,000,000.00"
t007,"300,000,000.00",-,-,-,"200,000,000.00"
t008,"300,000,000.00",-,-,-,"200,000,000.00"
t009,"300,000,000.00",-,-,-,"200,000,000.00"
t010,"300,000,000.00",-,-,-,"200,000,000.00"
t011,"300,000,000.00",-,-,-,"200,000,000.00"
t012,"300,000,000.00","1,666,667.00","833,333.00","1,666,667.00","200,000,000.00"
t013,"300,000,000.00","3,333,333.00","1,666,667.00","3,333,333.00","200,000,000.00"
t014,"300,000,000.00","5,000,000.00","2,500,000.00","5,000,000.00","200,000,000.00"
t015,"300,000,000.00","6,666,667.00","3,333,333.00","6,666,667.00","200,000,000.00"
t016,"300,000,000.00","8,333,333.00","4,166,667.00","8,333,333.00","200,000,000.00"
t017,"300,000,000.00","10,000,000.00","5,000,000.00","10,000,000.00","200,000,000.00"
t018,"300,000,000.00","11,666,667.00","5,833,333.00","11,666,667.00","200,000,000.00"
t019,"300,000,000.00","13,333,333.00","6,666,667.00","13,333,333.00","200,000,000.00"
t020,"300,000,000.00","15,000,000.00","7,500,000.00","15,000,000.00","200,000,000.00"
t021,"300,000,000.00","16,666,667.00","8,333,333.00","16,666,667.00","200,000,000.00"
t022,"300,000,000.00","18,333,333.00","9,166,667.00","18,333,333.00","200,000,000.00"
t023,"300,000,000.00","20,000,000.00","10,000,000.00","20,000,000.00","200,000,000.00"
t024,"300,000,000.00","21,666,667.00","10,833,333.00","21,666,667.00","200,000,000.00"
t025,"300,000,000.00","23,333,333.00","11,666,667.00","23,333,333.00","200,000,000.00"
t026,"300,000,000.00","25,000,000.00","12,500,000.00","25,000,000.00","200,000,000.00"
t027,"300,000,000.00","26,666,667.00","13,333,333.00","26,666,667.00","200,000,000.00"
t028,"300,000,000.00","28,333,333.00","14,166,667.00","28,333,333.00","200,000,000.00"
t029,"300,000,000.00","30,000,000.00","15,000,000.00","30,000,000.00","200,000,000.00"
t030,"300,000,000.00","31,666,667.00","15,833,333.00","31,666,667.00","200,000,000.00"
t031,"300,000,000.00","33,333,333.00","16,666,667.00","33,333,333.00","200,000,000.00"
t032,"300,000,000.00","35,000,000.00","17,500,000.00","35,000,000.00","200,000,000.00"
t033,"300,000,000.00","36,666,667.00","18,333,333.00","36,666,667.00","200,000,000.00"
t034,"300,000,000.00","38,333,333.00","19,166,667.00","38,333,333.00","200,000,000.00"
t035,"300,000,000.00","40,000,000.00","20,000,000.00","40,000,000.00","200,000,000.00"
t036,"300,000,000.00","41,666,667.00","20,833,333.00","41,666,667.00","200,000,000.00"
