DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
high,,,,,,
DISTRIBUTION,,,,,,,,,,
entity,EARLY INVESTORS,PRIVATE SALE,PUBLIC SALE,LAUNCHPOOL,PLAY TO EARN ,TREASURY,ECOSYSTEM RESERVES,MARKETING & PARTNERSHIP,TEAM,ADVISORS
t000,0,0,1.25,0,0,0,0,0,0,0
t001,0,0,1.25,0,0,0,0,0,0,0
t002,0.5,2.05,1.25,1,0,2,3.5,2,0,0
t003,0.5,2.05,1.25,1,0.31,2,3.5,2,0,0
t004,0.5,2.05,2.5,1,0.63,2,3.5,2,0,0
t005,0.5,4.11,2.5,1,0.94,2,3.5,2,0,0
t006,0.5,4.11,2.5,1,1.25,2,3.5,2,0,0
t007,0.5,4.11,2.5,1,1.56,2,3.5,2,0.67,0.17
t008,0.5,6.16,2.5,1,1.88,2,3.88,2,0.67,0.17
t009,0.5,6.16,2.5,1,2.19,2,3.88,2,0.67,0.17
t010,0.5,6.16,2.5,1,2.5,2.8,3.88,2,0.67,0.17
t011,0.5,8.21,2.5,1,2.81,2.8,3.88,3,0.67,0.17
t012,0.5,8.21,2.5,1,3.13,2.8,3.88,3,0.67,0.17
t013,0.5,8.21,2.5,1,3.44,2.8,3.88,3,1.33,0.33
t014,1,10.26,2.5,1,3.75,2.8,4.25,3,1.33,0.33
t015,1,10.26,2.5,1,4.06,2.8,4.25,3,1.33,0.33
t016,1,10.26,2.5,1,4.38,2.8,4.25,3,1.33,0.33
t017,1,12.32,2.5,1,4.69,2.85,4.25,3,1.33,0.33
t018,1,12.32,2.5,1,5,3.59,4.25,3,1.33,0.33
t019,1,12.32,2.5,1,5.31,3.59,4.25,3,2,0.5
t020,1,14.37,2.5,1,5.63,3.59,4.63,3,2,0.5
t021,1,14.37,2.5,1,5.94,3.59,4.63,4,2,0.5
t022,1,14.37,2.5,1,6.25,3.59,4.63,4,2,0.5
t023,1,16.42,2.5,1,6.56,3.59,4.63,4,2,0.5
t024,1,16.42,2.5,1,6.88,3.59,4.63,4,2,0.5
t025,1,16.42,2.5,1,7.19,3.59,4.63,4,2.67,0.67
t026,1,18.47,2.5,1,7.5,4.39,5,4,2.67,0.67
t027,1,18.47,2.5,1,7.81,4.39,5,4,2.67,0.67
t028,1,18.47,2.5,1,8.13,4.39,5,4,2.67,0.67
t029,1,20.53,2.5,1,8.44,4.39,5,4,2.67,0.67
t030,1,20.53,2.5,1,8.75,4.39,5,4,2.67,0.67
t031,1,20.53,2.5,1,9.06,4.39,5,4,3.33,0.83
t032,1,22.58,2.5,1,9.38,4.39,5.38,4,3.33,0.83
t033,1,22.58,2.5,1,9.69,4.39,5.38,4,3.33,0.83
t034,1,22.58,2.5,1,10,5.18,5.38,4,3.33,0.83
t035,1,24.63,2.5,1,10.31,5.18,5.38,4,3.33,0.83
t036,1,24.63,2.5,1,10.63,5.18,5.38,4,3.33,0.83
