DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
hop,,,,,,
DISTRIBUTION,,,,,
entity,airdrop,reserve,team,future team,investors
t000,"80,000,000.00","605,000,000.00",-,"28,000,000.00",-
t001,"80,000,000.00","605,000,000.00",-,"28,000,000.00",-
t002,"80,000,000.00","605,000,000.00",-,"28,000,000.00",-
t003,"80,000,000.00","605,000,000.00",-,"28,000,000.00",-
t004,"80,000,000.00","605,000,000.00",-,"28,000,000.00",-
t005,"80,000,000.00","605,000,000.00",-,"28,000,000.00",-
t006,"80,000,000.00","605,000,000.00",-,"28,000,000.00",-
t007,"80,000,000.00","605,000,000.00",-,"28,000,000.00",-
t008,"80,000,000.00","605,000,000.00",-,"28,000,000.00",-
t009,"80,000,000.00","605,000,000.00",-,"28,000,000.00",-
t010,"80,000,000.00","605,000,000.00",-,"28,000,000.00",-
t011,"80,000,000.00","605,000,000.00",-,"28,000,000.00",-
t012,"80,000,000.00","605,000,000.00",-,"28,000,000.00",-
t013,"80,000,000.00","605,000,000.00","74,833,333.00","28,000,000.00","20,833,333.00"
t014,"80,000,000.00","605,000,000.00","74,833,333.00","28,000,000.00","20,833,333.00"
t015,"80,000,000.00","605,000,000.00","74,833,333.00","28,000,000.00","20,833,333.00"
t016,"80,000,000.00","605,000,000.00","74,833,333.00","28,000,000.00","20,833,333.00"
t017,"80,000,000.00","605,000,000.00","74,833,333.00","28,000,000.00","20,833,333.00"
t018,"80,000,000.00","605,000,000.00","74,833,333.00","28,000,000.00","20,833,333.00"
t019,"80,000,000.00","605,000,000.00","74,833,333.00","28,000,000.00","20,833,333.00"
t020,"80,000,000.00","605,000,000.00","74,833,333.00","28,000,000.00","20,833,333.00"
t021,"80,000,000.00","605,000,000.00","74,833,333.00","28,000,000.00","20,833,333.00"
t022,"80,000,000.00","605,000,000.00","74,833,333.00","28,000,000.00","20,833,333.00"
t023,"80,000,000.00","605,000,000.00","74,833,333.00","28,000,000.00","20,833,333.00"
t024,"80,000,000.00","605,000,000.00","74,833,333.00","28,000,000.00","20,833,333.00"
t025,"80,000,000.00","605,000,000.00","149,666,666.00","28,000,000.00","41,666,666.00"
t026,"80,000,000.00","605,000,000.00","149,666,666.00","28,000,000.00","41,666,666.00"
t027,"80,000,000.00","605,000,000.00","149,666,666.00","28,000,000.00","41,666,666.00"
t028,"80,000,000.00","605,000,000.00","149,666,666.00","28,000,000.00","41,666,666.00"
t029,"80,000,000.00","605,000,000.00","149,666,666.00","28,000,000.00","41,666,666.00"
t030,"80,000,000.00","605,000,000.00","149,666,666.00","28,000,000.00","41,666,666.00"
t031,"80,000,000.00","605,000,000.00","149,666,666.00","28,000,000.00","41,666,666.00"
t032,"80,000,000.00","605,000,000.00","149,666,666.00","28,000,000.00","41,666,666.00"
t033,"80,000,000.00","605,000,000.00","149,666,666.00","28,000,000.00","41,666,666.00"
t034,"80,000,000.00","605,000,000.00","149,666,666.00","28,000,000.00","41,666,666.00"
t035,"80,000,000.00","605,000,000.00","149,666,666.00","28,000,000.00","41,666,666.00"
t036,"80,000,000.00","605,000,000.00","149,666,666.00","28,000,000.00","41,666,666.00"
