DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
ht,,,,,,
DISTRIBUTION,,
entity,exchange users,reserve
t000,"300,000,000.00","200,000,000.00"
t001,"300,000,000.00","200,000,000.00"
t002,"300,000,000.00","200,000,000.00"
t003,"300,000,000.00","200,000,000.00"
t004,"300,000,000.00","200,000,000.00"
t005,"300,000,000.00","200,000,000.00"
t006,"300,000,000.00","200,000,000.00"
t007,"300,000,000.00","200,000,000.00"
t008,"300,000,000.00","200,000,000.00"
t009,"300,000,000.00","200,000,000.00"
t010,"300,000,000.00","200,000,000.00"
t011,"300,000,000.00","200,000,000.00"
t012,"300,000,000.00","200,000,000.00"
t013,"300,000,000.00","200,000,000.00"
t014,"300,000,000.00","200,000,000.00"
t015,"300,000,000.00","200,000,000.00"
t016,"300,000,000.00","200,000,000.00"
t017,"300,000,000.00","200,000,000.00"
t018,"300,000,000.00","200,000,000.00"
t019,"300,000,000.00","200,000,000.00"
t020,"300,000,000.00","200,000,000.00"
t021,"300,000,000.00","200,000,000.00"
t022,"300,000,000.00","200,000,000.00"
t023,"300,000,000.00","200,000,000.00"
t024,"300,000,000.00","200,000,000.00"
t025,"300,000,000.00","200,000,000.00"
t026,"300,000,000.00","200,000,000.00"
t027,"300,000,000.00","200,000,000.00"
t028,"300,000,000.00","200,000,000.00"
t029,"300,000,000.00","200,000,000.00"
t030,"300,000,000.00","200,000,000.00"
t031,"300,000,000.00","200,000,000.00"
t032,"300,000,000.00","200,000,000.00"
t033,"300,000,000.00","200,000,000.00"
t034,"300,000,000.00","200,000,000.00"
t035,"300,000,000.00","200,000,000.00"
t036,"300,000,000.00","200,000,000.00"
