DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
hum,,,,,,
DISTRIBUTION,,,,,
entity,advisors,team,business development,community,public sale
t000,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t001,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t002,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t003,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t004,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t005,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t006,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t007,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t008,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t009,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t010,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t011,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t012,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t013,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t014,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t015,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t016,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t017,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t018,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t019,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t020,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t021,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t022,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t023,-,-,"187,500,000.00","250,000,000.00","500,000,000.00"
t024,"62,500,000.00",-,"187,500,000.00","250,000,000.00","500,000,000.00"
t025,"62,500,000.00",-,"187,500,000.00","250,000,000.00","500,000,000.00"
t026,"62,500,000.00",-,"187,500,000.00","250,000,000.00","500,000,000.00"
t027,"62,500,000.00",-,"187,500,000.00","250,000,000.00","500,000,000.00"
t028,"62,500,000.00",-,"187,500,000.00","250,000,000.00","500,000,000.00"
t029,"62,500,000.00",-,"187,500,000.00","250,000,000.00","500,000,000.00"
t030,"62,500,000.00",-,"187,500,000.00","250,000,000.00","500,000,000.00"
t031,"62,500,000.00",-,"187,500,000.00","250,000,000.00","500,000,000.00"
t032,"62,500,000.00",-,"187,500,000.00","250,000,000.00","500,000,000.00"
t033,"62,500,000.00",-,"187,500,000.00","250,000,000.00","500,000,000.00"
t034,"62,500,000.00",-,"187,500,000.00","250,000,000.00","500,000,000.00"
t035,"62,500,000.00",-,"187,500,000.00","250,000,000.00","500,000,000.00"
t036,"62,500,000.00",-,"187,500,000.00","250,000,000.00","500,000,000.00"
