DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
icp,,,,,,
DISTRIBUTION,,,,,,,,,,,,
entity,early contributors,seed sale,strategic sale,private sale,strategic partnership,airdrop,initial community and developers,node providers,internet computer associatoin,team,advisors,dfinity foundation
t000,"44,575,302.00","115,989,629.00","32,844,960.00",-,-,-,"2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t001,"44,575,302.00","115,989,629.00","32,844,960.00","1,939,417.00","912,360.00","312,809.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t002,"44,575,302.00","115,989,629.00","32,844,960.00","3,878,834.00","1,824,720.00","625,618.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t003,"44,575,302.00","115,989,629.00","32,844,960.00","5,818,251.00","2,737,080.00","938,427.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t004,"44,575,302.00","115,989,629.00","32,844,960.00","7,757,668.00","3,649,440.00","1,251,236.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t005,"44,575,302.00","115,989,629.00","32,844,960.00","9,697,085.00","4,561,800.00","1,564,045.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t006,"44,575,302.00","115,989,629.00","32,844,960.00","11,636,502.00","5,474,160.00","1,876,854.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t007,"44,575,302.00","115,989,629.00","32,844,960.00","13,575,919.00","6,386,520.00","2,189,663.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t008,"44,575,302.00","115,989,629.00","32,844,960.00","15,515,336.00","7,298,880.00","2,502,472.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t009,"44,575,302.00","115,989,629.00","32,844,960.00","17,454,753.00","8,211,240.00","2,815,281.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t010,"44,575,302.00","115,989,629.00","32,844,960.00","19,394,170.00","9,123,600.00","3,128,090.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t011,"44,575,302.00","115,989,629.00","32,844,960.00","21,333,587.00","10,035,960.00","3,440,899.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t012,"44,575,302.00","115,989,629.00","32,844,960.00","23,273,000.00","10,948,320.00","3,753,710.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t013,"44,575,302.00","115,989,629.00","32,844,960.00","23,273,000.00","11,860,680.00","3,753,710.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t014,"44,575,302.00","115,989,629.00","32,844,960.00","23,273,000.00","12,773,040.00","3,753,710.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t015,"44,575,302.00","115,989,629.00","32,844,960.00","23,273,000.00","13,685,400.00","3,753,710.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t016,"44,575,302.00","115,989,629.00","32,844,960.00","23,273,000.00","14,597,760.00","3,753,710.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t017,"44,575,302.00","115,989,629.00","32,844,960.00","23,273,000.00","15,510,120.00","3,753,710.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
t018,"44,575,302.00","115,989,629.00","32,844,960.00","23,273,000.00","16,422,480.00","3,753,710.00","2,252,226.00","1,032,270.00","19,988,504.00","84,458,468.00","11,261,129.00","111,954,391.00"
