DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
icx,,,,,,
DISTRIBUTION,,,
entity,block producers,cps,voters
t000,"390,000.00","300,000.00","2,310,000.00"
t001,"390,000.00","300,000.00","2,310,000.00"
t002,"390,000.00","300,000.00","2,310,000.00"
t003,"390,000.00","300,000.00","2,310,000.00"
t004,"390,000.00","300,000.00","2,310,000.00"
t005,"390,000.00","300,000.00","2,310,000.00"
t006,"390,000.00","300,000.00","2,310,000.00"
t007,"390,000.00","300,000.00","2,310,000.00"
t008,"390,000.00","300,000.00","2,310,000.00"
t009,"390,000.00","300,000.00","2,310,000.00"
t010,"390,000.00","300,000.00","2,310,000.00"
t011,"390,000.00","300,000.00","2,310,000.00"
t012,"390,000.00","300,000.00","2,310,000.00"
t013,"390,000.00","300,000.00","2,310,000.00"
t014,nan,nan,nan
t015,nan,nan,nan
t016,nan,nan,nan
t017,nan,nan,nan
t018,nan,nan,nan
t019,nan,nan,nan
t020,nan,nan,nan
t021,nan,nan,nan
t022,nan,nan,nan
t023,nan,nan,nan
t024,nan,nan,nan
t025,nan,nan,nan
t026,nan,nan,nan
t027,nan,nan,nan
t028,nan,nan,nan
t029,nan,nan,nan
t030,nan,nan,nan
t031,nan,nan,nan
t032,nan,nan,nan
t033,nan,nan,nan
t034,nan,nan,nan
t035,nan,nan,nan
t036,nan,nan,nan
