DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
ilv,,,,,,
DISTRIBUTION,,,,,,
entity,public sale,team,upper management,staking rewards,treasury,in-game rewards
t000,"634,000.00",-,-,-,"1,900,000.00","1,000,000.00"
t001,"634,000.00",-,-,-,"1,900,000.00","1,000,000.00"
t002,"634,000.00",-,-,-,"1,900,000.00","1,000,000.00"
t003,"634,000.00",-,-,-,"1,900,000.00","1,000,000.00"
t004,"634,000.00",-,-,-,"1,900,000.00","1,000,000.00"
t005,"634,000.00",-,-,-,"1,900,000.00","1,000,000.00"
t006,"634,000.00",-,-,-,"1,900,000.00","1,000,000.00"
t007,"634,000.00",-,-,-,"1,900,000.00","1,000,000.00"
t008,"634,000.00",-,-,-,"1,900,000.00","1,000,000.00"
t009,"634,000.00",-,-,-,"1,900,000.00","1,000,000.00"
t010,"634,000.00",-,-,-,"1,900,000.00","1,000,000.00"
t011,"634,000.00",-,-,-,"1,900,000.00","1,000,000.00"
t012,"634,000.00",-,-,-,"1,900,000.00","1,000,000.00"
t013,"634,000.00","166,667.00","38,889.00","83,333.00","1,900,000.00","1,000,000.00"
t014,"634,000.00","333,334.00","77,778.00","166,666.00","1,900,000.00","1,000,000.00"
t015,"634,000.00","500,001.00","116,667.00","249,999.00","1,900,000.00","1,000,000.00"
t016,"634,000.00","666,668.00","155,556.00","333,332.00","1,900,000.00","1,000,000.00"
t017,"634,000.00","833,335.00","194,445.00","416,665.00","1,900,000.00","1,000,000.00"
t018,"634,000.00","1,000,002.00","233,334.00","499,998.00","1,900,000.00","1,000,000.00"
t019,"634,000.00","1,166,669.00","272,223.00","583,331.00","1,900,000.00","1,000,000.00"
t020,"634,000.00","1,333,336.00","311,112.00","666,664.00","1,900,000.00","1,000,000.00"
t021,"634,000.00","1,500,003.00","350,001.00","749,997.00","1,900,000.00","1,000,000.00"
t022,"634,000.00","1,666,670.00","388,890.00","833,330.00","1,900,000.00","1,000,000.00"
t023,"634,000.00","1,833,337.00","427,779.00","916,663.00","1,900,000.00","1,000,000.00"
t024,"634,000.00","2,000,004.00","466,668.00","999,996.00","1,900,000.00","1,000,000.00"
t025,"634,000.00","2,100,000.00","505,557.00","1,083,329.00","1,900,000.00","1,000,000.00"
t026,"634,000.00","2,100,000.00","544,446.00","1,166,662.00","1,900,000.00","1,000,000.00"
t027,"634,000.00","2,100,000.00","583,335.00","1,249,995.00","1,900,000.00","1,000,000.00"
t028,"634,000.00","2,100,000.00","622,224.00","1,333,328.00","1,900,000.00","1,000,000.00"
t029,"634,000.00","2,100,000.00","661,113.00","1,416,661.00","1,900,000.00","1,000,000.00"
t030,"634,000.00","2,100,000.00","700,002.00","1,499,994.00","1,900,000.00","1,000,000.00"
t031,"634,000.00","2,100,000.00","738,891.00","1,583,327.00","1,900,000.00","1,000,000.00"
t032,"634,000.00","2,100,000.00","777,780.00","1,666,660.00","1,900,000.00","1,000,000.00"
t033,"634,000.00","2,100,000.00","816,669.00","1,749,993.00","1,900,000.00","1,000,000.00"
t034,"634,000.00","2,100,000.00","855,558.00","1,833,326.00","1,900,000.00","1,000,000.00"
t035,"634,000.00","2,100,000.00","894,447.00","1,916,659.00","1,900,000.00","1,000,000.00"
t036,"634,000.00","2,100,000.00","933,336.00","1,999,992.00","1,900,000.00","1,000,000.00"
