DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
imx,,,,,,
DISTRIBUTION,,,,,
entity,foundation,public sale,private sale,ecosystem development,project development
t000,"80,000,000.00","33,333,333.00",-,"43,116,667.00",-
t001,"80,000,000.00","66,666,666.00",-,"43,116,667.00",-
t002,"80,000,000.00","100,000,000.00",-,"86,233,334.00",-
t003,"80,000,000.00","100,000,000.00",-,"129,350,001.00",-
t004,"80,000,000.00","100,000,000.00",-,"172,466,668.00",-
t005,"80,000,000.00","100,000,000.00",-,"215,583,335.00",-
t006,"80,000,000.00","100,000,000.00",-,"258,700,002.00",-
t007,"80,000,000.00","100,000,000.00",-,"301,816,669.00",-
t008,"80,000,000.00","100,000,000.00",-,"344,933,336.00",-
t009,"80,000,000.00","100,000,000.00",-,"388,050,003.00",-
t010,"80,000,000.00","100,000,000.00",-,"431,166,670.00",-
t011,"80,000,000.00","100,000,000.00",-,"474,283,337.00",-
t012,"80,000,000.00","100,000,000.00",-,"517,400,004.00",-
t013,"80,000,000.00","100,000,000.00","9,506,667.00","560,516,671.00","10,416,667.00"
t014,"80,000,000.00","100,000,000.00","19,013,334.00","603,633,338.00","20,833,334.00"
t015,"80,000,000.00","100,000,000.00","28,520,001.00","646,750,005.00","31,250,001.00"
t016,"80,000,000.00","100,000,000.00","38,026,668.00","689,866,672.00","41,666,668.00"
t017,"80,000,000.00","100,000,000.00","47,533,335.00","732,983,339.00","52,083,335.00"
t018,"80,000,000.00","100,000,000.00","57,040,002.00","776,100,006.00","62,500,002.00"
t019,"80,000,000.00","100,000,000.00","66,546,669.00","819,216,673.00","72,916,669.00"
t020,"80,000,000.00","100,000,000.00","76,053,336.00","862,333,340.00","83,333,336.00"
t021,"80,000,000.00","100,000,000.00","85,560,003.00","905,450,007.00","93,750,003.00"
t022,"80,000,000.00","100,000,000.00","95,066,670.00","948,566,674.00","104,166,670.00"
t023,"80,000,000.00","100,000,000.00","104,573,337.00","991,683,341.00","114,583,337.00"
t024,"80,000,000.00","100,000,000.00","114,080,004.00","1,034,800,000.00","125,000,004.00"
t025,"80,000,000.00","100,000,000.00","123,586,671.00","1,034,800,000.00","135,416,671.00"
t026,"80,000,000.00","100,000,000.00","133,093,338.00","1,034,800,000.00","145,833,338.00"
t027,"80,000,000.00","100,000,000.00","142,600,005.00","1,034,800,000.00","156,250,005.00"
t028,"80,000,000.00","100,000,000.00","152,106,672.00","1,034,800,000.00","166,666,672.00"
t029,"80,000,000.00","100,000,000.00","161,613,339.00","1,034,800,000.00","177,083,339.00"
t030,"80,000,000.00","100,000,000.00","171,120,006.00","1,034,800,000.00","187,500,006.00"
t031,"80,000,000.00","100,000,000.00","180,626,673.00","1,034,800,000.00","197,916,673.00"
t032,"80,000,000.00","100,000,000.00","190,133,340.00","1,034,800,000.00","208,333,340.00"
t033,"80,000,000.00","100,000,000.00","199,640,007.00","1,034,800,000.00","218,750,007.00"
t034,"80,000,000.00","100,000,000.00","209,146,674.00","1,034,800,000.00","229,166,674.00"
t035,"80,000,000.00","100,000,000.00","218,653,341.00","1,034,800,000.00","239,583,341.00"
t036,"80,000,000.00","100,000,000.00","228,160,008.00","1,034,800,000.00","250,000,008.00"
