DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
kcs,,,,,,
DISTRIBUTION,,,,
entity,early participants,team,advisors,community rewards
t000,"100,000,000.00","1,083,333.00","416,667.00","10,000,000.00"
t001,"100,000,000.00","1,083,333.00","416,667.00","10,000,000.00"
t002,"100,000,000.00","2,166,666.00","833,334.00","10,000,000.00"
t003,"100,000,000.00","3,249,999.00","1,250,001.00","10,000,000.00"
t004,"100,000,000.00","4,333,332.00","1,666,668.00","10,000,000.00"
t005,"100,000,000.00","5,416,665.00","2,083,335.00","10,000,000.00"
t006,"100,000,000.00","6,499,998.00","2,500,002.00","10,000,000.00"
t007,"100,000,000.00","7,583,331.00","2,916,669.00","10,000,000.00"
t008,"100,000,000.00","8,666,664.00","3,333,336.00","10,000,000.00"
t009,"100,000,000.00","9,749,997.00","3,750,003.00","10,000,000.00"
t010,"100,000,000.00","10,833,330.00","4,166,670.00","10,000,000.00"
t011,"100,000,000.00","11,916,663.00","4,583,337.00","10,000,000.00"
t012,"100,000,000.00","12,999,996.00","5,000,004.00","10,000,000.00"
t013,"100,000,000.00","14,083,329.00","5,416,671.00","10,000,000.00"
t014,"100,000,000.00","15,166,662.00","5,833,338.00","10,000,000.00"
t015,"100,000,000.00","16,249,995.00","6,250,005.00","10,000,000.00"
t016,"100,000,000.00","17,333,328.00","6,666,672.00","10,000,000.00"
t017,"100,000,000.00","18,416,661.00","7,083,339.00","10,000,000.00"
t018,"100,000,000.00","19,499,994.00","7,500,006.00","10,000,000.00"
t019,"100,000,000.00","20,583,327.00","7,916,673.00","10,000,000.00"
t020,"100,000,000.00","21,666,660.00","8,333,340.00","10,000,000.00"
t021,"100,000,000.00","22,749,993.00","8,750,007.00","10,000,000.00"
t022,"100,000,000.00","23,833,326.00","9,166,674.00","10,000,000.00"
t023,"100,000,000.00","24,916,659.00","9,583,341.00","10,000,000.00"
t024,"100,000,000.00","25,999,992.00","10,000,008.00","10,000,000.00"
t025,"100,000,000.00","27,083,325.00","10,416,675.00","10,000,000.00"
t026,"100,000,000.00","28,166,658.00","10,833,342.00","10,000,000.00"
t027,"100,000,000.00","29,249,991.00","11,250,009.00","10,000,000.00"
t028,"100,000,000.00","30,333,324.00","11,666,676.00","10,000,000.00"
t029,"100,000,000.00","31,416,657.00","12,083,343.00","10,000,000.00"
t030,"100,000,000.00","32,499,990.00","12,500,010.00","10,000,000.00"
t031,"100,000,000.00","33,583,323.00","12,916,677.00","10,000,000.00"
t032,"100,000,000.00","34,666,656.00","13,333,344.00","10,000,000.00"
t033,"100,000,000.00","35,749,989.00","13,750,011.00","10,000,000.00"
t034,"100,000,000.00","36,833,322.00","14,166,678.00","10,000,000.00"
t035,"100,000,000.00","37,916,655.00","14,583,345.00","10,000,000.00"
t036,"100,000,000.00","38,999,988.00","15,000,012.00","10,000,000.00"
