DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
knc,,,,,,
DISTRIBUTION,,,
entity,reserve,founders & advisors,public sale
t000,"74,580,000.00",-,"51,528,000.00"
t001,"74,580,000.00",-,"51,528,000.00"
t002,"74,580,000.00",-,"51,528,000.00"
t003,"74,580,000.00",-,"51,528,000.00"
t004,"74,580,000.00",-,"51,528,000.00"
t005,"74,580,000.00",-,"51,528,000.00"
t006,"74,580,000.00",-,"51,528,000.00"
t007,"74,580,000.00",-,"51,528,000.00"
t008,"74,580,000.00",-,"51,528,000.00"
t009,"74,580,000.00",-,"51,528,000.00"
t010,"74,580,000.00",-,"51,528,000.00"
t011,"74,580,000.00",-,"51,528,000.00"
t012,"74,580,000.00","28,702,000.00","51,528,000.00"
t013,"74,580,000.00","28,702,000.00","51,528,000.00"
t014,"74,580,000.00","28,702,000.00","51,528,000.00"
t015,"74,580,000.00","28,702,000.00","51,528,000.00"
t016,"74,580,000.00","28,702,000.00","51,528,000.00"
t017,"74,580,000.00","28,702,000.00","51,528,000.00"
t018,"74,580,000.00","28,702,000.00","51,528,000.00"
t019,"74,580,000.00","28,702,000.00","51,528,000.00"
t020,"74,580,000.00","28,702,000.00","51,528,000.00"
t021,"74,580,000.00","28,702,000.00","51,528,000.00"
t022,"74,580,000.00","28,702,000.00","51,528,000.00"
t023,"74,580,000.00","28,702,000.00","51,528,000.00"
t024,"74,580,000.00","57,404,000.00","51,528,000.00"
t025,nan,nan,nan
t026,nan,nan,nan
t027,nan,nan,nan
t028,nan,nan,nan
t029,nan,nan,nan
t030,nan,nan,nan
t031,nan,nan,nan
t032,nan,nan,nan
t033,nan,nan,nan
t034,nan,nan,nan
t035,nan,nan,nan
t036,nan,nan,nan
