DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
ldo,,,,,,
DISTRIBUTION,,,,,
entity,reserve,investors,validators,early developers,team
t000,"363,200,000.00",-,-,-,-
t001,"363,200,000.00",-,-,-,-
t002,"363,200,000.00",-,-,-,-
t003,"363,200,000.00",-,-,-,-
t004,"363,200,000.00",-,-,-,-
t005,"363,200,000.00",-,-,-,-
t006,"363,200,000.00",-,-,-,-
t007,"363,200,000.00",-,-,-,-
t008,"363,200,000.00",-,-,-,-
t009,"363,200,000.00",-,-,-,-
t010,"363,200,000.00",-,-,-,-
t011,"363,200,000.00",-,-,-,-
t012,"363,200,000.00",-,-,-,-
t013,"363,200,000.00","18,483,333.00","5,416,666.00","16,666,666.00","12,500,000.00"
t014,"363,200,000.00","36,966,666.00","10,833,332.00","33,333,332.00","25,000,000.00"
t015,"363,200,000.00","55,449,999.00","16,249,998.00","49,999,998.00","37,500,000.00"
t016,"363,200,000.00","73,933,332.00","21,666,664.00","66,666,664.00","50,000,000.00"
t017,"363,200,000.00","92,416,665.00","27,083,330.00","83,333,330.00","62,500,000.00"
t018,"363,200,000.00","110,899,998.00","32,499,996.00","99,999,996.00","75,000,000.00"
t019,"363,200,000.00","129,383,331.00","37,916,662.00","116,666,662.00","87,500,000.00"
t020,"363,200,000.00","147,866,664.00","43,333,328.00","133,333,328.00","100,000,000.00"
t021,"363,200,000.00","166,349,997.00","48,749,994.00","149,999,994.00","112,500,000.00"
t022,"363,200,000.00","184,833,330.00","54,166,660.00","166,666,660.00","125,000,000.00"
t023,"363,200,000.00","203,316,663.00","59,583,326.00","183,333,326.00","137,500,000.00"
t024,"363,200,000.00","221,800,000.00","65,000,000.00","200,000,000.00","150,000,000.00"
t025,nan,nan,nan,nan,nan
t026,nan,nan,nan,nan,nan
t027,nan,nan,nan,nan,nan
t028,nan,nan,nan,nan,nan
t029,nan,nan,nan,nan,nan
t030,nan,nan,nan,nan,nan
t031,nan,nan,nan,nan,nan
t032,nan,nan,nan,nan,nan
t033,nan,nan,nan,nan,nan
t034,nan,nan,nan,nan,nan
t035,nan,nan,nan,nan,nan
t036,nan,nan,nan,nan,nan
