DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
lina,,,,,,
DISTRIBUTION,,,,,,,,,,,,
entity,seed sale,private sale I,private sale II,private sale III,public sale,team,advisors,exchange liquidity,ecosystem,community,reserve,staking rewards
t000,"20,000,000.00","70,000,000.00","53,000,000.00","16,000,000.00","63,000,000.00",-,-,"10,000,000.00","20,000,000.00","25,000,000.00",-,-
t001,"20,000,000.00","93,333,333.00","88,611,111.00","26,666,667.00","63,000,000.00",-,-,"23,611,111.00","36,333,333.00","32,916,667.00",-,-
t002,"40,000,000.00","116,666,666.00","124,222,222.00","37,333,334.00","63,000,000.00",-,-,"37,222,222.00","52,666,666.00","40,833,334.00",-,-
t003,"60,000,000.00","139,999,999.00","159,833,333.00","48,000,001.00","63,000,000.00",-,-,"50,833,333.00","68,999,999.00","48,750,001.00",-,-
t004,"80,000,000.00","163,333,332.00","195,444,444.00","58,666,668.00","63,000,000.00",-,-,"64,444,444.00","85,333,332.00","56,666,668.00",-,-
t005,"100,000,000.00","186,666,665.00","231,055,555.00","69,333,335.00","63,000,000.00",-,-,"78,055,555.00","101,666,665.00","64,583,335.00",-,-
t006,"120,000,000.00","209,999,998.00","266,666,666.00","80,000,002.00","63,000,000.00","250,000,000.00","125,000,000.00","91,666,666.00","117,999,998.00","72,500,002.00",-,"4,000,000,000.00"
t007,"140,000,000.00","233,333,331.00","266,666,666.00","80,000,002.00","63,000,000.00","250,000,000.00","125,000,000.00","105,277,777.00","134,333,331.00","80,416,669.00",-,"4,000,000,000.00"
t008,"160,000,000.00","256,666,664.00","266,666,666.00","80,000,002.00","63,000,000.00","250,000,000.00","125,000,000.00","118,888,888.00","150,666,664.00","88,333,336.00",-,"4,000,000,000.00"
t009,"180,000,000.00","279,999,997.00","266,666,666.00","80,000,002.00","63,000,000.00","250,000,000.00","125,000,000.00","132,499,999.00","166,999,997.00","96,250,003.00",-,"4,000,000,000.00"
t010,"200,000,000.00","303,333,330.00","266,666,666.00","80,000,002.00","63,000,000.00","250,000,000.00","125,000,000.00","146,111,110.00","183,333,330.00","104,166,670.00",-,"4,000,000,000.00"
t011,"220,000,000.00","326,666,663.00","266,666,666.00","80,000,002.00","63,000,000.00","250,000,000.00","125,000,000.00","159,722,221.00","199,666,663.00","112,083,337.00",-,"4,000,000,000.00"
t012,"240,000,000.00","349,999,996.00","266,666,666.00","80,000,002.00","63,000,000.00","500,000,000.00","250,000,000.00","173,333,332.00","215,999,996.00","120,000,004.00","1,500,000,000.00","4,000,000,000.00"
t013,"240,000,000.00","349,999,996.00","266,666,666.00","80,000,002.00","63,000,000.00","500,000,000.00","250,000,000.00","186,944,443.00","232,333,329.00","127,916,671.00","1,500,000,000.00","4,000,000,000.00"
t014,"240,000,000.00","349,999,996.00","266,666,666.00","80,000,002.00","63,000,000.00","500,000,000.00","250,000,000.00","200,555,554.00","248,666,662.00","135,833,338.00","1,500,000,000.00","4,000,000,000.00"
t015,"240,000,000.00","349,999,996.00","266,666,666.00","80,000,002.00","63,000,000.00","500,000,000.00","250,000,000.00","214,166,665.00","264,999,995.00","143,750,005.00","1,500,000,000.00","4,000,000,000.00"
t016,"240,000,000.00","349,999,996.00","266,666,666.00","80,000,002.00","63,000,000.00","500,000,000.00","250,000,000.00","227,777,776.00","281,333,328.00","151,666,672.00","1,500,000,000.00","4,000,000,000.00"
t017,"240,000,000.00","349,999,996.00","266,666,666.00","80,000,002.00","63,000,000.00","500,000,000.00","250,000,000.00","241,388,887.00","297,666,661.00","159,583,339.00","1,500,000,000.00","4,000,000,000.00"
t018,"240,000,000.00","349,999,996.00","266,666,666.00","80,000,002.00","63,000,000.00","750,000,000.00","375,000,000.00","254,999,998.00","313,999,994.00","167,500,006.00","1,500,000,000.00","4,000,000,000.00"
t019,"240,000,000.00","349,999,996.00","266,666,666.00","80,000,002.00","63,000,000.00","750,000,000.00","375,000,000.00","268,611,109.00","330,333,327.00","175,416,673.00","1,500,000,000.00","4,000,000,000.00"
t020,"240,000,000.00","349,999,996.00","266,666,666.00","80,000,002.00","63,000,000.00","750,000,000.00","375,000,000.00","282,222,220.00","346,666,660.00","183,333,340.00","1,500,000,000.00","4,000,000,000.00"
t021,"240,000,000.00","349,999,996.00","266,666,666.00","80,000,002.00","63,000,000.00","750,000,000.00","375,000,000.00","295,833,331.00","362,999,993.00","191,250,007.00","1,500,000,000.00","4,000,000,000.00"
t022,"240,000,000.00","349,999,996.00","266,666,666.00","80,000,002.00","63,000,000.00","750,000,000.00","375,000,000.00","309,444,442.00","379,333,326.00","199,166,674.00","1,500,000,000.00","4,000,000,000.00"
t023,"240,000,000.00","349,999,996.00","266,666,666.00","80,000,002.00","63,000,000.00","750,000,000.00","375,000,000.00","323,055,553.00","395,666,659.00","207,083,341.00","1,500,000,000.00","4,000,000,000.00"
t024,"240,000,000.00","349,999,996.00","266,666,666.00","80,000,002.00","63,000,000.00","1,000,000,000.00","500,000,000.00","336,666,664.00","411,999,992.00","215,000,008.00","1,500,000,000.00","4,000,000,000.00"
t025,"240,000,000.00","349,999,996.00","266,666,666.00","80,000,002.00","63,000,000.00","1,000,000,000.00","500,000,000.00","350,277,775.00","428,333,325.00","222,916,675.00","1,500,000,000.00","4,000,000,000.00"
