DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
link,,,,,,
DISTRIBUTION,,,
entity,TOKEN SALE,INCENTIVES ECOSYSTEM,TEAM
t000,"350,000,000",0,"300,000,000"
t001,"350,000,000",0,"300,000,000"
t002,"350,000,000",0,"300,000,000"
t003,"350,000,000",0,"300,000,000"
t004,"350,000,000",0,"300,000,000"
t005,"350,000,000",0,"300,000,000"
t006,"350,000,000",0,"300,000,000"
t007,"350,000,000",0,"300,000,000"
t008,"350,000,000",0,"300,000,000"
t009,"350,000,000",0,"300,000,000"
t010,"350,000,000",0,"300,000,000"
t011,"350,000,000",0,"300,000,000"
t012,"350,000,000",0,"300,000,000"
t013,"350,000,000",0,"300,000,000"
t014,"350,000,000",0,"300,000,000"
t015,"350,000,000",0,"300,000,000"
t016,"350,000,000",0,"300,000,000"
t017,"350,000,000",0,"300,000,000"
t018,"350,000,000",0,"300,000,000"
t019,"350,000,000",0,"300,000,000"
t020,"350,000,000",0,"300,000,000"
t021,"350,000,000",0,"300,000,000"
t022,"350,000,000",0,"300,000,000"
t023,"350,000,000",0,"300,000,000"
t024,"350,000,000",0,"300,000,000"
t025,"350,000,000",0,"300,000,000"
t026,"350,000,000",0,"300,000,000"
t027,"350,000,000",0,"300,000,000"
t028,"350,000,000","350,000,000","300,000,000"
t029,"350,000,000","350,000,000","300,000,000"
t030,"350,000,000","350,000,000","300,000,000"
t031,"350,000,000","350,000,000","300,000,000"
t032,"350,000,000","350,000,000","300,000,000"
t033,"350,000,000","350,000,000","300,000,000"
t034,"350,000,000","350,000,000","300,000,000"
t035,"350,000,000","350,000,000","300,000,000"
t036,"350,000,000","350,000,000","300,000,000"
