DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
looks,,,,,,
DISTRIBUTION,,,,,,,
entity,airdrop,liquidity management,volume rewards,staking rewards,strategic sale,team,reserve
t000,"120,000,000.00","17,000,000.00",-,-,-,-,-
t001,"120,000,000.00","17,000,000.00","18,375,000.00","7,875,000.00",-,-,-
t002,"120,000,000.00","17,000,000.00","36,750,000.00","15,750,000.00",-,-,-
t003,"120,000,000.00","17,000,000.00","55,125,000.00","23,625,000.00",-,-,-
t004,"120,000,000.00","17,000,000.00","73,500,000.00","31,500,000.00",-,-,"5,555,556.00"
t005,"120,000,000.00","17,000,000.00","91,875,000.00","39,375,000.00",-,-,"11,111,112.00"
t006,"120,000,000.00","17,000,000.00","110,250,000.00","47,250,000.00",-,-,"16,666,668.00"
t007,"120,000,000.00","17,000,000.00","128,625,000.00","55,125,000.00","1,833,333.00","5,555,556.00","22,222,224.00"
t008,"120,000,000.00","17,000,000.00","147,000,000.00","63,000,000.00","3,666,666.00","11,111,112.00","27,777,780.00"
t009,"120,000,000.00","17,000,000.00","165,375,000.00","70,875,000.00","5,499,999.00","16,666,668.00","33,333,336.00"
t010,"120,000,000.00","17,000,000.00","183,750,000.00","78,750,000.00","7,333,332.00","22,222,224.00","38,888,892.00"
t011,"120,000,000.00","17,000,000.00","202,125,000.00","86,625,000.00","9,166,665.00","27,777,780.00","44,444,448.00"
t012,"120,000,000.00","17,000,000.00","220,500,000.00","94,500,000.00","10,999,998.00","33,333,336.00","50,000,004.00"
t013,"120,000,000.00","17,000,000.00","238,875,000.00","102,375,000.00","12,833,331.00","38,888,892.00","55,555,560.00"
t014,"120,000,000.00","17,000,000.00","257,250,000.00","110,250,000.00","14,666,664.00","44,444,448.00","61,111,116.00"
t015,"120,000,000.00","17,000,000.00","275,625,000.00","118,125,000.00","16,499,997.00","50,000,004.00","66,666,672.00"
t016,"120,000,000.00","17,000,000.00","294,000,000.00","126,000,000.00","18,333,330.00","55,555,560.00","72,222,228.00"
t017,"120,000,000.00","17,000,000.00","312,375,000.00","133,875,000.00","20,166,663.00","61,111,116.00","77,777,784.00"
t018,"120,000,000.00","17,000,000.00","330,750,000.00","141,750,000.00","21,999,996.00","66,666,672.00","83,333,340.00"
t019,"120,000,000.00","17,000,000.00","349,125,000.00","149,625,000.00","23,833,329.00","72,222,228.00","88,888,896.00"
t020,"120,000,000.00","17,000,000.00","367,500,000.00","157,500,000.00","25,666,662.00","77,777,784.00","94,444,452.00"
t021,"120,000,000.00","17,000,000.00","385,875,000.00","165,375,000.00","27,499,995.00","83,333,340.00","100,000,008.00"
t022,"120,000,000.00","17,000,000.00","404,250,000.00","173,250,000.00","29,333,328.00","88,888,896.00","105,555,564.00"
t023,"120,000,000.00","17,000,000.00","422,625,000.00","181,125,000.00","31,166,661.00","90,000,000.00","110,000,000.00"
t024,"120,000,000.00","17,000,000.00","441,000,000.00","189,000,000.00","33,000,000.00","90,000,000.00","110,000,000.00"
t025,nan,nan,nan,nan,nan,nan,nan
t026,nan,nan,nan,nan,nan,nan,nan
t027,nan,nan,nan,nan,nan,nan,nan
t028,nan,nan,nan,nan,nan,nan,nan
t029,nan,nan,nan,nan,nan,nan,nan
t030,nan,nan,nan,nan,nan,nan,nan
t031,nan,nan,nan,nan,nan,nan,nan
t032,nan,nan,nan,nan,nan,nan,nan
t033,nan,nan,nan,nan,nan,nan,nan
t034,nan,nan,nan,nan,nan,nan,nan
t035,nan,nan,nan,nan,nan,nan,nan
t036,nan,nan,nan,nan,nan,nan,nan
