DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
lpt,,,,,,
DISTRIBUTION,,,,,
entity,airdrop,pre-sale,team,development fund,advisors
t000,"6,340,000.00","105,555.00","34,166.00","500,000.00","30,000.00"
t001,"6,340,000.00","105,555.00","34,166.00","500,000.00","30,000.00"
t002,"6,340,000.00","211,110.00","68,332.00","500,000.00","30,000.00"
t003,"6,340,000.00","316,665.00","102,498.00","500,000.00","30,000.00"
t004,"6,340,000.00","422,220.00","136,664.00","500,000.00","30,000.00"
t005,"6,340,000.00","527,775.00","170,830.00","500,000.00","30,000.00"
t006,"6,340,000.00","633,330.00","204,996.00","500,000.00","30,000.00"
t007,"6,340,000.00","738,885.00","239,162.00","500,000.00","30,000.00"
t008,"6,340,000.00","844,440.00","273,328.00","500,000.00","30,000.00"
t009,"6,340,000.00","949,995.00","307,494.00","500,000.00","30,000.00"
t010,"6,340,000.00","1,055,550.00","341,660.00","500,000.00","30,000.00"
t011,"6,340,000.00","1,161,105.00","375,826.00","500,000.00","30,000.00"
t012,"6,340,000.00","1,266,660.00","409,992.00","500,000.00","30,000.00"
t013,"6,340,000.00","1,372,215.00","444,158.00","500,000.00","30,000.00"
t014,"6,340,000.00","1,477,770.00","478,324.00","500,000.00","30,000.00"
t015,"6,340,000.00","1,583,325.00","512,490.00","500,000.00","30,000.00"
t016,"6,340,000.00","1,688,880.00","546,656.00","500,000.00","30,000.00"
t017,"6,340,000.00","1,794,435.00","580,822.00","500,000.00","30,000.00"
t018,"6,340,000.00","1,899,990.00","614,988.00","500,000.00","30,000.00"
t019,"6,340,000.00","1,899,990.00","649,154.00","500,000.00","30,000.00"
t020,"6,340,000.00","1,899,990.00","683,320.00","500,000.00","30,000.00"
t021,"6,340,000.00","1,899,990.00","717,486.00","500,000.00","30,000.00"
t022,"6,340,000.00","1,899,990.00","751,652.00","500,000.00","30,000.00"
t023,"6,340,000.00","1,899,990.00","785,818.00","500,000.00","30,000.00"
t024,"6,340,000.00","1,899,990.00","819,984.00","500,000.00","30,000.00"
t025,"6,340,000.00","1,899,990.00","854,150.00","500,000.00","30,000.00"
t026,"6,340,000.00","1,899,990.00","888,316.00","500,000.00","30,000.00"
t027,"6,340,000.00","1,899,990.00","922,482.00","500,000.00","30,000.00"
t028,"6,340,000.00","1,899,990.00","956,648.00","500,000.00","30,000.00"
t029,"6,340,000.00","1,899,990.00","990,814.00","500,000.00","30,000.00"
t030,"6,340,000.00","1,899,990.00","1,024,980.00","500,000.00","30,000.00"
t031,"6,340,000.00","1,899,990.00","1,059,146.00","500,000.00","30,000.00"
t032,"6,340,000.00","1,899,990.00","1,093,312.00","500,000.00","30,000.00"
t033,"6,340,000.00","1,899,990.00","1,127,478.00","500,000.00","30,000.00"
t034,"6,340,000.00","1,899,990.00","1,161,644.00","500,000.00","30,000.00"
t035,"6,340,000.00","1,899,990.00","1,195,810.00","500,000.00","30,000.00"
t036,"6,340,000.00","1,899,990.00","1,229,976.00","500,000.00","30,000.00"
