DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
mana,,,,,,
DISTRIBUTION,,,,
entity,foundation,team,reserve,public sale
t000,-,-,"438,820,465.00","877,640,930.00"
t001,-,-,"438,820,465.00","877,640,930.00"
t002,-,-,"438,820,465.00","877,640,930.00"
t003,-,-,"438,820,465.00","877,640,930.00"
t004,-,-,"438,820,465.00","877,640,930.00"
t005,-,-,"438,820,465.00","877,640,930.00"
t006,"73,136,744.00","73,136,744.00","438,820,465.00","877,640,930.00"
t007,"73,136,744.00","73,136,744.00","438,820,465.00","877,640,930.00"
t008,"73,136,744.00","73,136,744.00","438,820,465.00","877,640,930.00"
t009,"73,136,744.00","73,136,744.00","438,820,465.00","877,640,930.00"
t010,"73,136,744.00","73,136,744.00","438,820,465.00","877,640,930.00"
t011,"73,136,744.00","73,136,744.00","438,820,465.00","877,640,930.00"
t012,"146,273,488.00","146,273,488.00","438,820,465.00","877,640,930.00"
t013,"146,273,488.00","146,273,488.00","438,820,465.00","877,640,930.00"
t014,"146,273,488.00","146,273,488.00","438,820,465.00","877,640,930.00"
t015,"146,273,488.00","146,273,488.00","438,820,465.00","877,640,930.00"
t016,"146,273,488.00","146,273,488.00","438,820,465.00","877,640,930.00"
t017,"146,273,488.00","146,273,488.00","438,820,465.00","877,640,930.00"
t018,"219,410,232.00","219,410,232.00","438,820,465.00","877,640,930.00"
t019,"219,410,232.00","219,410,232.00","438,820,465.00","877,640,930.00"
t020,"219,410,232.00","219,410,232.00","438,820,465.00","877,640,930.00"
t021,"219,410,232.00","219,410,232.00","438,820,465.00","877,640,930.00"
t022,"219,410,232.00","219,410,232.00","438,820,465.00","877,640,930.00"
t023,"219,410,232.00","219,410,232.00","438,820,465.00","877,640,930.00"
t024,"292,546,976.00","292,546,976.00","438,820,465.00","877,640,930.00"
t025,"292,546,976.00","292,546,976.00","438,820,465.00","877,640,930.00"
t026,"292,546,976.00","292,546,976.00","438,820,465.00","877,640,930.00"
t027,"292,546,976.00","292,546,976.00","438,820,465.00","877,640,930.00"
t028,"292,546,976.00","292,546,976.00","438,820,465.00","877,640,930.00"
t029,"292,546,976.00","292,546,976.00","438,820,465.00","877,640,930.00"
t030,"365,683,720.00","365,683,720.00","438,820,465.00","877,640,930.00"
t031,"365,683,720.00","365,683,720.00","438,820,465.00","877,640,930.00"
t032,"365,683,720.00","365,683,720.00","438,820,465.00","877,640,930.00"
t033,"365,683,720.00","365,683,720.00","438,820,465.00","877,640,930.00"
t034,"365,683,720.00","365,683,720.00","438,820,465.00","877,640,930.00"
t035,"365,683,720.00","365,683,720.00","438,820,465.00","877,640,930.00"
t036,"438,820,464.00","438,820,464.00","438,820,465.00","877,640,930.00"
