DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
mc,,,,,,
DISTRIBUTION,,,,,,
entity,community incentives,team & advisors,dao treasury,investors,liquidity rewards,public distribution
t000,-,-,-,-,-,"75,000,000.00"
t001,"8,166,667.00",-,"4,166,667.00","3,916,667.00",-,"75,000,000.00"
t002,"16,333,333.00",-,"8,333,333.00","7,833,333.00",-,"75,000,000.00"
t003,"24,500,000.00",-,"12,500,000.00","11,750,000.00",-,"75,000,000.00"
t004,"32,666,667.00",-,"16,666,667.00","15,666,667.00",-,"75,000,000.00"
t005,"40,833,333.00",-,"20,833,333.00","19,583,333.00",-,"75,000,000.00"
t006,"49,000,000.00",-,"25,000,000.00","23,500,000.00",-,"75,000,000.00"
t007,"57,166,667.00",-,"29,166,667.00","27,416,667.00",-,"75,000,000.00"
t008,"65,333,333.00",-,"33,333,333.00","31,333,333.00",-,"75,000,000.00"
t009,"73,500,000.00",-,"37,500,000.00","35,250,000.00",-,"75,000,000.00"
t010,"81,666,667.00",-,"41,666,667.00","39,166,667.00",-,"75,000,000.00"
t011,"89,833,333.00",-,"45,833,333.00","43,083,333.00",-,"75,000,000.00"
t012,"98,000,000.00","4,761,905.00","50,000,000.00","47,000,000.00","140,000,000.00","75,000,000.00"
t013,"106,166,667.00","9,523,810.00","54,166,667.00","50,916,667.00","140,000,000.00","75,000,000.00"
t014,"114,333,333.00","14,285,714.00","58,333,333.00","54,833,333.00","140,000,000.00","75,000,000.00"
t015,"122,500,000.00","19,047,619.00","62,500,000.00","58,750,000.00","140,000,000.00","75,000,000.00"
t016,"130,666,667.00","23,809,524.00","66,666,667.00","62,666,667.00","140,000,000.00","75,000,000.00"
t017,"138,833,333.00","28,571,429.00","70,833,333.00","66,583,333.00","140,000,000.00","75,000,000.00"
t018,"147,000,000.00","33,333,333.00","75,000,000.00","70,500,000.00","140,000,000.00","75,000,000.00"
t019,"155,166,667.00","38,095,238.00","79,166,667.00","74,416,667.00","140,000,000.00","75,000,000.00"
t020,"163,333,333.00","42,857,143.00","83,333,333.00","78,333,333.00","140,000,000.00","75,000,000.00"
t021,"171,500,000.00","47,619,048.00","87,500,000.00","82,250,000.00","140,000,000.00","75,000,000.00"
t022,"179,666,667.00","52,380,952.00","91,666,667.00","86,166,667.00","140,000,000.00","75,000,000.00"
t023,"187,833,333.00","57,142,857.00","95,833,333.00","90,083,333.00","140,000,000.00","75,000,000.00"
t024,"196,000,000.00","61,904,762.00","100,000,000.00","94,000,000.00","140,000,000.00","75,000,000.00"
t025,"204,166,667.00","66,666,667.00","104,166,667.00","97,916,667.00","140,000,000.00","75,000,000.00"
t026,"212,333,333.00","71,428,571.00","108,333,333.00","101,833,333.00","140,000,000.00","75,000,000.00"
t027,"220,500,000.00","76,190,476.00","112,500,000.00","105,750,000.00","140,000,000.00","75,000,000.00"
t028,"228,666,667.00","80,952,381.00","116,666,667.00","109,666,667.00","140,000,000.00","75,000,000.00"
t029,"236,833,333.00","85,714,286.00","120,833,333.00","113,583,333.00","140,000,000.00","75,000,000.00"
t030,"245,000,000.00","90,476,190.00","125,000,000.00","117,500,000.00","140,000,000.00","75,000,000.00"
t031,"253,166,667.00","95,238,095.00","129,166,667.00","121,416,667.00","140,000,000.00","75,000,000.00"
t032,"261,333,333.00","100,000,000.00","133,333,333.00","125,333,333.00","140,000,000.00","75,000,000.00"
t033,"269,500,000.00","104,761,905.00","137,500,000.00","129,250,000.00","140,000,000.00","75,000,000.00"
t034,"277,666,667.00","109,523,810.00","141,666,667.00","133,166,667.00","140,000,000.00","75,000,000.00"
t035,"285,833,333.00","114,285,714.00","145,833,333.00","137,083,333.00","140,000,000.00","75,000,000.00"
t036,"294,000,000.00","119,047,619.00","150,000,000.00","141,000,000.00","140,000,000.00","75,000,000.00"
