DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
mcb,,,,,,
DISTRIBUTION,,,
entity,team,foundation,user incentives
t000,"23,438.00","25,000,000.00","50,000,000.00"
t001,"23,438.00","25,000,000.00","50,000,000.00"
t002,"46,876.00","25,000,000.00","50,000,000.00"
t003,"70,314.00","25,000,000.00","50,000,000.00"
t004,"93,752.00","25,000,000.00","50,000,000.00"
t005,"117,190.00","25,000,000.00","50,000,000.00"
t006,"140,628.00","25,000,000.00","50,000,000.00"
t007,"164,066.00","25,000,000.00","50,000,000.00"
t008,"187,504.00","25,000,000.00","50,000,000.00"
t009,"210,942.00","25,000,000.00","50,000,000.00"
t010,"234,380.00","25,000,000.00","50,000,000.00"
t011,"257,818.00","25,000,000.00","50,000,000.00"
t012,"281,256.00","25,000,000.00","50,000,000.00"
t013,"304,694.00","25,000,000.00","50,000,000.00"
t014,"328,132.00","25,000,000.00","50,000,000.00"
t015,"351,570.00","25,000,000.00","50,000,000.00"
t016,"375,008.00","25,000,000.00","50,000,000.00"
t017,"398,446.00","25,000,000.00","50,000,000.00"
t018,"421,884.00","25,000,000.00","50,000,000.00"
t019,"445,322.00","25,000,000.00","50,000,000.00"
t020,"468,760.00","25,000,000.00","50,000,000.00"
t021,"492,198.00","25,000,000.00","50,000,000.00"
t022,"515,636.00","25,000,000.00","50,000,000.00"
t023,"539,074.00","25,000,000.00","50,000,000.00"
t024,"562,512.00","25,000,000.00","50,000,000.00"
t025,"1,071,626.00","25,000,000.00","50,000,000.00"
t026,"1,580,740.00","25,000,000.00","50,000,000.00"
t027,"2,089,854.00","25,000,000.00","50,000,000.00"
t028,"2,598,968.00","25,000,000.00","50,000,000.00"
t029,"3,108,082.00","25,000,000.00","50,000,000.00"
t030,"3,617,196.00","25,000,000.00","50,000,000.00"
t031,"4,126,310.00","25,000,000.00","50,000,000.00"
t032,"4,635,424.00","25,000,000.00","50,000,000.00"
t033,"5,144,538.00","25,000,000.00","50,000,000.00"
t034,"5,653,652.00","25,000,000.00","50,000,000.00"
t035,"6,162,766.00","25,000,000.00","50,000,000.00"
t036,"6,671,880.00","25,000,000.00","50,000,000.00"
