DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
nexo,,,,,,
DISTRIBUTION,,,,,
entity,reserve,team,community,advisors,investors
t000,-,-,"10,000,000.00","25,000,000.00","525,000,000.00"
t001,-,-,"10,000,000.00","25,000,000.00","525,000,000.00"
t002,-,-,"10,000,000.00","25,000,000.00","525,000,000.00"
t003,-,"7,031,250.00","10,000,000.00","25,000,000.00","525,000,000.00"
t004,-,"7,031,250.00","18,333,333.00","25,000,000.00","525,000,000.00"
t005,-,"7,031,250.00","18,333,333.00","25,000,000.00","525,000,000.00"
t006,"125,000,000.00","14,062,500.00","18,333,333.00","25,000,000.00","525,000,000.00"
t007,"125,000,000.00","14,062,500.00","18,333,333.00","25,000,000.00","525,000,000.00"
t008,"125,000,000.00","14,062,500.00","26,666,666.00","25,000,000.00","525,000,000.00"
t009,"125,000,000.00","21,093,750.00","26,666,666.00","25,000,000.00","525,000,000.00"
t010,"125,000,000.00","21,093,750.00","26,666,666.00","25,000,000.00","525,000,000.00"
t011,"125,000,000.00","21,093,750.00","34,999,999.00","25,000,000.00","525,000,000.00"
t012,"250,000,000.00","28,125,000.00","34,999,999.00","25,000,000.00","525,000,000.00"
t013,"250,000,000.00","28,125,000.00","34,999,999.00","52,500,000.00","525,000,000.00"
t014,"250,000,000.00","28,125,000.00","34,999,999.00","52,500,000.00","525,000,000.00"
t015,"250,000,000.00","35,156,250.00","43,333,332.00","52,500,000.00","525,000,000.00"
t016,"250,000,000.00","35,156,250.00","43,333,332.00","52,500,000.00","525,000,000.00"
t017,"250,000,000.00","35,156,250.00","43,333,332.00","52,500,000.00","525,000,000.00"
t018,nan,"42,187,500.00","43,333,332.00","52,500,000.00","525,000,000.00"
t019,nan,"42,187,500.00","51,666,665.00","52,500,000.00","525,000,000.00"
t020,nan,"42,187,500.00","51,666,665.00","52,500,000.00","525,000,000.00"
t021,nan,"49,218,750.00","51,666,665.00","52,500,000.00","525,000,000.00"
t022,nan,"49,218,750.00","51,666,665.00","52,500,000.00","525,000,000.00"
t023,nan,"49,218,750.00","60,000,000.00","52,500,000.00","525,000,000.00"
t024,nan,"56,250,000.00","60,000,000.00","52,500,000.00","525,000,000.00"
t025,nan,"56,250,000.00","60,000,000.00","52,500,000.00","525,000,000.00"
t026,nan,"56,250,000.00","60,000,000.00","52,500,000.00","525,000,000.00"
t027,nan,"63,281,250.00","60,000,000.00","52,500,000.00","525,000,000.00"
t028,nan,"63,281,250.00","60,000,000.00","52,500,000.00","525,000,000.00"
t029,nan,"63,281,250.00","60,000,000.00","52,500,000.00","525,000,000.00"
t030,nan,"70,312,500.00","60,000,000.00","52,500,000.00","525,000,000.00"
t031,nan,"70,312,500.00","60,000,000.00","52,500,000.00","525,000,000.00"
t032,nan,"70,312,500.00","60,000,000.00","52,500,000.00","525,000,000.00"
t033,nan,"77,343,750.00","60,000,000.00","52,500,000.00","525,000,000.00"
t034,nan,"77,343,750.00","60,000,000.00","52,500,000.00","525,000,000.00"
t035,nan,"77,343,750.00","60,000,000.00","52,500,000.00","525,000,000.00"
t036,nan,"84,375,000.00","60,000,000.00","52,500,000.00","525,000,000.00"
