DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
ogo,,,,,,
DISTRIBUTION,,,,,,
entity,token sale,block rewards,reserve,ecosystem,team,advisors
t000,"289,300,000.00",-,"150,000,000.00","150,000,000.00",-,-
t001,"289,300,000.00","2,005,833.00","150,000,000.00","150,000,000.00",-,-
t002,"289,300,000.00","4,011,667.00","150,000,000.00","150,000,000.00",-,-
t003,"289,300,000.00","6,017,500.00","150,000,000.00","150,000,000.00",-,-
t004,"289,300,000.00","8,023,333.00","150,000,000.00","150,000,000.00",-,-
t005,"289,300,000.00","10,029,167.00","150,000,000.00","150,000,000.00",-,-
t006,"289,300,000.00","12,035,000.00","150,000,000.00","150,000,000.00","25,000,000.00","3,333,333.00"
t007,"289,300,000.00","14,040,833.00","150,000,000.00","150,000,000.00","25,000,000.00","3,333,333.00"
t008,"289,300,000.00","16,046,667.00","150,000,000.00","150,000,000.00","25,000,000.00","3,333,333.00"
t009,"289,300,000.00","18,052,500.00","150,000,000.00","150,000,000.00","25,000,000.00","3,333,333.00"
t010,"289,300,000.00","20,058,333.00","150,000,000.00","150,000,000.00","25,000,000.00","3,333,333.00"
t011,"289,300,000.00","22,064,167.00","150,000,000.00","150,000,000.00","25,000,000.00","3,333,333.00"
t012,"289,300,000.00","24,070,000.00","150,000,000.00","150,000,000.00","50,000,000.00","6,666,667.00"
t013,"289,300,000.00","26,075,833.00","150,000,000.00","150,000,000.00","50,000,000.00","6,666,667.00"
t014,"289,300,000.00","28,081,667.00","150,000,000.00","150,000,000.00","50,000,000.00","6,666,667.00"
t015,"289,300,000.00","30,087,500.00","150,000,000.00","150,000,000.00","50,000,000.00","6,666,667.00"
t016,"289,300,000.00","32,093,333.00","150,000,000.00","150,000,000.00","50,000,000.00","6,666,667.00"
t017,"289,300,000.00","34,099,167.00","150,000,000.00","150,000,000.00","50,000,000.00","6,666,667.00"
t018,"289,300,000.00","36,105,000.00","150,000,000.00","150,000,000.00","75,000,000.00","10,000,000.00"
t019,"289,300,000.00","38,110,833.00","150,000,000.00","150,000,000.00","75,000,000.00","10,000,000.00"
t020,"289,300,000.00","40,116,667.00","150,000,000.00","150,000,000.00","75,000,000.00","10,000,000.00"
t021,"289,300,000.00","42,122,500.00","150,000,000.00","150,000,000.00","75,000,000.00","10,000,000.00"
t022,"289,300,000.00","44,128,333.00","150,000,000.00","150,000,000.00","75,000,000.00","10,000,000.00"
t023,"289,300,000.00","46,134,167.00","150,000,000.00","150,000,000.00","75,000,000.00","10,000,000.00"
t024,"289,300,000.00","48,140,000.00","150,000,000.00","150,000,000.00","100,000,000.00","13,333,333.00"
t025,"289,300,000.00","50,145,833.00","150,000,000.00","150,000,000.00","100,000,000.00","13,333,333.00"
t026,"289,300,000.00","52,151,667.00","150,000,000.00","150,000,000.00","100,000,000.00","13,333,333.00"
t027,"289,300,000.00","54,157,500.00","150,000,000.00","150,000,000.00","100,000,000.00","13,333,333.00"
t028,"289,300,000.00","56,163,333.00","150,000,000.00","150,000,000.00","100,000,000.00","13,333,333.00"
t029,"289,300,000.00","58,169,167.00","150,000,000.00","150,000,000.00","100,000,000.00","13,333,333.00"
t030,"289,300,000.00","60,175,000.00","150,000,000.00","150,000,000.00","125,000,000.00","16,666,667.00"
t031,"289,300,000.00","62,180,833.00","150,000,000.00","150,000,000.00","125,000,000.00","16,666,667.00"
t032,"289,300,000.00","64,186,667.00","150,000,000.00","150,000,000.00","125,000,000.00","16,666,667.00"
t033,"289,300,000.00","66,192,500.00","150,000,000.00","150,000,000.00","125,000,000.00","16,666,667.00"
t034,"289,300,000.00","68,198,333.00","150,000,000.00","150,000,000.00","125,000,000.00","16,666,667.00"
t035,"289,300,000.00","70,204,167.00","150,000,000.00","150,000,000.00","125,000,000.00","16,666,667.00"
t036,"289,300,000.00","72,210,000.00","150,000,000.00","150,000,000.00","150,000,000.00","20,000,000.00"
