DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
okb,,,,,,
DISTRIBUTION,,,,
entity,community,foundation,early shareholders,team
t000,"16,666,667.00",-,-,-
t001,"16,666,667.00",-,-,-
t002,"33,333,334.00",-,-,-
t003,"50,000,001.00",-,-,-
t004,"66,666,668.00",-,-,-
t005,"83,333,335.00",-,-,-
t006,"100,000,002.00",-,-,-
t007,"116,666,669.00",-,-,-
t008,"133,333,336.00",-,-,-
t009,"150,000,003.00",-,-,-
t010,"166,666,670.00",-,-,-
t011,"183,333,337.00",-,-,-
t012,"200,000,004.00",-,-,"20,000,000.00"
t013,"216,666,671.00",-,-,"20,000,000.00"
t014,"233,333,338.00",-,-,"20,000,000.00"
t015,"250,000,005.00",-,-,"20,000,000.00"
t016,"266,666,672.00",-,-,"20,000,000.00"
t017,"283,333,339.00",-,-,"20,000,000.00"
t018,"300,000,006.00",-,-,"20,000,000.00"
t019,"316,666,673.00",-,-,"20,000,000.00"
t020,"333,333,340.00",-,-,"20,000,000.00"
t021,"350,000,007.00",-,-,"20,000,000.00"
t022,"366,666,674.00",-,-,"20,000,000.00"
t023,"383,333,341.00",-,-,"20,000,000.00"
t024,"400,000,008.00","100,000,000.00","100,000,000.00","40,000,000.00"
t025,"416,666,675.00","100,000,000.00","100,000,000.00","40,000,000.00"
t026,"433,333,342.00","100,000,000.00","100,000,000.00","40,000,000.00"
t027,"450,000,009.00","100,000,000.00","100,000,000.00","40,000,000.00"
t028,"466,666,676.00","100,000,000.00","100,000,000.00","40,000,000.00"
t029,"483,333,343.00","100,000,000.00","100,000,000.00","40,000,000.00"
t030,"500,000,010.00","100,000,000.00","100,000,000.00","40,000,000.00"
t031,"516,666,677.00","100,000,000.00","100,000,000.00","40,000,000.00"
t032,"533,333,344.00","100,000,000.00","100,000,000.00","40,000,000.00"
t033,"550,000,011.00","100,000,000.00","100,000,000.00","40,000,000.00"
t034,"566,666,678.00","100,000,000.00","100,000,000.00","40,000,000.00"
t035,"583,333,345.00","100,000,000.00","100,000,000.00","40,000,000.00"
t036,"600,000,000.00","100,000,000.00","100,000,000.00","60,000,000.00"
