DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
omg,,,,,,
DISTRIBUTION,,,,
entity,CROWDSALE,AIRDROP,RESERVE,TEAM
t000,"91,299,754","7,012,270",0,0
t001,"91,299,754","7,012,270",0,0
t002,"91,299,754","7,012,270",0,0
t003,"91,299,754","7,012,270",0,0
t004,"91,299,754","7,012,270",0,0
t005,"91,299,754","7,012,270",0,0
t006,"91,299,754","7,012,270",0,0
t007,"91,299,754","7,012,270",0,0
t008,"91,299,754","7,012,270",0,0
t009,"91,299,754","7,012,270",0,0
t010,"91,299,754","7,012,270",0,0
t011,"91,299,754","7,012,270","28,049,080","13,884,294"
t012,"91,299,754","7,012,270","28,049,080","13,884,294"
t013,"91,299,754","7,012,270","28,049,080","13,884,294"
t014,"91,299,754","7,012,270","28,049,080","13,884,294"
t015,"91,299,754","7,012,270","28,049,080","13,884,294"
t016,"91,299,754","7,012,270","28,049,080","13,884,294"
t017,"91,299,754","7,012,270","28,049,080","13,884,294"
t018,"91,299,754","7,012,270","28,049,080","13,884,294"
t019,"91,299,754","7,012,270","28,049,080","13,884,294"
t020,"91,299,754","7,012,270","28,049,080","13,884,294"
t021,"91,299,754","7,012,270","28,049,080","13,884,294"
t022,"91,299,754","7,012,270","28,049,080","13,884,294"
t023,"91,299,754","7,012,270","28,049,080","13,884,294"
t024,"91,299,754","7,012,270","28,049,080","13,884,294"
t025,"91,299,754","7,012,270","28,049,080","13,884,294"
t026,"91,299,754","7,012,270","28,049,080","13,884,294"
t027,"91,299,754","7,012,270","28,049,080","13,884,294"
t028,"91,299,754","7,012,270","28,049,080","13,884,294"
t029,"91,299,754","7,012,270","28,049,080","13,884,294"
t030,"91,299,754","7,012,270","28,049,080","13,884,294"
t031,"91,299,754","7,012,270","28,049,080","13,884,294"
t032,"91,299,754","7,012,270","28,049,080","13,884,294"
t033,"91,299,754","7,012,270","28,049,080","13,884,294"
t034,"91,299,754","7,012,270","28,049,080","13,884,294"
t035,"91,299,754","7,012,270","28,049,080","13,884,294"
t036,"91,299,754","7,012,270","28,049,080","13,884,294"
