DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
omi,,,,,,
DISTRIBUTION,,,,
entity,public & private sale,reserve,team,foundation
t000,"150,000,000,000.00","300,000,000,000.00",-,-
t001,"150,000,000,000.00","300,000,000,000.00",-,-
t002,"150,000,000,000.00","300,000,000,000.00",-,-
t003,"150,000,000,000.00","300,000,000,000.00",-,-
t004,"150,000,000,000.00","300,000,000,000.00",-,-
t005,"150,000,000,000.00","300,000,000,000.00",-,-
t006,"150,000,000,000.00","300,000,000,000.00",-,-
t007,"150,000,000,000.00","300,000,000,000.00",-,-
t008,"150,000,000,000.00","300,000,000,000.00",-,-
t009,"150,000,000,000.00","300,000,000,000.00",-,-
t010,"150,000,000,000.00","300,000,000,000.00",-,-
t011,"150,000,000,000.00","300,000,000,000.00",-,-
t012,"150,000,000,000.00","300,000,000,000.00",-,-
t013,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00",-
t014,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00",-
t015,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00",-
t016,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00",-
t017,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00",-
t018,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00",-
t019,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00",-
t020,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00",-
t021,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00",-
t022,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00",-
t023,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00",-
t024,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00","37,500,000,000.00"
t025,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00","37,500,000,000.00"
t026,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00","37,500,000,000.00"
t027,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00","75,000,000,000.00"
t028,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00","75,000,000,000.00"
t029,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00","75,000,000,000.00"
t030,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00","112,500,000,000.00"
t031,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00","112,500,000,000.00"
t032,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00","112,500,000,000.00"
t033,"150,000,000,000.00","300,000,000,000.00","150,000,000,000.00","150,000,000,000.00"
t034,nan,nan,nan,nan
t035,nan,nan,nan,nan
t036,nan,nan,nan,nan
