DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
ont,,,,,,
DISTRIBUTION,,,,,,
entity,partners,ecosystem,team,community,neo council,users rewards
t000,-,"250,000,000.00",-,"120,000,000.00","100,000,000.00","100,000,000.00"
t001,-,"250,000,000.00",-,"120,000,000.00","100,000,000.00","100,000,000.00"
t002,-,"250,000,000.00",-,"120,000,000.00","100,000,000.00","100,000,000.00"
t003,-,"250,000,000.00",-,"120,000,000.00","100,000,000.00","100,000,000.00"
t004,-,"250,000,000.00",-,"120,000,000.00","100,000,000.00","100,000,000.00"
t005,-,"250,000,000.00",-,"120,000,000.00","100,000,000.00","100,000,000.00"
t006,"70,000,000.00","250,000,000.00",-,"120,000,000.00","100,000,000.00","100,000,000.00"
t007,"70,000,000.00","250,000,000.00",-,"120,000,000.00","100,000,000.00","100,000,000.00"
t008,"70,000,000.00","250,000,000.00",-,"120,000,000.00","100,000,000.00","100,000,000.00"
t009,"70,000,000.00","250,000,000.00",-,"120,000,000.00","100,000,000.00","100,000,000.00"
t010,"70,000,000.00","250,000,000.00",-,"120,000,000.00","100,000,000.00","100,000,000.00"
t011,"70,000,000.00","250,000,000.00",-,"120,000,000.00","100,000,000.00","100,000,000.00"
t012,"140,000,000.00","250,000,000.00","37,500,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t013,"140,000,000.00","250,000,000.00","37,500,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t014,"140,000,000.00","250,000,000.00","37,500,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t015,"140,000,000.00","250,000,000.00","37,500,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t016,"140,000,000.00","250,000,000.00","37,500,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t017,"140,000,000.00","250,000,000.00","37,500,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t018,"210,000,000.00","250,000,000.00","37,500,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t019,"210,000,000.00","250,000,000.00","37,500,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t020,"210,000,000.00","250,000,000.00","37,500,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t021,"210,000,000.00","250,000,000.00","37,500,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t022,"210,000,000.00","250,000,000.00","37,500,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t023,"210,000,000.00","250,000,000.00","37,500,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t024,"280,000,000.00","250,000,000.00","75,000,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t025,"280,000,000.00","250,000,000.00","75,000,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t026,"280,000,000.00","250,000,000.00","75,000,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t027,"280,000,000.00","250,000,000.00","75,000,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t028,"280,000,000.00","250,000,000.00","75,000,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t029,"280,000,000.00","250,000,000.00","75,000,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t030,"280,000,000.00","250,000,000.00","75,000,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t031,"280,000,000.00","250,000,000.00","75,000,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t032,"280,000,000.00","250,000,000.00","75,000,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t033,"280,000,000.00","250,000,000.00","75,000,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t034,"280,000,000.00","250,000,000.00","75,000,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t035,"280,000,000.00","250,000,000.00","75,000,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
t036,"280,000,000.00","250,000,000.00","112,500,000.00","120,000,000.00","100,000,000.00","100,000,000.00"
