DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
op,,,,,,
DISTRIBUTION,,,,
entity,community,airdrop,contributors,investors
t000,"322,122,547.00","40,802,189.00",-,-
t001,"322,122,547.00","73,103,922.00",-,-
t002,"322,122,547.00","105,405,656.00",-,-
t003,"322,122,547.00","137,707,389.00",-,-
t004,"322,122,547.00","170,009,122.00",-,-
t005,"322,122,547.00","202,310,855.00",-,-
t006,"322,122,547.00","234,612,588.00",-,-
t007,"322,122,547.00","266,914,322.00",-,-
t008,"322,122,547.00","299,216,055.00",-,-
t009,"322,122,547.00","331,517,788.00",-,-
t010,"322,122,547.00","363,819,521.00",-,-
t011,"322,122,547.00","396,121,254.00",-,-
t012,"510,027,366.00","428,422,988.00","40,802,189.00","36,507,222.00"
t013,"510,027,366.00","460,724,721.00","40,802,189.00","36,507,222.00"
t014,"510,027,366.00","493,026,454.00","40,802,189.00","36,507,222.00"
t015,"510,027,366.00","525,328,187.00","40,802,189.00","36,507,222.00"
t016,"510,027,366.00","557,629,920.00","40,802,189.00","36,507,222.00"
t017,"510,027,366.00","589,931,654.00","40,802,189.00","36,507,222.00"
t018,"510,027,366.00","622,233,387.00","40,802,189.00","36,507,222.00"
t019,"510,027,366.00","654,535,120.00","40,802,189.00","36,507,222.00"
t020,"510,027,366.00","686,836,853.00","40,802,189.00","36,507,222.00"
t021,"510,027,366.00","719,138,586.00","40,802,189.00","36,507,222.00"
t022,"510,027,366.00","751,440,320.00","40,802,189.00","36,507,222.00"
t023,"510,027,366.00","783,742,053.00","40,802,189.00","36,507,222.00"
t024,"697,932,186.00","816,043,786.00","299,216,055.00","267,719,628.00"
t025,"697,932,186.00","816,043,786.00","299,216,055.00","267,719,628.00"
t026,"697,932,186.00","816,043,786.00","299,216,055.00","267,719,628.00"
t027,"697,932,186.00","816,043,786.00","299,216,055.00","267,719,628.00"
t028,"697,932,186.00","816,043,786.00","299,216,055.00","267,719,628.00"
t029,"697,932,186.00","816,043,786.00","299,216,055.00","267,719,628.00"
t030,"697,932,186.00","816,043,786.00","299,216,055.00","267,719,628.00"
t031,"697,932,186.00","816,043,786.00","299,216,055.00","267,719,628.00"
t032,"697,932,186.00","816,043,786.00","299,216,055.00","267,719,628.00"
t033,"697,932,186.00","816,043,786.00","299,216,055.00","267,719,628.00"
t034,"697,932,186.00","816,043,786.00","299,216,055.00","267,719,628.00"
t035,"697,932,186.00","816,043,786.00","299,216,055.00","267,719,628.00"
t036,"885,837,005.00","816,043,786.00","557,629,920.00","498,932,034.00"
