DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
orbs,,,,,,
DISTRIBUTION,,,,
entity,reserve,private sale,team,advisors
t000,"100,000,000.00","2,000,000,000.00",-,"41,666,667.00"
t001,"200,000,000.00","2,000,000,000.00",-,"41,666,667.00"
t002,"300,000,000.00","2,000,000,000.00",-,"83,333,334.00"
t003,"400,000,000.00","2,000,000,000.00",-,"125,000,001.00"
t004,"500,000,000.00","2,000,000,000.00",-,"166,666,668.00"
t005,"600,000,000.00","2,000,000,000.00",-,"208,333,335.00"
t006,"700,000,000.00","2,000,000,000.00",-,"250,000,002.00"
t007,"800,000,000.00","2,000,000,000.00","333,333,333.00","291,666,669.00"
t008,"900,000,000.00","2,000,000,000.00","333,333,333.00","333,333,336.00"
t009,"1,000,000,000.00","2,000,000,000.00","333,333,333.00","375,000,003.00"
t010,"1,100,000,000.00","2,000,000,000.00","333,333,333.00","416,666,670.00"
t011,"1,200,000,000.00","2,000,000,000.00","333,333,333.00","458,333,337.00"
t012,"1,300,000,000.00","2,000,000,000.00","333,333,333.00","500,000,000.00"
t013,"1,400,000,000.00","2,000,000,000.00","666,666,666.00","500,000,000.00"
t014,"1,500,000,000.00","2,000,000,000.00","666,666,666.00","500,000,000.00"
t015,"1,600,000,000.00","2,000,000,000.00","666,666,666.00","500,000,000.00"
t016,"1,700,000,000.00","2,000,000,000.00","666,666,666.00","500,000,000.00"
t017,"1,800,000,000.00","2,000,000,000.00","666,666,666.00","500,000,000.00"
t018,"1,900,000,000.00","2,000,000,000.00","666,666,666.00","500,000,000.00"
t019,"2,000,000,000.00","2,000,000,000.00","999,999,999.00","500,000,000.00"
t020,"2,100,000,000.00","2,000,000,000.00","999,999,999.00","500,000,000.00"
t021,"2,200,000,000.00","2,000,000,000.00","999,999,999.00","500,000,000.00"
t022,"2,300,000,000.00","2,000,000,000.00","999,999,999.00","500,000,000.00"
t023,"2,400,000,000.00","2,000,000,000.00","999,999,999.00","500,000,000.00"
t024,"2,500,000,000.00","2,000,000,000.00","999,999,999.00","500,000,000.00"
t025,"2,600,000,000.00","2,000,000,000.00","1,333,333,332.00","500,000,000.00"
t026,"2,700,000,000.00","2,000,000,000.00","1,333,333,332.00","500,000,000.00"
t027,"2,800,000,000.00","2,000,000,000.00","1,333,333,332.00","500,000,000.00"
t028,"2,900,000,000.00","2,000,000,000.00","1,333,333,332.00","500,000,000.00"
t029,"3,000,000,000.00","2,000,000,000.00","1,333,333,332.00","500,000,000.00"
t030,"3,100,000,000.00","2,000,000,000.00","1,333,333,332.00","500,000,000.00"
t031,"3,200,000,000.00","2,000,000,000.00","1,666,666,665.00","500,000,000.00"
t032,"3,300,000,000.00","2,000,000,000.00","1,666,666,665.00","500,000,000.00"
t033,"3,400,000,000.00","2,000,000,000.00","1,666,666,665.00","500,000,000.00"
t034,"3,500,000,000.00","2,000,000,000.00","1,666,666,665.00","500,000,000.00"
t035,"3,600,000,000.00","2,000,000,000.00","1,666,666,665.00","500,000,000.00"
t036,"3,700,000,000.00","2,000,000,000.00","1,666,666,665.00","500,000,000.00"
